2'卡贝萨斯右路插上接应，过人不成，反抢犯规了                   2'第2分钟，上港沿右边路长传，卡贝萨斯拿球突破被断，反抢中推倒金东进犯规
3'绿城连续利用左边路的边线球推进进攻                   2'第2分钟，上港沿右边路长传，卡贝萨斯拿球突破被断，反抢中推倒金东进犯规
3'王林右路拿球内切被汪佳捷倒地铲截破坏                   2'第2分钟，上港沿右边路长传，卡贝萨斯拿球突破被断，反抢中推倒金东进犯规
3'阿多上抢，抢在阿甘之前断球                   2'第2分钟，上港沿右边路长传，卡贝萨斯拿球突破被断，反抢中推倒金东进犯规
4'阿甘拉到左路拿球，趟过一人被补防的李运秋断球                   2'第2分钟，上港沿右边路长传，卡贝萨斯拿球突破被断，反抢中推倒金东进犯规
4'吕文君拿球分边，李运秋内切横敲传大了                   2'第2分钟，上港沿右边路长传，卡贝萨斯拿球突破被断，反抢中推倒金东进犯规
5'金东进长传，右路马佐拉底线前接应到                   2'第2分钟，上港沿右边路长传，卡贝萨斯拿球突破被断，反抢中推倒金东进犯规
5'王林右侧禁区线附近直接垫传后点，球出底线                   2'第2分钟，上港沿右边路长传，卡贝萨斯拿球突破被断，反抢中推倒金东进犯规
6'前场连续争顶，东亚把球权拿下控制                   6'第6分钟，蔡慧康中场处斜传禁区，卡贝萨斯起速稍慢，姜波出击将球没收
6'蔡慧康斜传禁区，姜波跃起把球没收                   6'第6分钟，蔡慧康中场处斜传禁区，卡贝萨斯起速稍慢，姜波出击将球没收
6'马佐拉中场拿球，被顶防的汪佳捷破坏出界                   6'第6分钟，蔡慧康中场处斜传禁区，卡贝萨斯起速稍慢，姜波出击将球没收
7'绿城长传左边路，伊班和李运秋夹击把球破坏                   6'第6分钟，蔡慧康中场处斜传禁区，卡贝萨斯起速稍慢，姜波出击将球没收
7'王燊超中场拿球斜传找武磊，武磊没有能停到皮球                   6'第6分钟，蔡慧康中场处斜传禁区，卡贝萨斯起速稍慢，姜波出击将球没收
8'绿城后场长传，伊班抢到落点头球解围                   6'第6分钟，蔡慧康中场处斜传禁区，卡贝萨斯起速稍慢，姜波出击将球没收
9'李运秋长传前场，金东进上抢拦截                   6'第6分钟，蔡慧康中场处斜传禁区，卡贝萨斯起速稍慢，姜波出击将球没收
9'马佐拉右路拿球突破，倒三角传回禁区前                   6'第6分钟，蔡慧康中场处斜传禁区，卡贝萨斯起速稍慢，姜波出击将球没收
9'汪嵩外脚背搓传禁区，力量不够被顶出                   6'第6分钟，蔡慧康中场处斜传禁区，卡贝萨斯起速稍慢，姜波出击将球没收
9'卡贝萨斯前场接应，越位在先                   6'第6分钟，蔡慧康中场处斜传禁区，卡贝萨斯起速稍慢，姜波出击将球没收
10'李运秋助攻上来，与吕文君寻求配合                   10'第10分钟，吕文君右边路扣球后起左脚传中，后点武磊头球攻门顶偏
10'吕文君回带过程中起左脚传入禁区，武磊争顶没有顶上                   10'第10分钟，吕文君右边路扣球后起左脚传中，后点武磊头球攻门顶偏
10'吕文君拿球强突中路，被唐家庶把球破坏                   10'第10分钟，吕文君右边路扣球后起左脚传中，后点武磊头球攻门顶偏
11'阿甘左路扣过阿多的防守，但是被补防的李运秋拦截                   10'第10分钟，吕文君右边路扣球后起左脚传中，后点武磊头球攻门顶偏
11'阿甘回抢过程中拉倒了阿多犯规                   10'第10分钟，吕文君右边路扣球后起左脚传中，后点武磊头球攻门顶偏
12'双方在中场连续的倒地铲抢，都不收脚                   10'第10分钟，吕文君右边路扣球后起左脚传中，后点武磊头球攻门顶偏
12'颜俊凌在对方前锋的逼抢下，大脚直接开出了边线                   10'第10分钟，吕文君右边路扣球后起左脚传中，后点武磊头球攻门顶偏
13'汪佳捷中场拿球横带，突然送身后球，没有和队友形成默契                   10'第10分钟，吕文君右边路扣球后起左脚传中，后点武磊头球攻门顶偏
13'李运秋后场带球连续过人，斜传找到武磊                   10'第10分钟，吕文君右边路扣球后起左脚传中，后点武磊头球攻门顶偏
13'武磊中路拿球过人没有成功                   10'第10分钟，吕文君右边路扣球后起左脚传中，后点武磊头球攻门顶偏
17'范晓冬左路边线球直接找身后空当，高迪插上稍慢了                   17'第17分钟，武磊中路拿球分给右路插上的吕文君，后者突入禁区强行倒三角回传被解围
18'武磊中路拿球，分到右路插上的吕文君                   17'第17分钟，武磊中路拿球分给右路插上的吕文君，后者突入禁区强行倒三角回传被解围
18'吕文君强行倒三角传回被解围                   17'第17分钟，武磊中路拿球分给右路插上的吕文君，后者突入禁区强行倒三角回传被解围
18'武磊送直塞球，吕文君被金东进卡住身位，球出底线                   17'第17分钟，武磊中路拿球分给右路插上的吕文君，后者突入禁区强行倒三角回传被解围
19'孙凯左路接球，直接传中到前点被头球解围                   17'第17分钟，武磊中路拿球分给右路插上的吕文君，后者突入禁区强行倒三角回传被解围
20'马佐拉拿球转身摆脱，汪佳捷倒地铲截破坏                   17'第17分钟，武磊中路拿球分给右路插上的吕文君，后者突入禁区强行倒三角回传被解围
20'范晓冬左路下底传中，马佐拉头球攻门蹭了一下，比较偏                   17'第17分钟，武磊中路拿球分给右路插上的吕文君，后者突入禁区强行倒三角回传被解围
20'马佐拉禁区右侧角上传中，阿多解围出去                   17'第17分钟，武磊中路拿球分给右路插上的吕文君，后者突入禁区强行倒三角回传被解围
27'吕文君右路传中，卡贝萨斯禁区内把球停下，连续倒腾没有射门机会                   27'第27分钟，卡贝萨斯禁区内得球后面对防守强行射门被挡出，随后回做，禁区外汪佳捷及时跟进大力抽射打高
27'卡贝萨斯回敲，蔡慧康跟上远射打高！                   27'第27分钟，卡贝萨斯禁区内得球后面对防守强行射门被挡出，随后回做，禁区外汪佳捷及时跟进大力抽射打高
28'武磊前场反抢，突破进禁区，石柯倒地把球铲截                   27'第27分钟，卡贝萨斯禁区内得球后面对防守强行射门被挡出，随后回做，禁区外汪佳捷及时跟进大力抽射打高
28'球打在武磊脚上出底线，球门球                   27'第27分钟，卡贝萨斯禁区内得球后面对防守强行射门被挡出，随后回做，禁区外汪佳捷及时跟进大力抽射打高
28'王林右路拿球，被孙凯逼抢破坏出边线                   27'第27分钟，卡贝萨斯禁区内得球后面对防守强行射门被挡出，随后回做，禁区外汪佳捷及时跟进大力抽射打高
29'王林右路低平球传入禁区，汪嵩前点一漏，阿甘推射近角偏出！                   27'第27分钟，卡贝萨斯禁区内得球后面对防守强行射门被挡出，随后回做，禁区外汪佳捷及时跟进大力抽射打高
30'阿甘左路拿球回带，横敲禁区前被伊班破坏                   27'第27分钟，卡贝萨斯禁区内得球后面对防守强行射门被挡出，随后回做，禁区外汪佳捷及时跟进大力抽射打高
30'卡贝萨斯右路拿球，反向送球，接应队友太少                   27'第27分钟，卡贝萨斯禁区内得球后面对防守强行射门被挡出，随后回做，禁区外汪佳捷及时跟进大力抽射打高
29'王林右路低平球传入禁区，汪嵩前点一漏，阿甘推射近角偏出！                   29'第29分钟，王林右路四十五度斜传，前点汪嵩故意一漏，中路跟进的阿甘迎球扫射稍稍打偏
30'阿甘左路拿球回带，横敲禁区前被伊班破坏                   29'第29分钟，王林右路四十五度斜传，前点汪嵩故意一漏，中路跟进的阿甘迎球扫射稍稍打偏
30'卡贝萨斯右路拿球，反向送球，接应队友太少                   29'第29分钟，王林右路四十五度斜传，前点汪嵩故意一漏，中路跟进的阿甘迎球扫射稍稍打偏
31'阿甘禁区左侧突破，边线附近被李运秋铲出边线                   29'第29分钟，王林右路四十五度斜传，前点汪嵩故意一漏，中路跟进的阿甘迎球扫射稍稍打偏
31'绿城左路斜传，阿多头球解围                   29'第29分钟，王林右路四十五度斜传，前点汪嵩故意一漏，中路跟进的阿甘迎球扫射稍稍打偏
32'蔡慧康禁区前解围不远，球回到对方中场脚下                   29'第29分钟，王林右路四十五度斜传，前点汪嵩故意一漏，中路跟进的阿甘迎球扫射稍稍打偏
34'东亚前场禁区前争顶把球拿下，汪佳捷跟上远射打偏                   34'第34分钟，李运秋大力掷出右侧界外球，第一点曹轩头球顶出，禁区弧顶处汪佳捷凌空抽射打偏
35'孙凯左路防守犯规，绿城任意球                   34'第34分钟，李运秋大力掷出右侧界外球，第一点曹轩头球顶出，禁区弧顶处汪佳捷凌空抽射打偏
35'汪嵩任意球开门前，伊班头球解围不远                   34'第34分钟，李运秋大力掷出右侧界外球，第一点曹轩头球顶出，禁区弧顶处汪佳捷凌空抽射打偏
36'后点绿城再把球垫回门前，汪佳捷大脚解围                   34'第34分钟，李运秋大力掷出右侧界外球，第一点曹轩头球顶出，禁区弧顶处汪佳捷凌空抽射打偏
37'高迪禁区前停球失误，东亚的反击                   34'第34分钟，李运秋大力掷出右侧界外球，第一点曹轩头球顶出，禁区弧顶处汪佳捷凌空抽射打偏
37'武磊拿球推进，分给右路插上的吕文君                   34'第34分钟，李运秋大力掷出右侧界外球，第一点曹轩头球顶出，禁区弧顶处汪佳捷凌空抽射打偏
37'吕文君拿球进禁区，直接选择抽射打高了！                   34'第34分钟，李运秋大力掷出右侧界外球，第一点曹轩头球顶出，禁区弧顶处汪佳捷凌空抽射打偏
