5'圣埃蒂安球员卡特兰拼抢犯规,对手获得控球权.                   5'第5分钟，迪马利亚传中，伊布禁区内的射门稍稍高出
5'莫塔为巴黎圣日耳曼赢得一个任意球.                   5'第5分钟，迪马利亚传中，伊布禁区内的射门稍稍高出
6'巴黎圣日耳曼球员伊布大禁区中央尝试左脚射门,可惜皮球稍稍高出球门.给他传球的是迪马利亚.                   5'第5分钟，迪马利亚传中，伊布禁区内的射门稍稍高出
7'圣埃蒂安球员索德伦德拼抢犯规,对手获得控球权.                   5'第5分钟，迪马利亚传中，伊布禁区内的射门稍稍高出
7'莫塔为巴黎圣日耳曼赢得一个任意球.                   5'第5分钟，迪马利亚传中，伊布禁区内的射门稍稍高出
8'巴黎圣日耳曼球员马图伊迪一脚直塞球给伊布,但是边裁举旗显示后者已经越位.                   5'第5分钟，迪马利亚传中，伊布禁区内的射门稍稍高出
61'圣埃蒂安球员莫内-帕基特拼抢犯规,对手获得控球权.                   61'巴黎第61分钟打破僵局，小卢卡斯直传，奥利尔禁区右侧传中，无人防守的伊布小禁区边缘凌空捅射入网
61'金彭贝为巴黎圣日耳曼赢得一个任意球.                   61'巴黎第61分钟打破僵局，小卢卡斯直传，奥利尔禁区右侧传中，无人防守的伊布小禁区边缘凌空捅射入网
61'进球啦！！！巴黎圣日耳曼球员伊布大禁区中央右脚射门,球从中路偏上飞进球门,球进了!助攻的是奥里尔. 圣埃蒂安 0-1 巴黎圣日耳曼.                   61'巴黎第61分钟打破僵局，小卢卡斯直传，奥利尔禁区右侧传中，无人防守的伊布小禁区边缘凌空捅射入网
63'圣埃蒂安球员莱莫因拼抢犯规,对手获得控球权.                   61'巴黎第61分钟打破僵局，小卢卡斯直传，奥利尔禁区右侧传中，无人防守的伊布小禁区边缘凌空捅射入网
63'马图伊迪为巴黎圣日耳曼赢得一个任意球.                   61'巴黎第61分钟打破僵局，小卢卡斯直传，奥利尔禁区右侧传中，无人防守的伊布小禁区边缘凌空捅射入网
63'科哈德为圣埃蒂安赢得一个任意球.                   61'巴黎第61分钟打破僵局，小卢卡斯直传，奥利尔禁区右侧传中，无人防守的伊布小禁区边缘凌空捅射入网
63'巴黎圣日耳曼球员伊布拼抢犯规,对手获得控球权.                   61'巴黎第61分钟打破僵局，小卢卡斯直传，奥利尔禁区右侧传中，无人防守的伊布小禁区边缘凌空捅射入网
