1'上半场比赛开始！！                   1'双方第1分钟均显得小心谨慎
1'先来看下双方的首发                   1'双方第1分钟均显得小心谨慎
1'门兴(4-2-3-1)：1-佐默；30-埃尔韦迪，3-克里斯滕森，24-扬奇克，17-文特；8-达胡德，5-施特罗布尔；16-特劳雷，13-施廷德尔，19-约翰逊；11-拉斐尔                   1'双方第1分钟均显得小心谨慎
2'曼城(3-2-4-1)：1-布拉沃；30-奥塔门迪，24-斯通斯，11-科拉罗夫；8-京多安，25-费尔南迪尼奥；15-纳瓦斯，17-德布劳内，21-席尔瓦，7-斯特林；10-阿圭罗                   1'双方第1分钟均显得小心谨慎
3'曼城此前曾在主场4比0大胜门兴，本轮仅需战平即可确保提前出线                   1'双方第1分钟均显得小心谨慎
4'曼城欧战历史上9次客战德国球队3胜6负无平局，其中2次客战门兴1胜1负                   1'双方第1分钟均显得小心谨慎
23'1-0！！！                   23'门兴第23分钟取得领先，施廷德尔左路摆脱斯通斯后切入禁区左侧回传，无人防守的拉斐尔禁区边缘劲射抽射入网
23'拉斐尔！！                   23'门兴第23分钟取得领先，施廷德尔左路摆脱斯通斯后切入禁区左侧回传，无人防守的拉斐尔禁区边缘劲射抽射入网
25'施廷德尔左路跟对方身体对抗下来将球拿到，传球给到禁区中路，拉斐尔停球后稍微摆脱下后直接劲射一脚，布拉沃没有扑到啊！！                   23'门兴第23分钟取得领先，施廷德尔左路摆脱斯通斯后切入禁区左侧回传，无人防守的拉斐尔禁区边缘劲射抽射入网
25'曼城的这次防守中路是空了                   23'门兴第23分钟取得领先，施廷德尔左路摆脱斯通斯后切入禁区左侧回传，无人防守的拉斐尔禁区边缘劲射抽射入网
25'也是缺乏保护                   23'门兴第23分钟取得领先，施廷德尔左路摆脱斯通斯后切入禁区左侧回传，无人防守的拉斐尔禁区边缘劲射抽射入网
