11'果然，张野无法比赛，被肇俊哲换下！！                   11'比赛进行到第11分钟，张野就受伤下场，老将肇俊哲替补登场
12'建业队右路进攻，对方把球破坏出边线                   11'比赛进行到第11分钟，张野就受伤下场，老将肇俊哲替补登场
12'顾操发出界外球，河南建业队发动右路进攻                   11'比赛进行到第11分钟，张野就受伤下场，老将肇俊哲替补登场
12'看到丁海峰受伤倒在地上，河南建业队把球开出边线                   11'比赛进行到第11分钟，张野就受伤下场，老将肇俊哲替补登场
13'马科斯中场拿球，横传到左路                   11'比赛进行到第11分钟，张野就受伤下场，老将肇俊哲替补登场
14'后场河南建业队得球大脚长传中路，对方断球反击                   11'比赛进行到第11分钟，张野就受伤下场，老将肇俊哲替补登场
14'奥格布前场接球，被唐德超放倒，任意球                   11'比赛进行到第11分钟，张野就受伤下场，老将肇俊哲替补登场
14'任意球发到禁区内，对方把球解围出来                   11'比赛进行到第11分钟，张野就受伤下场，老将肇俊哲替补登场
27'辽宁宏运队传球到禁区内，对方顶出来，耶夫蒂奇右路横传，詹姆斯抢点打门球进！但越位在先，进球无效！                   27'第27分钟，辽宁宏运边路斜传禁区，争顶下来后，耶夫蒂奇斜传小禁区，詹姆斯接力凌空射门得手，但裁判示意越位在先，进球无效
27'虽然越位，但给河南建业队的后防提了一个醒！！                   27'第27分钟，辽宁宏运边路斜传禁区，争顶下来后，耶夫蒂奇斜传小禁区，詹姆斯接力凌空射门得手，但裁判示意越位在先，进球无效
28'再见理想1979：主播河南球迷吧[回复]No！我是山东人，保持中立，公证直播！                   27'第27分钟，辽宁宏运边路斜传禁区，争顶下来后，耶夫蒂奇斜传小禁区，詹姆斯接力凌空射门得手，但裁判示意越位在先，进球无效
28'河南建业队右路直传球，顾操没能控到球，配合失误                   27'第27分钟，辽宁宏运边路斜传禁区，争顶下来后，耶夫蒂奇斜传小禁区，詹姆斯接力凌空射门得手，但裁判示意越位在先，进球无效
29'后场辽宁宏运队断球，右路直传球，被破坏出边线                   27'第27分钟，辽宁宏运边路斜传禁区，争顶下来后，耶夫蒂奇斜传小禁区，詹姆斯接力凌空射门得手，但裁判示意越位在先，进球无效
30'金泰延发出界外球，辽宁宏运队长传球丢啦                   27'第27分钟，辽宁宏运边路斜传禁区，争顶下来后，耶夫蒂奇斜传小禁区，詹姆斯接力凌空射门得手，但裁判示意越位在先，进球无效
30'耶夫蒂奇外围拿球，直传禁区，可惜打在了队友身上，桑拉护球交给了守门员                   27'第27分钟，辽宁宏运边路斜传禁区，争顶下来后，耶夫蒂奇斜传小禁区，詹姆斯接力凌空射门得手，但裁判示意越位在先，进球无效
33'辽宁宏运队左路攻到前场，对方犯规                   33'第33分钟，辽宁宏运差点破门，禁区边缘送出弧线球传中，耶夫蒂奇门前抢点射门出了底线
34'任意球发出来，左路横传，詹姆斯一脚劲射，打高啦！！                   33'第33分钟，辽宁宏运差点破门，禁区边缘送出弧线球传中，耶夫蒂奇门前抢点射门出了底线
34'虽然打高了，但韩锋对队友表示出不满！不能给詹姆斯这么从容的打门机会                   33'第33分钟，辽宁宏运差点破门，禁区边缘送出弧线球传中，耶夫蒂奇门前抢点射门出了底线
35'对本场比赛您有什么看法，请发表您的评论！我给大家上墙！                   33'第33分钟，辽宁宏运差点破门，禁区边缘送出弧线球传中，耶夫蒂奇门前抢点射门出了底线
35'河南建业队右路传球出界                   33'第33分钟，辽宁宏运差点破门，禁区边缘送出弧线球传中，耶夫蒂奇门前抢点射门出了底线
35'界外球发出来，回传给张鹭                   33'第33分钟，辽宁宏运差点破门，禁区边缘送出弧线球传中，耶夫蒂奇门前抢点射门出了底线
42'河南建业队进球是由马科斯打进，但一大半的功劳要记在拉斐尔的头上                   42'僵持了近42分钟后，主场作战的河南建业率先打破僵局
44'辽宁宏运队攻到前场，中路突破造成对方犯规                   42'僵持了近42分钟后，主场作战的河南建业率先打破僵局
44'肇俊哲发任意球，被人墙挡出来                   42'僵持了近42分钟后，主场作战的河南建业率先打破僵局
45'肇俊哲左路传禁区，对方把球破坏，辽宁宏运队再挑传，詹姆斯已经到位，好悬啊！被韩锋出击把球没收                   42'僵持了近42分钟后，主场作战的河南建业率先打破僵局
45'比赛已经进入补时阶段                   42'僵持了近42分钟后，主场作战的河南建业率先打破僵局
46'张璐的机会，突破到禁区内，横传球被破坏                   46'下半场易边再战，第46分钟，河南建业边路送出弧线球传中，拉斐尔高高跃起甩头攻门，球被张鹭没收
46'河南建业队再把球转移到左路                   46'下半场易边再战，第46分钟，河南建业边路送出弧线球传中，拉斐尔高高跃起甩头攻门，球被张鹭没收
46'上半场比赛结束，河南建业队1-0领先辽宁宏运队！！！                   46'下半场易边再战，第46分钟，河南建业边路送出弧线球传中，拉斐尔高高跃起甩头攻门，球被张鹭没收
46'下半场比赛开始                   46'下半场易边再战，第46分钟，河南建业边路送出弧线球传中，拉斐尔高高跃起甩头攻门，球被张鹭没收
46'河南建业队右路横传，拉斐尔一脚打门！！被张鹭把球没收！                   46'下半场易边再战，第46分钟，河南建业边路送出弧线球传中，拉斐尔高高跃起甩头攻门，球被张鹭没收
46'张鹭的站位还是不错的                   46'下半场易边再战，第46分钟，河南建业边路送出弧线球传中，拉斐尔高高跃起甩头攻门，球被张鹭没收
46'辽宁宏运队快速攻到前场，左路传到禁区，对方及时解围                   46'下半场易边再战，第46分钟，河南建业边路送出弧线球传中，拉斐尔高高跃起甩头攻门，球被张鹭没收
49'米切尔受伤倒在地上                   46'下半场易边再战，第46分钟，河南建业边路送出弧线球传中，拉斐尔高高跃起甩头攻门，球被张鹭没收
56'后场河南建业队断球，走右路快速进攻                   56'第56分钟，辽宁宏运换人调整，杨超声替下金泰延
57'攻到前场，尹鸿博直传球，对方上抢放倒了张璐                   56'第56分钟，辽宁宏运换人调整，杨超声替下金泰延
57'河南建业队得到前场右翼任意球机会                   56'第56分钟，辽宁宏运换人调整，杨超声替下金泰延
57'任意球发到禁区内，第一落点被对方抢到，把球顶出来                   56'第56分钟，辽宁宏运换人调整，杨超声替下金泰延
58'辽宁宏运队中路进攻，被对方抢断下来                   56'第56分钟，辽宁宏运换人调整，杨超声替下金泰延
58'尹鸿博在中场控球，孙世林上抢犯规                   56'第56分钟，辽宁宏运换人调整，杨超声替下金泰延
58'就在裁判眼前啊，这动作有些大                   56'第56分钟，辽宁宏运换人调整，杨超声替下金泰延
59'顾操右路斜禁区，直接传出了底线                   56'第56分钟，辽宁宏运换人调整，杨超声替下金泰延
66'河南建业队换人：33号毕津浩上场，换下顾操                   64'第64分钟，郑涛出球后，拉斐尔铲球仍未收脚将其放倒在地，后者也被黄牌警告
66'孙世林抢球时犯规！！吃到了黄牌！                   64'第64分钟，郑涛出球后，拉斐尔铲球仍未收脚将其放倒在地，后者也被黄牌警告
67'后场辽宁宏运队得球，左路发动进攻                   64'第64分钟，郑涛出球后，拉斐尔铲球仍未收脚将其放倒在地，后者也被黄牌警告
67'后场辽宁宏运队得球，左路发动进攻                   67'第67分钟，孙世林犯规吃到黄牌
68'宏动右路突破下底横传，直接出底线了啊！但裁判判给了角球，是在韩锋接球后出底线                   67'第67分钟，孙世林犯规吃到黄牌
68'马科斯左路接球，横传球被抢断                   67'第67分钟，孙世林犯规吃到黄牌
68'辽宁宏运队继续加强进攻，要这样打下去，他们会进球的                   67'第67分钟，孙世林犯规吃到黄牌
70'原创天地_3754：下半场建业就不会踢了。[回复]你说的是，还真有点不会打了                   67'第67分钟，孙世林犯规吃到黄牌
70'马科斯左路带球到前场，辽宁宏运队断球反击                   67'第67分钟，孙世林犯规吃到黄牌
70'肇俊哲中路突破分边路，斜传禁区被挡出来                   67'第67分钟，孙世林犯规吃到黄牌
78'奥格布在前场接球，一脚劲射！！打在边网上！                   78'第78分钟，辽宁宏运发动反击，奥里斯头球回做，邱卡凌空低射，球打在了边网上
78'奥里斯在禁区内接球后回顶，奥格布的劲射偏出底线后打在边网                   78'第78分钟，辽宁宏运发动反击，奥里斯头球回做，邱卡凌空低射，球打在了边网上
78'河南建业队左路攻到中场，对方抢球犯规                   78'第78分钟，辽宁宏运发动反击，奥里斯头球回做，邱卡凌空低射，球打在了边网上
79'虽然辽宁宏运队加强进攻，攻势也很猛，但到前场后办法不多！                   78'第78分钟，辽宁宏运发动反击，奥里斯头球回做，邱卡凌空低射，球打在了边网上
80'奥格布在前场接球原地转身打门，皮球从远门住偏出！                   78'第78分钟，辽宁宏运发动反击，奥里斯头球回做，邱卡凌空低射，球打在了边网上
80'马科斯把球分到右路，右路横传，拉斐尔抢点远射，被挡出底线                   78'第78分钟，辽宁宏运发动反击，奥里斯头球回做，邱卡凌空低射，球打在了边网上
81'角球发到禁区内，对方顶出来，徐洋外围劲射，被挡了出来                   78'第78分钟，辽宁宏运发动反击，奥里斯头球回做，邱卡凌空低射，球打在了边网上
81'河南建业队右路突破到禁区内，进攻队员被放倒在地！                   78'第78分钟，辽宁宏运发动反击，奥里斯头球回做，邱卡凌空低射，球打在了边网上
82'但辽宁宏运队没有停止进攻！！这不对啊，有队员受伤应该停下来！此前河南建业队几次看到对方受伤时都停下来！！                   82'第82分钟，双方爆发冲突，桑科被黄牌警告
82'桑科对此不满意，上前与对方发生了争执！                   82'第82分钟，双方爆发冲突，桑科被黄牌警告
