7'皇家马德里球员C罗左侧很远处右脚射门,命中门柱横梁.给他传球的是摩德里奇.                   7'开场7分钟，C罗左侧距门27米处小角度抽出落叶球击中横梁上沿弹出
8'皇家社会球员埃卢斯顿多拼抢犯规,对手获得控球权.                   7'开场7分钟，C罗左侧距门27米处小角度抽出落叶球击中横梁上沿弹出
8'阿韦洛亚为皇家马德里在左路,赢得一个任意球.                   7'开场7分钟，C罗左侧距门27米处小角度抽出落叶球击中横梁上沿弹出
9'C-布拉沃将球处理出底线,皇家马德里获得角球.                   7'开场7分钟，C罗左侧距门27米处小角度抽出落叶球击中横梁上沿弹出
14'射门!!!皇家马德里球员C罗大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是贝尔.                   14'第14分钟，贝尔反越位突入禁区右侧胸部停球回做，C罗在门前12米处左脚低射被布拉沃没收
26'皇家马德里球员C罗大禁区左侧左脚射门,被防守球员封堵.给他传球的是摩德里奇.                   26'第26分钟，摩德里奇中场直传反击，C罗突入禁区似传似射，贝尔加拉飞身铲截右臂触球，点球
26'皇家社会球员贝尔加拉手球,致使对方获得点球.                   26'第26分钟，摩德里奇中场直传反击，C罗突入禁区似传似射，贝尔加拉飞身铲截右臂触球，点球
26'进球啦！！！皇家马德里球员C罗右脚射门,球从中路飞进球门,球进了! 皇家马德里 3-0 皇家社会.                   26'第26分钟，摩德里奇中场直传反击，C罗突入禁区似传似射，贝尔加拉飞身铲截右臂触球，点球
28'C-马丁内斯为皇家社会在右路,赢得一个任意球.                   26'第26分钟，摩德里奇中场直传反击，C罗突入禁区似传似射，贝尔加拉飞身铲截右臂触球，点球
28'皇家马德里球员阿隆索拼抢犯规,对手获得控球权.                   26'第26分钟，摩德里奇中场直传反击，C罗突入禁区似传似射，贝尔加拉飞身铲截右臂触球，点球
29'贝拉为皇家社会在右路,赢得一个任意球.                   26'第26分钟，摩德里奇中场直传反击，C罗突入禁区似传似射，贝尔加拉飞身铲截右臂触球，点球
29'皇家马德里球员佩佩拼抢犯规,对手获得控球权.                   26'第26分钟，摩德里奇中场直传反击，C罗突入禁区似传似射，贝尔加拉飞身铲截右臂触球，点球
29'黄牌！皇家马德里球员佩佩因为恶意犯规,被主裁判出示黄牌.                   26'第26分钟，摩德里奇中场直传反击，C罗突入禁区似传似射，贝尔加拉飞身铲截右臂触球，点球
31'皇家马德里球员贝尔大禁区右侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是摩德里奇.                   31'第31分钟，摩德里奇禁区前沿塞球，贝尔右侧距门10米处左脚推射偏出近门柱
44'射门!!!皇家马德里球员C罗大禁区中央头球,被对方守门员横身扑出.给他传球的是赫迪拉.                   44'第44分钟，赫迪拉右路传中，在门前8米处顶出弹地球被布拉沃没收
44'皇家社会球员C-布拉沃一脚直塞球给塞费罗维奇,但是边裁举旗显示后者已经越位.                   44'第44分钟，赫迪拉右路传中，在门前8米处顶出弹地球被布拉沃没收
45'皇家马德里球员贝尔大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是阿韦洛亚.                   44'第44分钟，赫迪拉右路传中，在门前8米处顶出弹地球被布拉沃没收
45'+1'上半场结束,皇家马德里 4-0 皇家社会,稍事休息,我们一会来看看下半场两队的表现.                   44'第44分钟，赫迪拉右路传中，在门前8米处顶出弹地球被布拉沃没收
45'皇家社会换人,祖鲁图萨换下埃卢斯顿多                   44'第44分钟，赫迪拉右路传中，在门前8米处顶出弹地球被布拉沃没收
45'皇家社会换人,德拉贝利亚上,塞费罗维奇因伤下场.                   44'第44分钟，赫迪拉右路传中，在门前8米处顶出弹地球被布拉沃没收
49'皇家社会球员贝拉大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是哈维-普列托.                   49'第49分钟，贝拉左脚远射偏出左门柱
52'皇家马德里球员佩佩一脚直塞球给本泽马,但是边裁举旗显示后者已经越位.                   49'第49分钟，贝拉左脚远射偏出左门柱
56'皇家马德里球员C罗大禁区左侧尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是贝尔.                   56'第56分钟，贝尔传球，C罗禁区左侧射门偏出远门柱，防守C罗的卡洛斯-马丁内斯受伤接受治疗
