8'热刺球员索尔达多拼抢犯规,对手获得控球权.                   8'第8分钟，前热刺中场利弗莫尔右路25码处低射远角入网
8'拉米雷斯为胡尔城赢得一个任意球.                   8'第8分钟，前热刺中场利弗莫尔右路25码处低射远角入网
8'进球啦！！！胡尔城球员利维摩尔大禁区外右脚射门,球从左下角飞进球门,球进了! 胡尔城 1-0 热刺.                   8'第8分钟，前热刺中场利弗莫尔右路25码处低射远角入网
9'拉梅拉为热刺在对方半场,赢得一个任意球.                   8'第8分钟，前热刺中场利弗莫尔右路25码处低射远角入网
9'胡尔城球员霍德斯通拼抢犯规,对手获得控球权.                   8'第8分钟，前热刺中场利弗莫尔右路25码处低射远角入网
10'道森将球处理出底线,热刺获得角球.                   8'第8分钟，前热刺中场利弗莫尔右路25码处低射远角入网
50'胡尔城球员拉米雷斯拼抢犯规,对手获得控球权.                   50'第50分钟，拉米雷斯前场突破受阻倒地后踢翻维尔通亨，主裁在边裁提醒下红牌直接罚下胡尔城中场
50'维尔通亨为热刺赢得一个任意球.                   50'第50分钟，拉米雷斯前场突破受阻倒地后踢翻维尔通亨，主裁在边裁提醒下红牌直接罚下胡尔城中场
50'胡尔城球员拉米雷斯因为在场上斗殴,被裁判直接红牌罚下.                   50'第50分钟，拉米雷斯前场突破受阻倒地后踢翻维尔通亨，主裁在边裁提醒下红牌直接罚下胡尔城中场
52'道森将球处理出底线,热刺获得角球.                   50'第50分钟，拉米雷斯前场突破受阻倒地后踢翻维尔通亨，主裁在边裁提醒下红牌直接罚下胡尔城中场
53'热刺球员登贝莱大禁区外左脚射门,被防守球员封堵.给他传球的是马松.                   50'第50分钟，拉米雷斯前场突破受阻倒地后踢翻维尔通亨，主裁在边裁提醒下红牌直接罚下胡尔城中场
53'热刺球员法西奥大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是拉梅拉.                   50'第50分钟，拉米雷斯前场突破受阻倒地后踢翻维尔通亨，主裁在边裁提醒下红牌直接罚下胡尔城中场
90'进球啦！！！热刺球员埃里克森大禁区外右脚射门,球从左下角飞进球门,球进了!助攻的是列侬. 胡尔城 1-2 热刺.                   90'第90分钟，列农传球，埃里克森20码处射出反弹球入左下角
90'+2'胡尔城球员Andrew Robertson被主裁判出示了一张黄牌.                   90'第90分钟，列农传球，埃里克森20码处射出反弹球入左下角
90'+2'胡尔城球员C-戴维斯大禁区中央尝试头球,可惜皮球高出右上角球门.给他传球的是艾莫哈马蒂.                   90'第90分钟，列农传球，埃里克森20码处射出反弹球入左下角
90'+3'热刺球员拉梅拉大禁区外左脚射门,被防守球员封堵.给他传球的是埃里克森.                   90'第90分钟，列农传球，埃里克森20码处射出反弹球入左下角
90'+4'道森将球处理出底线,热刺获得角球.                   90'第90分钟，列农传球，埃里克森20码处射出反弹球入左下角
90'+5'下半场结束,胡尔城 1-2 热刺                   90'第90分钟，列农传球，埃里克森20码处射出反弹球入左下角
