1'上半场比赛开始！                   1'双方第1分钟拼抢激烈
1'上半场由水晶宫中圈开球                   1'双方第1分钟拼抢激烈
1'水晶宫身穿蓝色战袍，红色袖子                   1'双方第1分钟拼抢激烈
1'曼城是一身黑色战袍                   1'双方第1分钟拼抢激烈
2'水晶宫的进攻，费尔南多拉了庞琼一把                   1'双方第1分钟拼抢激烈
2'水晶宫前场偏左的任意球机会                   1'双方第1分钟拼抢激烈
3'卡巴耶起球到禁区，科拉罗夫头球蹭一下                   1'双方第1分钟拼抢激烈
3'科拉罗夫再补一头将球顶出边线                   1'双方第1分钟拼抢激烈
3'沃德掷界外球                   1'双方第1分钟拼抢激烈
3'曼城的解围                   1'双方第1分钟拼抢激烈
3'凯利回防到位将球回传给亨尼西                   1'双方第1分钟拼抢激烈
3'沃德挑传上来                   1'双方第1分钟拼抢激烈
4'曼城反击，德布劳内事寰球不到右侧传中，亨尼西将球控制                   1'双方第1分钟拼抢激烈
4'回复：狂生李某  23:00 举报回复  丫丫图雷能上场了？（你没有看错，亚亚图雷今天首发出场）                   1'双方第1分钟拼抢激烈
26'亨尼西后场开大脚                   26'第26分钟，孔帕尼被出击接高球的布拉沃撞倒，但比利时人经过治疗后继续比赛
26'直接形成长传到对方禁区，本特克去追                   26'第26分钟，孔帕尼被出击接高球的布拉沃撞倒，但比利时人经过治疗后继续比赛
26'布拉沃出击将球拿住                   26'第26分钟，孔帕尼被出击接高球的布拉沃撞倒，但比利时人经过治疗后继续比赛
26'不过回追的孔帕尼被布拉沃抬起的膝盖撞着了                   26'第26分钟，孔帕尼被出击接高球的布拉沃撞倒，但比利时人经过治疗后继续比赛
27'需要队医入场为孔帕尼观察                   26'第26分钟，孔帕尼被出击接高球的布拉沃撞倒，但比利时人经过治疗后继续比赛
28'情况看来不是很乐观                   26'第26分钟，孔帕尼被出击接高球的布拉沃撞倒，但比利时人经过治疗后继续比赛
28'队医不断询问孔帕尼                   26'第26分钟，孔帕尼被出击接高球的布拉沃撞倒，但比利时人经过治疗后继续比赛
29'孔帕尼有点晕                   26'第26分钟，孔帕尼被出击接高球的布拉沃撞倒，但比利时人经过治疗后继续比赛
29'孔帕尼自行走下场，比赛先恢复                   26'第26分钟，孔帕尼被出击接高球的布拉沃撞倒，但比利时人经过治疗后继续比赛
29'布拉沃长传上来，斯特林有犯规                   26'第26分钟，孔帕尼被出击接高球的布拉沃撞倒，但比利时人经过治疗后继续比赛
29'孔帕尼已经回到场上                   26'第26分钟，孔帕尼被出击接高球的布拉沃撞倒，但比利时人经过治疗后继续比赛
39'德布劳内断球，亚亚图雷过渡给阿圭罗                   39'曼城第39分钟打破僵局，阿圭罗禁区左侧回传，亚亚-图雷同诺利托踢墙配合后15码处劲射，皮球打在汤姆金斯腿上偏转入上角
39'亚亚图雷进球了！漂亮！                   39'曼城第39分钟打破僵局，阿圭罗禁区左侧回传，亚亚-图雷同诺利托踢墙配合后15码处劲射，皮球打在汤姆金斯腿上偏转入上角
40'阿圭罗禁区左侧回给亚亚图雷，亚亚图雷盘带直传，诺利托禁区内做墙回做，亚亚图雷距离球门15码处脚弓大力推射球门左上角球进！                   39'曼城第39分钟打破僵局，阿圭罗禁区左侧回传，亚亚-图雷同诺利托踢墙配合后15码处劲射，皮球打在汤姆金斯腿上偏转入上角
42'亨尼西长传上来                   39'曼城第39分钟打破僵局，阿圭罗禁区左侧回传，亚亚-图雷同诺利托踢墙配合后15码处劲射，皮球打在汤姆金斯腿上偏转入上角
42'奥塔门迪头球顶出来                    39'曼城第39分钟打破僵局，阿圭罗禁区左侧回传，亚亚-图雷同诺利托踢墙配合后15码处劲射，皮球打在汤姆金斯腿上偏转入上角
42'本特克控球分给庞琼                   39'曼城第39分钟打破僵局，阿圭罗禁区左侧回传，亚亚-图雷同诺利托踢墙配合后15码处劲射，皮球打在汤姆金斯腿上偏转入上角
42'斜传，本特克争顶时下路推人犯规                   39'曼城第39分钟打破僵局，阿圭罗禁区左侧回传，亚亚-图雷同诺利托踢墙配合后15码处劲射，皮球打在汤姆金斯腿上偏转入上角
