1'梅德尔为国际米兰赢得一个任意球.                   1'第1分钟，坎德雷瓦和孔多比亚接连远射
1'卡利亚里球员乔-佩德罗拼抢犯规,对手获得控球权.                   1'第1分钟，坎德雷瓦和孔多比亚接连远射
3'乔-佩德罗为卡利亚里赢得一个任意球.                   1'第1分钟，坎德雷瓦和孔多比亚接连远射
3'国际米兰球员德安布罗西奥拼抢犯规,对手获得控球权.                   1'第1分钟，坎德雷瓦和孔多比亚接连远射
34'进球啦！！！国际米兰球员佩里西奇大禁区中央左脚射门,球从右下角飞进球门,球进了!助攻的是巴内加. 卡利亚里 0-1 国际米兰.                   34'国米第34分钟取得领先
36'Artur Ionita为卡利亚里赢得一个任意球.                   34'国米第34分钟取得领先
36'国际米兰球员佩里西奇拼抢犯规,对手获得控球权.                   34'国米第34分钟取得领先
50'迪詹纳罗为卡利亚里赢得一个任意球.                   50'仅过5分钟，皮萨卡内手球犯规，巴内加左侧距门22米处主罚任意球越过人墙入近角，2比0
50'国际米兰球员安萨尔迪拼抢犯规,对手获得控球权.                   50'仅过5分钟，皮萨卡内手球犯规，巴内加左侧距门22米处主罚任意球越过人墙入近角，2比0
53'卡利亚里球员伊斯拉拼抢犯规,对手获得控球权.                   50'仅过5分钟，皮萨卡内手球犯规，巴内加左侧距门22米处主罚任意球越过人墙入近角，2比0
53'米兰达为国际米兰赢得一个任意球.                   50'仅过5分钟，皮萨卡内手球犯规，巴内加左侧距门22米处主罚任意球越过人墙入近角，2比0
42'射门!!!卡利亚里球员迪詹纳罗右侧远离球门处小角度左脚射门,被对方守门员横身扑出.                   42'卡利亚里第42分钟扳回一球，巴雷拉左路斜传，博列洛在门前9米处头球顶进远角，1比2
42'进球啦！！！卡利亚里球员博列洛大禁区中央头球,球从右下角飞进球门,球进了!助攻的是巴雷拉. 卡利亚里 1-2 国际米兰.                   42'卡利亚里第42分钟扳回一球，巴雷拉左路斜传，博列洛在门前9米处头球顶进远角，1比2
43'安萨尔迪将球处理出底线,卡利亚里获得角球.                   42'卡利亚里第42分钟扳回一球，巴雷拉左路斜传，博列洛在门前9米处头球顶进远角，1比2
43'射门!!!卡利亚里球员Artur Ionita大禁区中央头球,被对方守门员横身扑出.给他传球的是巴雷拉.                   42'卡利亚里第42分钟扳回一球，巴雷拉左路斜传，博列洛在门前9米处头球顶进远角，1比2
44'国际米兰受伤倒地,比赛暂停                   42'卡利亚里第42分钟扳回一球，巴雷拉左路斜传，博列洛在门前9米处头球顶进远角，1比2
44'暂停结束,球员们重新开始比赛.                   42'卡利亚里第42分钟扳回一球，巴雷拉左路斜传，博列洛在门前9米处头球顶进远角，1比2
45'佩里西奇将球处理出底线,卡利亚里获得角球.                   42'卡利亚里第42分钟扳回一球，巴雷拉左路斜传，博列洛在门前9米处头球顶进远角，1比2
45'+1'博列洛将球处理出底线,国际米兰获得角球.                   42'卡利亚里第42分钟扳回一球，巴雷拉左路斜传，博列洛在门前9米处头球顶进远角，1比2
45'+2'上半场结束,卡利亚里 1-2 国际米兰,稍事休息,我们一会来看看下半场两队的表现.                   42'卡利亚里第42分钟扳回一球，巴雷拉左路斜传，博列洛在门前9米处头球顶进远角，1比2
47'进球啦！！！国际米兰球员佩里西奇大禁区左侧右脚射门,球从右下角飞进球门,球进了! 卡利亚里 1-3 国际米兰.                   46'1分钟后，巴雷拉右侧开出角球，约尼塔在门前9米处头球被汉达诺维奇得到
48'Fabio Pisacane为卡利亚里赢得一个任意球.                   46'1分钟后，巴雷拉右侧开出角球，约尼塔在门前9米处头球被汉达诺维奇得到
48'国际米兰球员伊卡尔迪拼抢犯规,对手获得控球权.                   46'1分钟后，巴雷拉右侧开出角球，约尼塔在门前9米处头球被汉达诺维奇得到
49'米兰达将球处理出底线,卡利亚里获得角球.                   46'1分钟后，巴雷拉右侧开出角球，约尼塔在门前9米处头球被汉达诺维奇得到
67'进球啦！！！国际米兰球员伊卡尔迪右脚射门,球从左下角飞进球门,球进了! 卡利亚里 1-4 国际米兰.                   67'国米第67分钟扩大战果，丹布罗西奥右肋送出直塞，伊卡尔迪及时插上，趟过加布里埃尔之后被扑倒，点球
69'射门!!!国际米兰球员孔多比亚大禁区外左脚射门,被对方守门员横身扑出.给他传球的是加格里亚迪尼.                   67'国米第67分钟扩大战果，丹布罗西奥右肋送出直塞，伊卡尔迪及时插上，趟过加布里埃尔之后被扑倒，点球
69'加布里埃尔将球处理出底线,国际米兰获得角球.                   67'国米第67分钟扩大战果，丹布罗西奥右肋送出直塞，伊卡尔迪及时插上，趟过加布里埃尔之后被扑倒，点球
79'帕多因为卡利亚里赢得一个任意球.                   79'伊卡尔迪第79分钟几乎梅开二度，若昂-马里奥左路突入禁区回做，伊卡尔迪在门前10米处推射击中横梁
79'国际米兰球员若奥-马里奥拼抢犯规,对手获得控球权.                   79'伊卡尔迪第79分钟几乎梅开二度，若昂-马里奥左路突入禁区回做，伊卡尔迪在门前10米处推射击中横梁
79'国际米兰球员伊卡尔迪大禁区中央右脚射门,命中门柱横梁.给他传球的是若奥-马里奥.                   79'伊卡尔迪第79分钟几乎梅开二度，若昂-马里奥左路突入禁区回做，伊卡尔迪在门前10米处推射击中横梁
80'卡利亚里球员Artur Ionita拼抢犯规,对手获得控球权.                   79'伊卡尔迪第79分钟几乎梅开二度，若昂-马里奥左路突入禁区回做，伊卡尔迪在门前10米处推射击中横梁
80'安萨尔迪为国际米兰赢得一个任意球.                   79'伊卡尔迪第79分钟几乎梅开二度，若昂-马里奥左路突入禁区回做，伊卡尔迪在门前10米处推射击中横梁
81'国际米兰受伤倒地,比赛暂停                   79'伊卡尔迪第79分钟几乎梅开二度，若昂-马里奥左路突入禁区回做，伊卡尔迪在门前10米处推射击中横梁
81'暂停结束,球员们重新开始比赛.                   79'伊卡尔迪第79分钟几乎梅开二度，若昂-马里奥左路突入禁区回做，伊卡尔迪在门前10米处推射击中横梁
82'卡利亚里球员伊瓦尔沃大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是德塞纳.                   79'伊卡尔迪第79分钟几乎梅开二度，若昂-马里奥左路突入禁区回做，伊卡尔迪在门前10米处推射击中横梁
90'卡利亚里球员马克-苏拼抢犯规,对手获得控球权.                   89'国米第89分钟锦上添花，埃德尔左侧低传，加利亚尔迪尼在门前25米处低射直窜左下角，5比1
90'孔多比亚为国际米兰赢得一个任意球.                   89'国米第89分钟锦上添花，埃德尔左侧低传，加利亚尔迪尼在门前25米处低射直窜左下角，5比1
90'+1'下半场结束,卡利亚里 1-5 国际米兰                   89'国米第89分钟锦上添花，埃德尔左侧低传，加利亚尔迪尼在门前25米处低射直窜左下角，5比1
