2'乌迪内斯球员福法纳拼抢犯规,对手获得控球权.                   1'第1分钟，布鲁诺-佩雷斯大力抽射被卡尔内齐斯扑出
2'纳因戈兰为罗马在右路,赢得一个任意球.                   1'第1分钟，布鲁诺-佩雷斯大力抽射被卡尔内齐斯扑出
65'进球啦！！！罗马球员佩罗蒂右脚射门,球从右下角飞进球门,球进了! 罗马 1-0 乌迪内斯.                   65'红狼第65分钟打破僵局，哲科被达尼洛铲倒，佩罗蒂点球命中
65'进球啦！！！罗马球员佩罗蒂右脚射门,球从右下角飞进球门,球进了! 罗马 1-0 乌迪内斯.                   65'红狼第65分钟打破僵局，哲科被达尼洛铲倒，佩罗蒂点球命中
66'斯泽斯尼将球处理出底线,乌迪内斯获得角球.                   65'红狼第65分钟打破僵局，哲科被达尼洛铲倒，佩罗蒂点球命中
66'斯泽斯尼将球处理出底线,乌迪内斯获得角球.                   65'红狼第65分钟打破僵局，哲科被达尼洛铲倒，佩罗蒂点球命中
68'乌迪内斯球员巴杜拼抢犯规,对手获得控球权.                   65'红狼第65分钟打破僵局，哲科被达尼洛铲倒，佩罗蒂点球命中
68'乌迪内斯球员巴杜拼抢犯规,对手获得控球权.                   65'红狼第65分钟打破僵局，哲科被达尼洛铲倒，佩罗蒂点球命中
68'埃莫森为罗马在左路,赢得一个任意球.                   65'红狼第65分钟打破僵局，哲科被达尼洛铲倒，佩罗蒂点球命中
68'埃莫森为罗马在左路,赢得一个任意球.                   65'红狼第65分钟打破僵局，哲科被达尼洛铲倒，佩罗蒂点球命中
68'乌迪内斯换人,Adalberto Peñaranda换下Rodrigo de Paul                   65'红狼第65分钟打破僵局，哲科被达尼洛铲倒，佩罗蒂点球命中
68'乌迪内斯换人,Adalberto Peñaranda换下Rodrigo de Paul                   65'红狼第65分钟打破僵局，哲科被达尼洛铲倒，佩罗蒂点球命中
68'罗马球员马诺拉斯球门线跟前尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是Leandro Paredes.                   65'红狼第65分钟打破僵局，哲科被达尼洛铲倒，佩罗蒂点球命中
68'罗马球员马诺拉斯球门线跟前尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是Leandro Paredes.                   65'红狼第65分钟打破僵局，哲科被达尼洛铲倒，佩罗蒂点球命中
82'罗马球员纳因戈兰大禁区中央右脚射门,被防守球员封堵.给他传球的是哲科.                   82'第82分钟，帕雷德斯直传，纳英戈兰禁区右侧铲传，哲科后点距门3米处推进，3比0
82'罗马球员纳因戈兰大禁区中央右脚射门,被防守球员封堵.给他传球的是哲科.                   82'第82分钟，帕雷德斯直传，纳英戈兰禁区右侧铲传，哲科后点距门3米处推进，3比0
82'Samir将球处理出底线,罗马获得角球.                   82'第82分钟，帕雷德斯直传，纳英戈兰禁区右侧铲传，哲科后点距门3米处推进，3比0
82'Samir将球处理出底线,罗马获得角球.                   82'第82分钟，帕雷德斯直传，纳英戈兰禁区右侧铲传，哲科后点距门3米处推进，3比0
82'进球啦！！！罗马球员哲科球门线跟前左脚射门,球从中路飞进球门,球进了!助攻的是纳因戈兰. 罗马 3-0 乌迪内斯.                   82'第82分钟，帕雷德斯直传，纳英戈兰禁区右侧铲传，哲科后点距门3米处推进，3比0
82'进球啦！！！罗马球员哲科球门线跟前左脚射门,球从中路飞进球门,球进了!助攻的是纳因戈兰. 罗马 3-0 乌迪内斯.                   82'第82分钟，帕雷德斯直传，纳英戈兰禁区右侧铲传，哲科后点距门3米处推进，3比0
84'射门!!!罗马球员萨拉赫球门线跟前头球,被对方守门员横身扑出.给他传球的是佩罗蒂.                   82'第82分钟，帕雷德斯直传，纳英戈兰禁区右侧铲传，哲科后点距门3米处推进，3比0
84'射门!!!罗马球员萨拉赫球门线跟前头球,被对方守门员横身扑出.给他传球的是佩罗蒂.                   82'第82分钟，帕雷德斯直传，纳英戈兰禁区右侧铲传，哲科后点距门3米处推进，3比0
84'进球啦！！！罗马球员萨拉赫球门线跟前左脚射门,球从右上角飞进球门,球进了! 罗马 4-0 乌迪内斯.                   82'第82分钟，帕雷德斯直传，纳英戈兰禁区右侧铲传，哲科后点距门3米处推进，3比0
84'进球啦！！！罗马球员萨拉赫球门线跟前左脚射门,球从右上角飞进球门,球进了! 罗马 4-0 乌迪内斯.                   82'第82分钟，帕雷德斯直传，纳英戈兰禁区右侧铲传，哲科后点距门3米处推进，3比0
85'罗马球员萨拉赫大禁区外尝试左脚射门,可惜皮球高出球门.                   82'第82分钟，帕雷德斯直传，纳英戈兰禁区右侧铲传，哲科后点距门3米处推进，3比0
85'罗马球员萨拉赫大禁区外尝试左脚射门,可惜皮球高出球门.                   82'第82分钟，帕雷德斯直传，纳英戈兰禁区右侧铲传，哲科后点距门3米处推进，3比0
