7'科瓦契奇前场中路拿球，直塞给到阿森西奥                   7'皇马第7分钟险些破门，阿什拉夫右路传中，贝尔前点近距离头球攻门被扑出
7'再回传伊斯科，横传科瓦契奇                   7'皇马第7分钟险些破门，阿什拉夫右路传中，贝尔前点近距离头球攻门被扑出
7'过顶给到禁区右侧的巴斯克斯                   7'皇马第7分钟险些破门，阿什拉夫右路传中，贝尔前点近距离头球攻门被扑出
7'巴斯克斯的下底传中，被挡出了底线！！！                   7'皇马第7分钟险些破门，阿什拉夫右路传中，贝尔前点近距离头球攻门被扑出
7'皇马获得了右侧角球机会！！                   7'皇马第7分钟险些破门，阿什拉夫右路传中，贝尔前点近距离头球攻门被扑出
7'角球开出到禁区，第一点被解围！！                   7'皇马第7分钟险些破门，阿什拉夫右路传中，贝尔前点近距离头球攻门被扑出
8'伊斯科右路拿球，内切再分上来的阿什拉夫                   7'皇马第7分钟险些破门，阿什拉夫右路传中，贝尔前点近距离头球攻门被扑出
8'阿什拉夫的下底传中到前点                   7'皇马第7分钟险些破门，阿什拉夫右路传中，贝尔前点近距离头球攻门被扑出
8'贝尔的甩头轰门，被迭戈-洛佩兹没收！                   7'皇马第7分钟险些破门，阿什拉夫右路传中，贝尔前点近距离头球攻门被扑出
9'卡洛斯-桑切斯这边有些受伤，坐在地上                   7'皇马第7分钟险些破门，阿什拉夫右路传中，贝尔前点近距离头球攻门被扑出
9'队医进场简单处理后，卡洛斯-桑切斯继续比赛                   7'皇马第7分钟险些破门，阿什拉夫右路传中，贝尔前点近距离头球攻门被扑出
9'不过走起路来一瘸一拐，看看能坚持多久吧                   7'皇马第7分钟险些破门，阿什拉夫右路传中，贝尔前点近距离头球攻门被扑出
10'伊斯科右路拿球，直塞给到阿森西奥                   7'皇马第7分钟险些破门，阿什拉夫右路传中，贝尔前点近距离头球攻门被扑出
10'阿森西奥沿着底线内切，变向摆脱阿隆                   7'皇马第7分钟险些破门，阿什拉夫右路传中，贝尔前点近距离头球攻门被扑出
10'面对补防的大卫-洛佩兹，再突                   7'皇马第7分钟险些破门，阿什拉夫右路传中，贝尔前点近距离头球攻门被扑出
10'自己将球趟出了底线，门球                   7'皇马第7分钟险些破门，阿什拉夫右路传中，贝尔前点近距离头球攻门被扑出
26'巴斯克斯的逼抢，卡洛斯-桑切斯回传杜阿尔特                   26'西班牙人第26分钟错过机会，拉莫斯解围，卡洛斯-桑切斯头球前顶，莫雷诺突入10码处单刀射门偏出
26'送出过顶找前插的杰拉德                   26'西班牙人第26分钟错过机会，拉莫斯解围，卡洛斯-桑切斯头球前顶，莫雷诺突入10码处单刀射门偏出
26'瓦拉内补防过来，将球拦截                   26'西班牙人第26分钟错过机会，拉莫斯解围，卡洛斯-桑切斯头球前顶，莫雷诺突入10码处单刀射门偏出
27'回传纳瓦斯，再给左侧瓦拉内                   26'西班牙人第26分钟错过机会，拉莫斯解围，卡洛斯-桑切斯头球前顶，莫雷诺突入10码处单刀射门偏出
27'瓦拉内挑传想给略伦特                   26'西班牙人第26分钟错过机会，拉莫斯解围，卡洛斯-桑切斯头球前顶，莫雷诺突入10码处单刀射门偏出
27'打在了加西亚的头球变向到了禁区                   26'西班牙人第26分钟错过机会，拉莫斯解围，卡洛斯-桑切斯头球前顶，莫雷诺突入10码处单刀射门偏出
27'杰拉德插上拿球，面对纳瓦斯                   26'西班牙人第26分钟错过机会，拉莫斯解围，卡洛斯-桑切斯头球前顶，莫雷诺突入10码处单刀射门偏出
27'右脚抽射，打偏了一点点啊！！                   26'西班牙人第26分钟错过机会，拉莫斯解围，卡洛斯-桑切斯头球前顶，莫雷诺突入10码处单刀射门偏出
28'这球绝好的机会，可惜没能改写比分                   26'西班牙人第26分钟错过机会，拉莫斯解围，卡洛斯-桑切斯头球前顶，莫雷诺突入10码处单刀射门偏出
28'皇马的前场进攻，赢得右侧任意球机会                   26'西班牙人第26分钟错过机会，拉莫斯解围，卡洛斯-桑切斯头球前顶，莫雷诺突入10码处单刀射门偏出
28'伊斯科任意球斜传到后点，没能形成威胁！                   26'西班牙人第26分钟错过机会，拉莫斯解围，卡洛斯-桑切斯头球前顶，莫雷诺突入10码处单刀射门偏出
29'纳乔左路拿球，面对逼抢                   26'西班牙人第26分钟错过机会，拉莫斯解围，卡洛斯-桑切斯头球前顶，莫雷诺突入10码处单刀射门偏出
29'没机会，回传给到略伦特                   26'西班牙人第26分钟错过机会，拉莫斯解围，卡洛斯-桑切斯头球前顶，莫雷诺突入10码处单刀射门偏出
29'再横传找科瓦契奇，被断了                   26'西班牙人第26分钟错过机会，拉莫斯解围，卡洛斯-桑切斯头球前顶，莫雷诺突入10码处单刀射门偏出
29'西班牙人的反击，直塞找前插的皮亚蒂                   26'西班牙人第26分钟错过机会，拉莫斯解围，卡洛斯-桑切斯头球前顶，莫雷诺突入10码处单刀射门偏出
29'阿什拉夫回防卡位，撞翻了皮亚蒂                   26'西班牙人第26分钟错过机会，拉莫斯解围，卡洛斯-桑切斯头球前顶，莫雷诺突入10码处单刀射门偏出
88'分球左侧给阿隆，再给达德尔                   88'西班牙人第88分钟险些绝杀，塞尔吉奥-加西亚直传，阿什拉夫拖后令造越位失败，禁区右侧10码处弧线球射门偏出远角
88'斜塞禁区弧顶格拉内罗，拉莫斯的几位                   88'西班牙人第88分钟险些绝杀，塞尔吉奥-加西亚直传，阿什拉夫拖后令造越位失败，禁区右侧10码处弧线球射门偏出远角
88'解围！！                   88'西班牙人第88分钟险些绝杀，塞尔吉奥-加西亚直传，阿什拉夫拖后令造越位失败，禁区右侧10码处弧线球射门偏出远角
88'莱奥禁区左侧拿球，再传禁区                   88'西班牙人第88分钟险些绝杀，塞尔吉奥-加西亚直传，阿什拉夫拖后令造越位失败，禁区右侧10码处弧线球射门偏出远角
88'拉莫斯抢在加西亚之前，将球解围                   88'西班牙人第88分钟险些绝杀，塞尔吉奥-加西亚直传，阿什拉夫拖后令造越位失败，禁区右侧10码处弧线球射门偏出远角
89'卡洛斯-桑切斯外围拿球，再给右路的纳瓦罗                   88'西班牙人第88分钟险些绝杀，塞尔吉奥-加西亚直传，阿什拉夫拖后令造越位失败，禁区右侧10码处弧线球射门偏出远角
89'纳瓦罗斜塞禁区找到杰拉德-莫雷诺                   88'西班牙人第88分钟险些绝杀，塞尔吉奥-加西亚直传，阿什拉夫拖后令造越位失败，禁区右侧10码处弧线球射门偏出远角
89'杰拉德-莫雷诺急停一扣，接着一脚搓射，打偏                   88'西班牙人第88分钟险些绝杀，塞尔吉奥-加西亚直传，阿什拉夫拖后令造越位失败，禁区右侧10码处弧线球射门偏出远角
90'莱奥示意自己这里空了啊                   88'西班牙人第88分钟险些绝杀，塞尔吉奥-加西亚直传，阿什拉夫拖后令造越位失败，禁区右侧10码处弧线球射门偏出远角
90'皇马换人：21号马约拉尔上，换下了23号科瓦契奇                   88'西班牙人第88分钟险些绝杀，塞尔吉奥-加西亚直传，阿什拉夫拖后令造越位失败，禁区右侧10码处弧线球射门偏出远角
90'西班牙人中场的抢断，直接吊门                   88'西班牙人第88分钟险些绝杀，塞尔吉奥-加西亚直传，阿什拉夫拖后令造越位失败，禁区右侧10码处弧线球射门偏出远角
