4'内马尔刚刚完成了一记头球攻门，没有顶上力量。                   4'第4分钟，阿尔维斯右路传中，无人防守的内马尔远点头球攻门被卡西利亚没收
4'西班牙人前场边线球。                   4'第4分钟，阿尔维斯右路传中，无人防守的内马尔远点头球攻门被卡西利亚没收
4'边线球开出塞尔吉奥-加西亚完成了一记左脚打门！稍稍偏出！                   4'第4分钟，阿尔维斯右路传中，无人防守的内马尔远点头球攻门被卡西利亚没收
5'马斯切拉诺今天防守压力略大！                   4'第4分钟，阿尔维斯右路传中，无人防守的内马尔远点头球攻门被卡西利亚没收
5'门球开出，球权还在西班牙人这边，                   4'第4分钟，阿尔维斯右路传中，无人防守的内马尔远点头球攻门被卡西利亚没收
5'长传找加西亚越位了，巴萨控球。                   4'第4分钟，阿尔维斯右路传中，无人防守的内马尔远点头球攻门被卡西利亚没收
5'球在左边，内马尔回做给哈维。                   4'第4分钟，阿尔维斯右路传中，无人防守的内马尔远点头球攻门被卡西利亚没收
6'阿尔维斯斜传禁区找内马尔被中卫桑切斯头球解围。                   4'第4分钟，阿尔维斯右路传中，无人防守的内马尔远点头球攻门被卡西利亚没收
6'抢答来啦！！                   4'第4分钟，阿尔维斯右路传中，无人防守的内马尔远点头球攻门被卡西利亚没收
6'[qiangda]西班牙人阵中哪一名球员曾效力于巴塞罗那？A西芒 B.桑切斯 C.皮齐 D.卡西利亚                   4'第4分钟，阿尔维斯右路传中，无人防守的内马尔远点头球攻门被卡西利亚没收
7'西班牙人球门球直接开到前场，马斯切拉诺大脚开到前场，内马尔停球被放倒了。                   4'第4分钟，阿尔维斯右路传中，无人防守的内马尔远点头球攻门被卡西利亚没收
7'偶型偶塑168 :同学聚会在歌厅先跑回来看巴萨的球迷求上墙(23:06)----你们太调皮了！好好看球！留言！                   4'第4分钟，阿尔维斯右路传中，无人防守的内马尔远点头球攻门被卡西利亚没收
7'巴萨后场控制皮球，耐心组织。                   4'第4分钟，阿尔维斯右路传中，无人防守的内马尔远点头球攻门被卡西利亚没收
10'佩德罗回传阿尔维斯，阿尔维斯挑传梅西，梅西的打门被卡西利亚没收，这个球很有威胁啊！                   10'第10分钟，阿尔维斯传球，梅西小禁区右侧捅射被卡西利亚封堵后没收
