2'力帆中场拿球给到左路                   2'开场第2分钟力帆就通过左路任意球形成攻势，费尔南多禁区内凌空攻门打高
2'克里梅茨边路防守犯规                   2'开场第2分钟力帆就通过左路任意球形成攻势，费尔南多禁区内凌空攻门打高
2'力帆前场获得一个任意球机会                   2'开场第2分钟力帆就通过左路任意球形成攻势，费尔南多禁区内凌空攻门打高
2'任意球送禁区内                   2'开场第2分钟力帆就通过左路任意球形成攻势，费尔南多禁区内凌空攻门打高
2'前点被国安队争顶下来                   2'开场第2分钟力帆就通过左路任意球形成攻势，费尔南多禁区内凌空攻门打高
3'二点，费尔南多大力轰门将球打高                   2'开场第2分钟力帆就通过左路任意球形成攻势，费尔南多禁区内凌空攻门打高
3'力帆长传打到前场                   2'开场第2分钟力帆就通过左路任意球形成攻势，费尔南多禁区内凌空攻门打高
4'克里梅茨大脚将球解围                   2'开场第2分钟力帆就通过左路任意球形成攻势，费尔南多禁区内凌空攻门打高
4'力帆左路下底给到禁区                   2'开场第2分钟力帆就通过左路任意球形成攻势，费尔南多禁区内凌空攻门打高
4'赵和靖头球顶出来                   2'开场第2分钟力帆就通过左路任意球形成攻势，费尔南多禁区内凌空攻门打高
4'开场后力帆打得并不保守                   2'开场第2分钟力帆就通过左路任意球形成攻势，费尔南多禁区内凌空攻门打高
4'丁捷快速出球                   2'开场第2分钟力帆就通过左路任意球形成攻势，费尔南多禁区内凌空攻门打高
4'朴成这边阻挡了一下                   2'开场第2分钟力帆就通过左路任意球形成攻势，费尔南多禁区内凌空攻门打高
5'王栋边路传球送禁区                   2'开场第2分钟力帆就通过左路任意球形成攻势，费尔南多禁区内凌空攻门打高
5'克里梅茨将球解围出禁区                   2'开场第2分钟力帆就通过左路任意球形成攻势，费尔南多禁区内凌空攻门打高
5'力帆的角球机会                   2'开场第2分钟力帆就通过左路任意球形成攻势，费尔南多禁区内凌空攻门打高
5'角球送中路                   2'开场第2分钟力帆就通过左路任意球形成攻势，费尔南多禁区内凌空攻门打高
5'杨智将球击出                   2'开场第2分钟力帆就通过左路任意球形成攻势，费尔南多禁区内凌空攻门打高
