2'阿森纳球员威尔谢尔大禁区外左脚射门,命中门柱横梁.给他传球的是拉姆塞.                   2'开场仅2分钟，拉姆塞传球，威尔谢尔禁区弧顶处左脚射门打中横梁
10'暂停结束,球员们重新开始比赛.                   10'第10分钟，凯瑟林右路传中，弗莱泽-坎贝尔10码处头球攻门偏出
10'卡迪夫城球员F-坎贝尔大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是卡特兰.                   10'第10分钟，凯瑟林右路传中，弗莱泽-坎贝尔10码处头球攻门偏出
25'卡迪夫城金甫炅受伤倒地,比赛暂停                   25'第25分钟，阿尔特塔禁区前射门被封堵
25'暂停结束,球员们重新开始比赛.                   25'第25分钟，阿尔特塔禁区前射门被封堵
25'阿森纳球员阿尔特塔大禁区外右脚射门,被防守球员封堵.                   25'第25分钟，阿尔特塔禁区前射门被封堵
27'卡迪夫城球员F-坎贝尔拼抢犯规,对手获得控球权.                   25'第25分钟，阿尔特塔禁区前射门被封堵
27'科斯切尔尼为阿森纳赢得一个任意球.                   25'第25分钟，阿尔特塔禁区前射门被封堵
34'卡迪夫城球员金甫炅大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是惠廷汉姆.                   34'第34分钟，吉布斯对凯瑟林犯规被罚黄牌，维丁汉姆右路任意球传中，金辅炅前点扫射被封堵，马奇小禁区右侧钩射偏出
34'卡迪夫城球员穆特奇球门线跟前尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是金甫炅.                   34'第34分钟，吉布斯对凯瑟林犯规被罚黄牌，维丁汉姆右路任意球传中，金辅炅前点扫射被封堵，马奇小禁区右侧钩射偏出
47'阿森纳球员吉鲁大禁区中央右脚射门,被防守球员封堵.给他传球的是拉姆塞.                   47'第47分钟，拉姆塞突入禁区右侧传中，吉鲁小禁区边缘的射门被特纳在门线上封堵
48'安德鲁-泰勒将球处理出底线,阿森纳获得角球.                   47'第47分钟，拉姆塞突入禁区右侧传中，吉鲁小禁区边缘的射门被特纳在门线上封堵
50'卡迪夫城球员特纳拼抢犯规,对手获得控球权.                   47'第47分钟，拉姆塞突入禁区右侧传中，吉鲁小禁区边缘的射门被特纳在门线上封堵
50'吉鲁为阿森纳在对方半场,赢得一个任意球.                   47'第47分钟，拉姆塞突入禁区右侧传中，吉鲁小禁区边缘的射门被特纳在门线上封堵
58'射门!!!阿森纳球员吉鲁大禁区外右脚射门,被对方守门员横身扑出.给他传球的是拉姆塞.                   58'第58分钟，拉姆塞突破受阻，吉鲁20码处射上角被马绍尔摘下
59'卡特兰为卡迪夫城赢得一个任意球.                   58'第58分钟，拉姆塞突破受阻，吉鲁20码处射上角被马绍尔摘下
59'阿森纳球员吉鲁拼抢犯规,对手获得控球权.                   58'第58分钟，拉姆塞突破受阻，吉鲁20码处射上角被马绍尔摘下
61'卡迪夫城球员穆特奇拼抢犯规,对手获得控球权.                   58'第58分钟，拉姆塞突破受阻，吉鲁20码处射上角被马绍尔摘下
61'阿尔特塔为阿森纳赢得一个任意球.                   58'第58分钟，拉姆塞突破受阻，吉鲁20码处射上角被马绍尔摘下
77'阿森纳换人,弗拉米尼换下卡索拉                   77'第77分钟，弗拉米尼替换卡索拉出场
79'射门!!!卡迪夫城球员惠廷汉姆大禁区外左脚射门,被对方守门员横身扑出.                   77'第77分钟，弗拉米尼替换卡索拉出场
79'康维为卡迪夫城在对方半场,赢得一个任意球.                   77'第77分钟，弗拉米尼替换卡索拉出场
79'阿森纳球员阿尔特塔拼抢犯规,对手获得控球权.                   77'第77分钟，弗拉米尼替换卡索拉出场
79'黄牌！阿森纳球员阿尔特塔因为恶意犯规,被主裁判出示黄牌.                   77'第77分钟，弗拉米尼替换卡索拉出场
80'卡迪夫城球员惠廷汉姆一脚直塞球给特纳,但是边裁举旗显示后者已经越位.                   77'第77分钟，弗拉米尼替换卡索拉出场
86'进球啦！！！阿森纳球员弗拉米尼大禁区中央右脚射门,球从右上角飞进球门,球进了!助攻的是厄齐尔. 卡迪夫城 0-2 阿森纳.                   86'阿森纳第86分钟扩大比分，厄齐尔直传贡献本赛季第6次联赛助攻，弗拉米尼20码处劲射破门，2-0
87'卡迪夫城换人,卡利纳斯换下安德鲁-泰勒                   86'阿森纳第86分钟扩大比分，厄齐尔直传贡献本赛季第6次联赛助攻，弗拉米尼20码处劲射破门，2-0
89'阿森纳球员拉姆塞手球犯规,对手获得球权.                   86'阿森纳第86分钟扩大比分，厄齐尔直传贡献本赛季第6次联赛助攻，弗拉米尼20码处劲射破门，2-0
89'黄牌！阿森纳球员拉姆塞因为故意手球,被主裁判出示黄牌.                   86'阿森纳第86分钟扩大比分，厄齐尔直传贡献本赛季第6次联赛助攻，弗拉米尼20码处劲射破门，2-0
