38'进球啦！！！皇家贝蒂斯球员鲁本-卡斯特罗大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是彼茨尼. 瓦伦西亚 0-1 皇家贝蒂斯.                   38'第38分钟，皮奇尼传球，鲁文-卡斯特罗12码处推射破门
39'Riza Durmisi为皇家贝蒂斯赢得一个任意球.                   38'第38分钟，皮奇尼传球，鲁文-卡斯特罗12码处推射破门
39'瓦伦西亚球员罗德里戈拼抢犯规,对手获得控球权.                   38'第38分钟，皮奇尼传球，鲁文-卡斯特罗12码处推射破门
39'古铁雷斯为皇家贝蒂斯在对方半场,赢得一个任意球.                   38'第38分钟，皮奇尼传球，鲁文-卡斯特罗12码处推射破门
39'瓦伦西亚球员加雷拼抢犯规,对手获得控球权.                   38'第38分钟，皮奇尼传球，鲁文-卡斯特罗12码处推射破门
40'皇家贝蒂斯球员华金大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   38'第38分钟，皮奇尼传球，鲁文-卡斯特罗12码处推射破门
54'进球啦！！！皇家贝蒂斯球员华金大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是Riza Durmisi. 瓦伦西亚 0-2 皇家贝蒂斯.                   54'第54分钟，杜尔米斯反击中斜传，职业生涯第700场的华金12码处单刀推射入网
56'皇家贝蒂斯球员布拉沙纳茨拼抢犯规,对手获得控球权.                   54'第54分钟，杜尔米斯反击中斜传，职业生涯第700场的华金12码处单刀推射入网
56'曼加拉为瓦伦西亚赢得一个任意球.                   54'第54分钟，杜尔米斯反击中斜传，职业生涯第700场的华金12码处单刀推射入网
56'黄牌！皇家贝蒂斯球员布拉沙纳茨因为恶意犯规,被主裁判出示黄牌.                   54'第54分钟，杜尔米斯反击中斜传，职业生涯第700场的华金12码处单刀推射入网
57'古铁雷斯为皇家贝蒂斯赢得一个任意球.                   54'第54分钟，杜尔米斯反击中斜传，职业生涯第700场的华金12码处单刀推射入网
57'瓦伦西亚球员罗德里戈拼抢犯规,对手获得控球权.                   54'第54分钟，杜尔米斯反击中斜传，职业生涯第700场的华金12码处单刀推射入网
57'皇家贝蒂斯球员华金一脚直塞球给Álex Alegría,但是边裁举旗显示后者已经越位.                   54'第54分钟，杜尔米斯反击中斜传，职业生涯第700场的华金12码处单刀推射入网
78'瓦伦西亚球员纳尼大禁区右侧右脚射门,被防守球员封堵.给他传球的是穆尼尔.                   78'第78分钟，帕雷霍开出角球，穆尼尔前点头球攻门被扑出，加雷近距离补射破门
78'Germán Pezzella将球处理出底线,瓦伦西亚获得角球.                   78'第78分钟，帕雷霍开出角球，穆尼尔前点头球攻门被扑出，加雷近距离补射破门
78'射门!!!瓦伦西亚球员穆尼尔小禁区右侧头球,被对方守门员横身扑出.给他传球的是帕雷霍.                   78'第78分钟，帕雷霍开出角球，穆尼尔前点头球攻门被扑出，加雷近距离补射破门
78'进球啦！！！瓦伦西亚球员加雷小禁区左侧左脚射门,球从左下角飞进球门,球进了! 瓦伦西亚 2-2 皇家贝蒂斯.                   78'第78分钟，帕雷霍开出角球，穆尼尔前点头球攻门被扑出，加雷近距离补射破门
81'皇家贝蒂斯球员布拉沙纳茨拼抢犯规,对手获得控球权.                   78'第78分钟，帕雷霍开出角球，穆尼尔前点头球攻门被扑出，加雷近距离补射破门
81'梅德兰为瓦伦西亚赢得一个任意球.                   78'第78分钟，帕雷霍开出角球，穆尼尔前点头球攻门被扑出，加雷近距离补射破门
