1'比赛开始了                   1'两队第1分钟拼抢激烈打出快节奏
1'范迪克将球踢出边线                   1'两队第1分钟拼抢激烈打出快节奏
1'利物浦抢断                   1'两队第1分钟拼抢激烈打出快节奏
2'萨拉赫传给米尔纳被断                   1'两队第1分钟拼抢激烈打出快节奏
2'威廉传给阿扎尔                   1'两队第1分钟拼抢激烈打出快节奏
2'阿隆索插上                   1'两队第1分钟拼抢激烈打出快节奏
2'坎特传到右路                   1'两队第1分钟拼抢激烈打出快节奏
3'威廉传到禁区，被顶了出来                   1'两队第1分钟拼抢激烈打出快节奏
3'阿斯皮利奎塔将球停出边线                   1'两队第1分钟拼抢激烈打出快节奏
4'戈麦斯大脚传到前场                   1'两队第1分钟拼抢激烈打出快节奏
4'萨拉赫回给范迪克                   1'两队第1分钟拼抢激烈打出快节奏
5'罗伯逊把球趟出了底线                   5'5分钟后，阿诺德传球，萨拉赫闪过吕迪格后禁区边缘射偏
5'利物浦抢断，传给萨拉赫                   5'5分钟后，阿诺德传球，萨拉赫闪过吕迪格后禁区边缘射偏
5'弧顶的一脚打门，没有发上力，被守门员得到                   5'5分钟后，阿诺德传球，萨拉赫闪过吕迪格后禁区边缘射偏
6'路易斯传球被断                   5'5分钟后，阿诺德传球，萨拉赫闪过吕迪格后禁区边缘射偏
6'阿诺德直塞萨拉赫，越位了                   5'5分钟后，阿诺德传球，萨拉赫闪过吕迪格后禁区边缘射偏
6'利物浦再次抢断                   5'5分钟后，阿诺德传球，萨拉赫闪过吕迪格后禁区边缘射偏
7'左侧组织进攻                   5'5分钟后，阿诺德传球，萨拉赫闪过吕迪格后禁区边缘射偏
7'切尔西抢断                   5'5分钟后，阿诺德传球，萨拉赫闪过吕迪格后禁区边缘射偏
7'阿扎尔和吉鲁配合                   5'5分钟后，阿诺德传球，萨拉赫闪过吕迪格后禁区边缘射偏
7'杀到禁区被断下                   5'5分钟后，阿诺德传球，萨拉赫闪过吕迪格后禁区边缘射偏
8'利物浦反击                   5'5分钟后，阿诺德传球，萨拉赫闪过吕迪格后禁区边缘射偏
8'马内带球被吕迪格抢下                   5'5分钟后，阿诺德传球，萨拉赫闪过吕迪格后禁区边缘射偏
23'威廉杀入禁区，一脚打门，守门员出击双拳挡了出来                   22'切尔西首次威胁进攻出现在第22分钟，路易斯精准长传，反越位成功的威廉停球后突入禁区边缘，但最后的单刀射门被阿利松及时出击挡出
23'萨拉赫传给阿诺德                   22'切尔西首次威胁进攻出现在第22分钟，路易斯精准长传，反越位成功的威廉停球后突入禁区边缘，但最后的单刀射门被阿利松及时出击挡出
23'米尔纳挑传菲尔米诺                   22'切尔西首次威胁进攻出现在第22分钟，路易斯精准长传，反越位成功的威廉停球后突入禁区边缘，但最后的单刀射门被阿利松及时出击挡出
24'距离不够，球出了底线                   22'切尔西首次威胁进攻出现在第22分钟，路易斯精准长传，反越位成功的威廉停球后突入禁区边缘，但最后的单刀射门被阿利松及时出击挡出
24'利物浦前场高位逼抢                   22'切尔西首次威胁进攻出现在第22分钟，路易斯精准长传，反越位成功的威廉停球后突入禁区边缘，但最后的单刀射门被阿利松及时出击挡出
25'抢了下来，回传给戈麦斯                   22'切尔西首次威胁进攻出现在第22分钟，路易斯精准长传，反越位成功的威廉停球后突入禁区边缘，但最后的单刀射门被阿利松及时出击挡出
25'一脚长传，被断了                   22'切尔西首次威胁进攻出现在第22分钟，路易斯精准长传，反越位成功的威廉停球后突入禁区边缘，但最后的单刀射门被阿利松及时出击挡出
25'切尔西反击                   22'切尔西首次威胁进攻出现在第22分钟，路易斯精准长传，反越位成功的威廉停球后突入禁区边缘，但最后的单刀射门被阿利松及时出击挡出
25'科瓦契奇直塞给阿扎尔                   22'切尔西首次威胁进攻出现在第22分钟，路易斯精准长传，反越位成功的威廉停球后突入禁区边缘，但最后的单刀射门被阿利松及时出击挡出
32'利物浦反击，萨拉赫杀入禁区                   32'利物浦第32分钟险些扳平，菲尔米诺直传，萨拉赫单刀摆脱阿隆索后又趟过出击的科帕，但他禁区右侧射空门被吕迪格及时回防在门线前解围
32'过掉门将                   32'利物浦第32分钟险些扳平，菲尔米诺直传，萨拉赫单刀摆脱阿隆索后又趟过出击的科帕，但他禁区右侧射空门被吕迪格及时回防在门线前解围
32'零度角打门                   32'利物浦第32分钟险些扳平，菲尔米诺直传，萨拉赫单刀摆脱阿隆索后又趟过出击的科帕，但他禁区右侧射空门被吕迪格及时回防在门线前解围
33'回防的吕迪格挡住了皮球                   32'利物浦第32分钟险些扳平，菲尔米诺直传，萨拉赫单刀摆脱阿隆索后又趟过出击的科帕，但他禁区右侧射空门被吕迪格及时回防在门线前解围
33'吕迪格立功了，守门员都被萨拉赫过掉了                   32'利物浦第32分钟险些扳平，菲尔米诺直传，萨拉赫单刀摆脱阿隆索后又趟过出击的科帕，但他禁区右侧射空门被吕迪格及时回防在门线前解围
34'切尔西得到球权                   32'利物浦第32分钟险些扳平，菲尔米诺直传，萨拉赫单刀摆脱阿隆索后又趟过出击的科帕，但他禁区右侧射空门被吕迪格及时回防在门线前解围
34'路易斯后场稳一下节奏                   32'利物浦第32分钟险些扳平，菲尔米诺直传，萨拉赫单刀摆脱阿隆索后又趟过出击的科帕，但他禁区右侧射空门被吕迪格及时回防在门线前解围
35'中场附近，切尔西的界外球                   32'利物浦第32分钟险些扳平，菲尔米诺直传，萨拉赫单刀摆脱阿隆索后又趟过出击的科帕，但他禁区右侧射空门被吕迪格及时回防在门线前解围
35'利物浦争下皮球，传给萨拉赫                   32'利物浦第32分钟险些扳平，菲尔米诺直传，萨拉赫单刀摆脱阿隆索后又趟过出击的科帕，但他禁区右侧射空门被吕迪格及时回防在门线前解围
58'利物浦争下                   58'第58分钟，菲尔米诺回传，马内切入禁区左肋10码处低射近角被科帕扑出，随后萨拉赫角球混战中禁区左侧斜射偏出
58'米尔纳传给左侧罗伯逊                   58'第58分钟，菲尔米诺回传，马内切入禁区左肋10码处低射近角被科帕扑出，随后萨拉赫角球混战中禁区左侧斜射偏出
58'传给马内                   58'第58分钟，菲尔米诺回传，马内切入禁区左肋10码处低射近角被科帕扑出，随后萨拉赫角球混战中禁区左侧斜射偏出
59'马内禁区左晃右突，摆脱后一脚射门                   58'第58分钟，菲尔米诺回传，马内切入禁区左肋10码处低射近角被科帕扑出，随后萨拉赫角球混战中禁区左侧斜射偏出
59'被守门员扑出底线                   58'第58分钟，菲尔米诺回传，马内切入禁区左肋10码处低射近角被科帕扑出，随后萨拉赫角球混战中禁区左侧斜射偏出
59'角球                   58'第58分钟，菲尔米诺回传，马内切入禁区左肋10码处低射近角被科帕扑出，随后萨拉赫角球混战中禁区左侧斜射偏出
59'战术角球                   58'第58分钟，菲尔米诺回传，马内切入禁区左肋10码处低射近角被科帕扑出，随后萨拉赫角球混战中禁区左侧斜射偏出
59'阿扎尔识破，抢到皮球                   58'第58分钟，菲尔米诺回传，马内切入禁区左肋10码处低射近角被科帕扑出，随后萨拉赫角球混战中禁区左侧斜射偏出
60'传给坎特                   58'第58分钟，菲尔米诺回传，马内切入禁区左肋10码处低射近角被科帕扑出，随后萨拉赫角球混战中禁区左侧斜射偏出
60'坎特直塞给高速插上的威廉                   58'第58分钟，菲尔米诺回传，马内切入禁区左肋10码处低射近角被科帕扑出，随后萨拉赫角球混战中禁区左侧斜射偏出
60'被戈麦斯碰出底线                   58'第58分钟，菲尔米诺回传，马内切入禁区左肋10码处低射近角被科帕扑出，随后萨拉赫角球混战中禁区左侧斜射偏出
60'切尔西角球                   58'第58分钟，菲尔米诺回传，马内切入禁区左肋10码处低射近角被科帕扑出，随后萨拉赫角球混战中禁区左侧斜射偏出
60'战术角球，阿扎尔传中                   58'第58分钟，菲尔米诺回传，马内切入禁区左肋10码处低射近角被科帕扑出，随后萨拉赫角球混战中禁区左侧斜射偏出
60'吉鲁越位了                   58'第58分钟，菲尔米诺回传，马内切入禁区左肋10码处低射近角被科帕扑出，随后萨拉赫角球混战中禁区左侧斜射偏出
61'罗伯逊大脚开到前场                   58'第58分钟，菲尔米诺回传，马内切入禁区左肋10码处低射近角被科帕扑出，随后萨拉赫角球混战中禁区左侧斜射偏出
70'若日尼奥回传阿隆索                   70'利物浦第70分钟再次错过机会，罗伯逊左路传中，无人防守的沙奇里10码处推射偏出
70'被切尔西抢断                   70'利物浦第70分钟再次错过机会，罗伯逊左路传中，无人防守的沙奇里10码处推射偏出
70'反击，左侧边路传给中路插上的沙奇里                   70'利物浦第70分钟再次错过机会，罗伯逊左路传中，无人防守的沙奇里10码处推射偏出
71'没有碰到皮球                   70'利物浦第70分钟再次错过机会，罗伯逊左路传中，无人防守的沙奇里10码处推射偏出
71'沙奇里慢了一步                   70'利物浦第70分钟再次错过机会，罗伯逊左路传中，无人防守的沙奇里10码处推射偏出
72'切尔西掷边线球被利物浦抢下来                   70'利物浦第70分钟再次错过机会，罗伯逊左路传中，无人防守的沙奇里10码处推射偏出
72'传到菲尔米诺，头球砸向球门                   70'利物浦第70分钟再次错过机会，罗伯逊左路传中，无人防守的沙奇里10码处推射偏出
73'路易斯用腿挡出                   70'利物浦第70分钟再次错过机会，罗伯逊左路传中，无人防守的沙奇里10码处推射偏出
89'左脚外围的一脚远射                   89'利物浦第89分钟扳平，沙奇里横传，斯图里奇左路25码处射出落叶球入右上死角，1-1
89'直挂死角，球进了！！！！                   89'利物浦第89分钟扳平，沙奇里横传，斯图里奇左路25码处射出落叶球入右上死角，1-1
89'这球打的真漂亮                   89'利物浦第89分钟扳平，沙奇里横传，斯图里奇左路25码处射出落叶球入右上死角，1-1
89'场上比分变为了1比1                   89'利物浦第89分钟扳平，沙奇里横传，斯图里奇左路25码处射出落叶球入右上死角，1-1
90'斯图里奇替补上场就帮助球队扳平了比分                   89'利物浦第89分钟扳平，沙奇里横传，斯图里奇左路25码处射出落叶球入右上死角，1-1
90'下半场比赛补时四分钟                   89'利物浦第89分钟扳平，沙奇里横传，斯图里奇左路25码处射出落叶球入右上死角，1-1
90'回到比赛                   89'利物浦第89分钟扳平，沙奇里横传，斯图里奇左路25码处射出落叶球入右上死角，1-1
91'利物浦球门球                   89'利物浦第89分钟扳平，沙奇里横传，斯图里奇左路25码处射出落叶球入右上死角，1-1
91'开到前场                   89'利物浦第89分钟扳平，沙奇里横传，斯图里奇左路25码处射出落叶球入右上死角，1-1
91'吕迪格争到皮球                   89'利物浦第89分钟扳平，沙奇里横传，斯图里奇左路25码处射出落叶球入右上死角，1-1
91'回传门将                   89'利物浦第89分钟扳平，沙奇里横传，斯图里奇左路25码处射出落叶球入右上死角，1-1
92'门将大脚开出                   89'利物浦第89分钟扳平，沙奇里横传，斯图里奇左路25码处射出落叶球入右上死角，1-1
92'利物浦争到皮球                   89'利物浦第89分钟扳平，沙奇里横传，斯图里奇左路25码处射出落叶球入右上死角，1-1
