8'曼联球员鲁尼大禁区外右脚射门,被防守球员封堵.给他传球的是香川真司.                   8'第8分钟，香川真司禁区左侧回传，鲁尼禁区弧内射门被斯帕西奇封堵挡出
10'勒沃库森球员雷纳茨拼抢犯规,对手获得控球权.                   8'第8分钟，香川真司禁区左侧回传，鲁尼禁区弧内射门被斯帕西奇封堵挡出
10'费莱尼为曼联在对方半场,赢得一个任意球.                   8'第8分钟，香川真司禁区左侧回传，鲁尼禁区弧内射门被斯帕西奇封堵挡出
11'曼联球员范佩西大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是费莱尼.                   8'第8分钟，香川真司禁区左侧回传，鲁尼禁区弧内射门被斯帕西奇封堵挡出
11'维迪奇将球处理出底线,勒沃库森获得角球.                   8'第8分钟，香川真司禁区左侧回传，鲁尼禁区弧内射门被斯帕西奇封堵挡出
13'勒沃库森球员雷纳茨大禁区外右脚射门,被防守球员封堵.给他传球的是伯尼施.                   13'第13分钟，罗尔费斯20码处劲射被维迪奇挡出底线
13'维迪奇将球处理出底线,勒沃库森获得角球.                   13'第13分钟，罗尔费斯20码处劲射被维迪奇挡出底线
14'勒沃库森球员Son Heung-Min拼抢犯规,对手获得控球权.                   13'第13分钟，罗尔费斯20码处劲射被维迪奇挡出底线
14'鲁尼为曼联在右路,赢得一个任意球.                   13'第13分钟，罗尔费斯20码处劲射被维迪奇挡出底线
14'黄牌！勒沃库森球员Son Heung-Min因为恶意犯规,被主裁判出示黄牌.                   13'第13分钟，罗尔费斯20码处劲射被维迪奇挡出底线
19'勒沃库森球员雷纳茨拼抢犯规,对手获得控球权.                   19'第19分钟，赖纳茨飞铲卡里克也被黄牌警告，范佩西任意球传入禁区，斯马林小禁区前头球攻门高出横梁
19'卡里克为曼联在对方半场,赢得一个任意球.                   19'第19分钟，赖纳茨飞铲卡里克也被黄牌警告，范佩西任意球传入禁区，斯马林小禁区前头球攻门高出横梁
19'黄牌！勒沃库森球员雷纳茨因为恶意犯规,被主裁判出示黄牌.                   19'第19分钟，赖纳茨飞铲卡里克也被黄牌警告，范佩西任意球传入禁区，斯马林小禁区前头球攻门高出横梁
20'曼联球员斯马林大禁区中央尝试,可惜皮球稍稍高出球门.给他传球的是范佩西.                   19'第19分钟，赖纳茨飞铲卡里克也被黄牌警告，范佩西任意球传入禁区，斯马林小禁区前头球攻门高出横梁
22'进球啦！！！曼联球员鲁尼大禁区中央右脚射门,球从中路偏上飞进球门,球进了!助攻的是埃弗拉. 曼联 1-0 勒沃库森.                   19'第19分钟，赖纳茨飞铲卡里克也被黄牌警告，范佩西任意球传入禁区，斯马林小禁区前头球攻门高出横梁
32'斯马林将球处理出底线,勒沃库森获得角球.                   32'第32分钟，曼联解围角球，多纳蒂禁区前射门偏出
32'勒沃库森球员多纳蒂大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   32'第32分钟，曼联解围角球，多纳蒂禁区前射门偏出
32'范佩西将球处理出底线,勒沃库森获得角球.                   32'第32分钟，曼联解围角球，多纳蒂禁区前射门偏出
35'罗尔费斯为勒沃库森赢得一个任意球.                   32'第32分钟，曼联解围角球，多纳蒂禁区前射门偏出
35'曼联球员斯马林拼抢犯规,对手获得控球权.                   32'第32分钟，曼联解围角球，多纳蒂禁区前射门偏出
