6'徐亮开到中路被解围了，绿地申花球权。                   6'建业也很快还以颜色，第6分钟谭望嵩似传似射的吊门擦横梁而出
6'球回到守门员耿晓峰这边，长传开到前场，莫雷诺争头球犯规了，建业后场定位球。                   6'建业也很快还以颜色，第6分钟谭望嵩似传似射的吊门擦横梁而出
6'建业在中前场控球、                   6'建业也很快还以颜色，第6分钟谭望嵩似传似射的吊门擦横梁而出
7'建业这边谭望嵩吊射直接出了底线，球门球。                   6'建业也很快还以颜色，第6分钟谭望嵩似传似射的吊门擦横梁而出
7'开场后双方各完成了一次射门，都威胁不大。                   6'建业也很快还以颜色，第6分钟谭望嵩似传似射的吊门擦横梁而出
8'绿地申花左边控球，徐亮。                   6'建业也很快还以颜色，第6分钟谭望嵩似传似射的吊门擦横梁而出
8'徐亮被尹鸿博放倒了，犯规了！                   6'建业也很快还以颜色，第6分钟谭望嵩似传似射的吊门擦横梁而出
8'绿地申花前场定位球，距离球门有一定距离，徐亮处理。                   6'建业也很快还以颜色，第6分钟谭望嵩似传似射的吊门擦横梁而出
9'徐亮开出到前点，被马科斯头球解围了，建业反击！                   6'建业也很快还以颜色，第6分钟谭望嵩似传似射的吊门擦横梁而出
9'绿地申花前场反击，球打回到中路，耐心组织。                   6'建业也很快还以颜色，第6分钟谭望嵩似传似射的吊门擦横梁而出
19'[qiangda]截止本场比赛之前，高迪打进了几粒联赛进球？A.1 B.2 C.3 D.4                    19'第19分钟柏佳骏后排插上左脚怒射踢高，第20分钟建业中场灵魂黄希扬右路长传，李文博跃起头球解围失误，皮球砸在他的右手上，河南队获得禁区外一点任意球机会
19'大家继续抢啊！乐乐一会抽会员！                   19'第19分钟柏佳骏后排插上左脚怒射踢高，第20分钟建业中场灵魂黄希扬右路长传，李文博跃起头球解围失误，皮球砸在他的右手上，河南队获得禁区外一点任意球机会
19'绿地申花后场控球，保罗和曹秉局倒脚。                   19'第19分钟柏佳骏后排插上左脚怒射踢高，第20分钟建业中场灵魂黄希扬右路长传，李文博跃起头球解围失误，皮球砸在他的右手上，河南队获得禁区外一点任意球机会
19'乐哈哈哈哈2579677897 :乐乐，你故意不理我是不(20:01---乐乐要以比赛为主嘛~不要生气！看比赛！                   19'第19分钟柏佳骏后排插上左脚怒射踢高，第20分钟建业中场灵魂黄希扬右路长传，李文博跃起头球解围失误，皮球砸在他的右手上，河南队获得禁区外一点任意球机会
20'绿地申花前场控球，柏佳俊射门打飞了，但是很积极啊！                   19'第19分钟柏佳骏后排插上左脚怒射踢高，第20分钟建业中场灵魂黄希扬右路长传，李文博跃起头球解围失误，皮球砸在他的右手上，河南队获得禁区外一点任意球机会
20'约翰逊前场控球，右边！                   19'第19分钟柏佳骏后排插上左脚怒射踢高，第20分钟建业中场灵魂黄希扬右路长传，李文博跃起头球解围失误，皮球砸在他的右手上，河南队获得禁区外一点任意球机会
