1'裁判一声哨响，比赛开始                   1'双方第1分钟拼抢激烈，但均未能创造得分机会
1'阿森纳前场的进攻                   1'双方第1分钟拼抢激烈，但均未能创造得分机会
2'前场阿森纳获得任意球机会                   1'双方第1分钟拼抢激烈，但均未能创造得分机会
2'任意球开出来，球来到后场                   1'双方第1分钟拼抢激烈，但均未能创造得分机会
3'穆斯塔菲送出长传球，球被门将没收了                   1'双方第1分钟拼抢激烈，但均未能创造得分机会
4'后场阿森纳将球控制下来                   1'双方第1分钟拼抢激烈，但均未能创造得分机会
4'扎卡被犯规了                   1'双方第1分钟拼抢激烈，但均未能创造得分机会
4'阿森纳任意球直接大脚开到前场                   1'双方第1分钟拼抢激烈，但均未能创造得分机会
4'球出了边线                   1'双方第1分钟拼抢激烈，但均未能创造得分机会
28'哈德直接送出长传球                   28'阿森纳首次机会出现在第28分钟，扎卡右路斜传，奥巴梅扬小禁区前捅射偏出右侧立柱
28'球被阿森纳拦截下来                   28'阿森纳首次机会出现在第28分钟，扎卡右路斜传，奥巴梅扬小禁区前捅射偏出右侧立柱
28'扎卡前场的传球，奥巴梅杨插上拿球打门                   28'阿森纳首次机会出现在第28分钟，扎卡右路斜传，奥巴梅扬小禁区前捅射偏出右侧立柱
29'打偏了                   28'阿森纳首次机会出现在第28分钟，扎卡右路斜传，奥巴梅扬小禁区前捅射偏出右侧立柱
29'偏出了右侧底线                   28'阿森纳首次机会出现在第28分钟，扎卡右路斜传，奥巴梅扬小禁区前捅射偏出右侧立柱
29'这边中场阿森纳将球控制下来                   28'阿森纳首次机会出现在第28分钟，扎卡右路斜传，奥巴梅扬小禁区前捅射偏出右侧立柱
30'拉卡泽特拿球，直接打门                   28'阿森纳首次机会出现在第28分钟，扎卡右路斜传，奥巴梅扬小禁区前捅射偏出右侧立柱
30'打高了                   28'阿森纳首次机会出现在第28分钟，扎卡右路斜传，奥巴梅扬小禁区前捅射偏出右侧立柱
30'哈德传球到禁区，球被解围出来                   28'阿森纳首次机会出现在第28分钟，扎卡右路斜传，奥巴梅扬小禁区前捅射偏出右侧立柱
50'哈德前场的进攻，被门将没收                   50'普里查德、丹尼-威廉姆斯和汤米-史密斯5分钟内连得3张黄牌
50'姆希塔良前场拿球                   50'普里查德、丹尼-威廉姆斯和汤米-史密斯5分钟内连得3张黄牌
50'转身传球，裁判哨响，有犯规                   50'普里查德、丹尼-威廉姆斯和汤米-史密斯5分钟内连得3张黄牌
50'进攻犯规                   50'普里查德、丹尼-威廉姆斯和汤米-史密斯5分钟内连得3张黄牌
