1'比赛开始了，曼城开球                   1'曼城第1分钟展开积极攻势
1'曼城从画面的左侧向右侧进攻                   1'曼城第1分钟展开积极攻势
1'斯托克城从右侧向左侧来攻                   1'曼城第1分钟展开积极攻势
1'席尔瓦中路得球，分给左边科拉罗夫                   1'曼城第1分钟展开积极攻势
1'阿圭罗回撤接应，给到费尔南多，直塞下底到了席尔瓦这边                   1'曼城第1分钟展开积极攻势
2'席尔瓦杀入禁区左侧，横传被巴德斯利挡出                   1'曼城第1分钟展开积极攻势
2'曼城开场之后节奏打的比较快，三板斧砍来，就是想尽快确立优势                   1'曼城第1分钟展开积极攻势
3'斯托克城直塞进攻给到小迪乌夫                   1'曼城第1分钟展开积极攻势
3'正面面对科拉罗夫，被撞翻在地                   1'曼城第1分钟展开积极攻势
3'迪乌夫眼角好像被撞开了，队医紧急处理一下                   1'曼城第1分钟展开积极攻势
4'比赛继续，维兰友好的把球权还给曼城                   1'曼城第1分钟展开积极攻势
4'后场倒脚，曼加拉给到亚亚图雷，在给萨巴莱塔                   1'曼城第1分钟展开积极攻势
35'右路纳瓦斯面对穆涅萨，强行传中，门前被巴德斯利铲出底线                   35'曼城第35分钟取得领先，纳瓦斯开出角球，费尔南多前点抢在卡梅伦之前头球攻门，皮球弹地后窜入远角
35'角球机会，曼城破门了                   35'曼城第35分钟取得领先，纳瓦斯开出角球，费尔南多前点抢在卡梅伦之前头球攻门，皮球弹地后窜入远角
35'此时此刻值得来杯嘉士伯                   35'曼城第35分钟取得领先，纳瓦斯开出角球，费尔南多前点抢在卡梅伦之前头球攻门，皮球弹地后窜入远角
35'来自巴西的后腰，费尔南多                   35'曼城第35分钟取得领先，纳瓦斯开出角球，费尔南多前点抢在卡梅伦之前头球攻门，皮球弹地后窜入远角
36'纳瓦斯右路角球送出来，前点费尔南多抢先狮子甩头顶向后角，球弹地之后砸入左下角，非常刁钻                   35'曼城第35分钟取得领先，纳瓦斯开出角球，费尔南多前点抢在卡梅伦之前头球攻门，皮球弹地后窜入远角
37'佩帅也比较高兴，他不希望这场遭遇恶战啊，让弟子们别消耗太多                   35'曼城第35分钟取得领先，纳瓦斯开出角球，费尔南多前点抢在卡梅伦之前头球攻门，皮球弹地后窜入远角
37'图雷中场控制，轻巧挑开上抢的何塞卢                   35'曼城第35分钟取得领先，纳瓦斯开出角球，费尔南多前点抢在卡梅伦之前头球攻门，皮球弹地后窜入远角
37'左路分边席尔瓦，在直塞给套上的科拉罗夫                   35'曼城第35分钟取得领先，纳瓦斯开出角球，费尔南多前点抢在卡梅伦之前头球攻门，皮球弹地后窜入远角
37'下底传中，肖克罗斯顶出底线                   35'曼城第35分钟取得领先，纳瓦斯开出角球，费尔南多前点抢在卡梅伦之前头球攻门，皮球弹地后窜入远角
38'席尔瓦开出来，前点，第一点被斯托克城挡出                   35'曼城第35分钟取得领先，纳瓦斯开出角球，费尔南多前点抢在卡梅伦之前头球攻门，皮球弹地后窜入远角
38'外围曼城再拿球，左侧伊赫纳乔给席尔瓦                   35'曼城第35分钟取得领先，纳瓦斯开出角球，费尔南多前点抢在卡梅伦之前头球攻门，皮球弹地后窜入远角
38'席尔瓦禁区内还在强带，遭遇围堵，丢掉了                   35'曼城第35分钟取得领先，纳瓦斯开出角球，费尔南多前点抢在卡梅伦之前头球攻门，皮球弹地后窜入远角
38'维兰中路拿球，左路给穆涅萨，面对纳瓦斯                   35'曼城第35分钟取得领先，纳瓦斯开出角球，费尔南多前点抢在卡梅伦之前头球攻门，皮球弹地后窜入远角
38'传出来，给到阿瑙托维奇                   35'曼城第35分钟取得领先，纳瓦斯开出角球，费尔南多前点抢在卡梅伦之前头球攻门，皮球弹地后窜入远角
43'外围重新再来，获得点球                   43'曼城第43分钟扩大比分，肖克罗斯禁区内对伊赫纳乔犯规，阿圭罗主罚点球命中，2-0
43'伊赫纳乔和图雷撞墙的配合，伊赫纳乔禁区右肋插入被肖克罗斯拉倒在地                   43'曼城第43分钟扩大比分，肖克罗斯禁区内对伊赫纳乔犯规，阿圭罗主罚点球命中，2-0
43'阿圭罗主罚点球破门                   43'曼城第43分钟扩大比分，肖克罗斯禁区内对伊赫纳乔犯规，阿圭罗主罚点球命中，2-0
43'此时此刻值得来杯嘉士伯                   43'曼城第43分钟扩大比分，肖克罗斯禁区内对伊赫纳乔犯规，阿圭罗主罚点球命中，2-0
44'阿圭罗没用假动作，直接是大力轰左上角，吉文判断准确，但无可奈何，皮球应声入网                   43'曼城第43分钟扩大比分，肖克罗斯禁区内对伊赫纳乔犯规，阿圭罗主罚点球命中，2-0
