1'埃弗顿率先开球                   1'双方第1分钟打出快节奏，阿圭罗两次突防均被埃弗顿防线抢断
1'长传去右路，克里希回敲门将                   1'双方第1分钟打出快节奏，阿圭罗两次突防均被埃弗顿防线抢断
1'斯通斯今天重回古迪逊                   1'双方第1分钟打出快节奏，阿圭罗两次突防均被埃弗顿防线抢断
2'布拉沃给到斯通斯                   1'双方第1分钟打出快节奏，阿圭罗两次突防均被埃弗顿防线抢断
2'萨巴莱塔回来接应                   1'双方第1分钟打出快节奏，阿圭罗两次突防均被埃弗顿防线抢断
2'埃弗顿前场顶防比较积极                   1'双方第1分钟打出快节奏，阿圭罗两次突防均被埃弗顿防线抢断
3'曼城连续的横向转移，寻找空挡                   1'双方第1分钟打出快节奏，阿圭罗两次突防均被埃弗顿防线抢断
3'图雷给左路，斯特林球没有拿好                   1'双方第1分钟打出快节奏，阿圭罗两次突防均被埃弗顿防线抢断
4'萨巴莱塔给右路，萨尼亚回敲                   1'双方第1分钟打出快节奏，阿圭罗两次突防均被埃弗顿防线抢断
4'图雷中路梳理，传到了对手脚下                   1'双方第1分钟打出快节奏，阿圭罗两次突防均被埃弗顿防线抢断
4'巴克利接应后场长传，越位                   1'双方第1分钟打出快节奏，阿圭罗两次突防均被埃弗顿防线抢断
34'克里希左边路推进，被拦截                   34'埃弗顿第34分钟取得领先，克里希后场传球失误，汤姆-戴维斯拦截走送出直传，米拉拉斯禁区右侧传中，卢卡库14码处第一时间劲射破门
34'巴克利继续直塞找卢卡库，没有过掉拦截                   34'埃弗顿第34分钟取得领先，克里希后场传球失误，汤姆-戴维斯拦截走送出直传，米拉拉斯禁区右侧传中，卢卡库14码处第一时间劲射破门
34'埃弗顿进球了！！！                   34'埃弗顿第34分钟取得领先，克里希后场传球失误，汤姆-戴维斯拦截走送出直传，米拉拉斯禁区右侧传中，卢卡库14码处第一时间劲射破门
34'卢卡库！！！                   34'埃弗顿第34分钟取得领先，克里希后场传球失误，汤姆-戴维斯拦截走送出直传，米拉拉斯禁区右侧传中，卢卡库14码处第一时间劲射破门
35'克里希后场传球被断，米拉拉斯禁区右侧横敲，中路卢卡库迎球推射破门                   34'埃弗顿第34分钟取得领先，克里希后场传球失误，汤姆-戴维斯拦截走送出直传，米拉拉斯禁区右侧传中，卢卡库14码处第一时间劲射破门
35'埃弗顿1-0领先曼城                   34'埃弗顿第34分钟取得领先，克里希后场传球失误，汤姆-戴维斯拦截走送出直传，米拉拉斯禁区右侧传中，卢卡库14码处第一时间劲射破门
36'席尔瓦右侧肋部进禁区，被莫里解围出去，角球                   34'埃弗顿第34分钟取得领先，克里希后场传球失误，汤姆-戴维斯拦截走送出直传，米拉拉斯禁区右侧传中，卢卡库14码处第一时间劲射破门
36'角球去后点，另一侧克里希拿到                   34'埃弗顿第34分钟取得领先，克里希后场传球失误，汤姆-戴维斯拦截走送出直传，米拉拉斯禁区右侧传中，卢卡库14码处第一时间劲射破门
36'斜传后门柱，大了                   34'埃弗顿第34分钟取得领先，克里希后场传球失误，汤姆-戴维斯拦截走送出直传，米拉拉斯禁区右侧传中，卢卡库14码处第一时间劲射破门
37'米拉拉斯右路下底，传门前，混战                   34'埃弗顿第34分钟取得领先，克里希后场传球失误，汤姆-戴维斯拦截走送出直传，米拉拉斯禁区右侧传中，卢卡库14码处第一时间劲射破门
37'拜恩斯上来，没有起脚机会                   34'埃弗顿第34分钟取得领先，克里希后场传球失误，汤姆-戴维斯拦截走送出直传，米拉拉斯禁区右侧传中，卢卡库14码处第一时间劲射破门
