42'白岳峰长传球，大了些！                   42'第42分钟，张琳芃长传助攻，保利尼奥单刀推射破门
43'梅方将球传给郑智！分边                   42'第42分钟，张琳芃长传助攻，保利尼奥单刀推射破门
43'郑智传球，张琳芃斜传！！                   42'第42分钟，张琳芃长传助攻，保利尼奥单刀推射破门
43'广州恒大队进球啦！！保利尼奥！1-0                   42'第42分钟，张琳芃长传助攻，保利尼奥单刀推射破门
43'张琳芃斜传球到禁区内，保利尼奥抢点打门！皮球应声破门！                   42'第42分钟，张琳芃长传助攻，保利尼奥单刀推射破门
44'整个上半场，广州恒大队占到了优势！破门也是迟早的事！                   42'第42分钟，张琳芃长传助攻，保利尼奥单刀推射破门
44'广州恒大队断球进攻！                   42'第42分钟，张琳芃长传助攻，保利尼奥单刀推射破门
45'于汉超前场断球，左路突破打门！被对方挡出底线！                   42'第42分钟，张琳芃长传助攻，保利尼奥单刀推射破门
45'角球机会                   42'第42分钟，张琳芃长传助攻，保利尼奥单刀推射破门
45'广州恒大队进球啦！保利尼奥！2-0                   42'第42分钟，张琳芃长传助攻，保利尼奥单刀推射破门
45'于汉超发角球到禁区内，保利尼奥抢点头球破门！                   42'第42分钟，张琳芃长传助攻，保利尼奥单刀推射破门
91'高拉特前场得球，分右路                   91'第91分钟，保利尼奥无私横传，高拉特推射空门得手
91'郑龙横传中路！                   91'第91分钟，保利尼奥无私横传，高拉特推射空门得手
91'广州恒大队在前场打配合，不急于打门！                   91'第91分钟，保利尼奥无私横传，高拉特推射空门得手
91'广州恒大队进球啦！！高拉特！3-0                   91'第91分钟，保利尼奥无私横传，高拉特推射空门得手
91'郑智传球，保利尼奥横传，高拉特打空门球进！                   91'第91分钟，保利尼奥无私横传，高拉特推射空门得手
92'比赛一点悬念都没有了！                   91'第91分钟，保利尼奥无私横传，高拉特推射空门得手
93'李源一下底传中，曾诚没收                   91'第91分钟，保利尼奥无私横传，高拉特推射空门得手
93'曾诚手抛球发动进攻！                   91'第91分钟，保利尼奥无私横传，高拉特推射空门得手
93'冯潇霆横传球                   91'第91分钟，保利尼奥无私横传，高拉特推射空门得手
93'张琳芃将球回传！                   91'第91分钟，保利尼奥无私横传，高拉特推射空门得手
94'郑龙抢球犯规！天津泰达队得到任意球机会                   91'第91分钟，保利尼奥无私横传，高拉特推射空门得手
58'任意球发出来，保利尼奥前传                   57'第12分钟，高拉特中路拿球分边，李学鹏快速插上于底线附近弧线球传中，杨立瑜禁区内争顶头球攻门偏出
58'塔利斯卡争顶犯规！                   57'第12分钟，高拉特中路拿球分边，李学鹏快速插上于底线附近弧线球传中，杨立瑜禁区内争顶头球攻门偏出
58'广州恒大队换人调整，郑龙上场，换下了杨立瑜                   57'第12分钟，高拉特中路拿球分边，李学鹏快速插上于底线附近弧线球传中，杨立瑜禁区内争顶头球攻门偏出
