44'AC米兰球员阿莱士大禁区中央尝试头球,可惜皮球高出球门.给他传球的是巴洛特利.                   44'第44分钟，巴洛特利开出角球，阿莱士争顶高出
45'罗马尼奥利为卡尔皮赢得一个任意球.                   44'第44分钟，巴洛特利开出角球，阿莱士争顶高出
45'AC米兰球员巴洛特利拼抢犯规,对手获得控球权.                   44'第44分钟，巴洛特利开出角球，阿莱士争顶高出
45'卡尔皮球员克里米拼抢犯规,对手获得控球权.                   44'第44分钟，巴洛特利开出角球，阿莱士争顶高出
45'巴卡为AC米兰在对方半场,赢得一个任意球.                   44'第44分钟，巴洛特利开出角球，阿莱士争顶高出
45'黄牌！卡尔皮球员克里米因为恶意犯规,被主裁判出示黄牌.                   44'第44分钟，巴洛特利开出角球，阿莱士争顶高出
45'+2'贝莱茨为卡尔皮赢得一个任意球.                   44'第44分钟，巴洛特利开出角球，阿莱士争顶高出
45'+2'AC米兰球员巴洛特利拼抢犯规,对手获得控球权.                   44'第44分钟，巴洛特利开出角球，阿莱士争顶高出
45'+3'黄牌！AC米兰球员巴洛特利因为恶意犯规,被主裁判出示黄牌.                   44'第44分钟，巴洛特利开出角球，阿莱士争顶高出
45'+4'上半场结束,AC米兰 0-0 卡尔皮,稍事休息,我们一会来看看下半场两队的表现.                   44'第44分钟，巴洛特利开出角球，阿莱士争顶高出
47'AC米兰球员阿巴特手球犯规,对手获得球权.                   44'第44分钟，巴洛特利开出角球，阿莱士争顶高出
61'卡尔皮球员扎卡尔多大禁区外右脚射门,被防守球员封堵.给他传球的是拉斐尔-马丁霍.                   61'第61分钟出现争议，马蒂尼奥传球，扎卡尔多禁区前沿凌空射门击中安东内利肘部，主裁判圭达没有中断比赛
61'AC米兰换人,马奥利换下博阿滕                   61'第61分钟出现争议，马蒂尼奥传球，扎卡尔多禁区前沿凌空射门击中安东内利肘部，主裁判圭达没有中断比赛
84'AC米兰球员阿莱士大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是巴洛特利.                   84'第84分钟，波利突入禁区右侧传中打在倒地滑铲的苏阿格手臂上，主裁判圭达只给了角球
84'卡尔皮球员Jerry Mbakogu大禁区左侧右脚射门,被防守球员封堵.给他传球的是拉萨纳.                   84'第84分钟，波利突入禁区右侧传中打在倒地滑铲的苏阿格手臂上，主裁判圭达只给了角球
85'卡尔皮球员拉萨纳拼抢犯规,对手获得控球权.                   84'第84分钟，波利突入禁区右侧传中打在倒地滑铲的苏阿格手臂上，主裁判圭达只给了角球
85'安东内利为AC米兰赢得一个任意球.                   84'第84分钟，波利突入禁区右侧传中打在倒地滑铲的苏阿格手臂上，主裁判圭达只给了角球
85'卡尔皮球员斯沃尔拼抢犯规,对手获得控球权.                   84'第84分钟，波利突入禁区右侧传中打在倒地滑铲的苏阿格手臂上，主裁判圭达只给了角球
85'巴洛特利为AC米兰在右路,赢得一个任意球.                   84'第84分钟，波利突入禁区右侧传中打在倒地滑铲的苏阿格手臂上，主裁判圭达只给了角球
86'卡尔皮球员斯沃尔拼抢犯规,对手获得控球权.                   84'第84分钟，波利突入禁区右侧传中打在倒地滑铲的苏阿格手臂上，主裁判圭达只给了角球
86'阿巴特为AC米兰在对方半场,赢得一个任意球.                   84'第84分钟，波利突入禁区右侧传中打在倒地滑铲的苏阿格手臂上，主裁判圭达只给了角球
86'黄牌！卡尔皮球员斯沃尔因为恶意犯规,被主裁判出示黄牌.                   84'第84分钟，波利突入禁区右侧传中打在倒地滑铲的苏阿格手臂上，主裁判圭达只给了角球
