2'纳乔后场拿球，直塞克罗斯                   2'2分钟后，本泽马横敲，卢卡斯12码处劲射又被博诺挡出
2'面对格拉尼尔的逼抢，回传马塞洛                   2'2分钟后，本泽马横敲，卢卡斯12码处劲射又被博诺挡出
2'再给门将纳瓦斯                   2'2分钟后，本泽马横敲，卢卡斯12码处劲射又被博诺挡出
2'巴斯克斯前场右路拿球，内切横传阿森西奥                   2'2分钟后，本泽马横敲，卢卡斯12码处劲射又被博诺挡出
3'再给左路上来的马塞洛                   2'2分钟后，本泽马横敲，卢卡斯12码处劲射又被博诺挡出
3'马塞洛拿球内切，分边给到科瓦契奇                   2'2分钟后，本泽马横敲，卢卡斯12码处劲射又被博诺挡出
3'科瓦契奇的强突，回传克罗斯                   2'2分钟后，本泽马横敲，卢卡斯12码处劲射又被博诺挡出
3'格拉尼尔的抢断，反击了                   2'2分钟后，本泽马横敲，卢卡斯12码处劲射又被博诺挡出
4'科瓦契奇回防卡位，将球拦截，过度纳乔                   2'2分钟后，本泽马横敲，卢卡斯12码处劲射又被博诺挡出
4'阿森西奥前场抢断，拿球强突                   2'2分钟后，本泽马横敲，卢卡斯12码处劲射又被博诺挡出
4'禁区弧顶，被回防的拉米雷斯绊倒在地                   2'2分钟后，本泽马横敲，卢卡斯12码处劲射又被博诺挡出
5'皇马获得了大禁区弧顶的任意球机会！                   2'2分钟后，本泽马横敲，卢卡斯12码处劲射又被博诺挡出
5'C罗的任意球直接轰门，被索拉单掌托出横梁！                   2'2分钟后，本泽马横敲，卢卡斯12码处劲射又被博诺挡出
5'皇马获得了左侧角球机会！！                   2'2分钟后，本泽马横敲，卢卡斯12码处劲射又被博诺挡出
5'克罗斯角球开出到前点                   2'2分钟后，本泽马横敲，卢卡斯12码处劲射又被博诺挡出
11'C罗前场左路拿球，内切到禁区                   11'皇马第11分钟取得领先，克罗斯战术角球配合中禁区左侧传中，C罗10码处第一时间扫射入网
11'连续的踩单车，下底后倒三角回传                   11'皇马第11分钟取得领先，克罗斯战术角球配合中禁区左侧传中，C罗10码处第一时间扫射入网
11'本泽马背身拿球，脚后跟分球门前                   11'皇马第11分钟取得领先，克罗斯战术角球配合中禁区左侧传中，C罗10码处第一时间扫射入网
11'插上的巴斯克斯接应，索拉出击将球扑出底线                   11'皇马第11分钟取得领先，克罗斯战术角球配合中禁区左侧传中，C罗10码处第一时间扫射入网
11'皇马获得了左侧角球机会！                   11'皇马第11分钟取得领先，克罗斯战术角球配合中禁区左侧传中，C罗10码处第一时间扫射入网
12'进球了！！                   11'皇马第11分钟取得领先，克罗斯战术角球配合中禁区左侧传中，C罗10码处第一时间扫射入网
12'C罗！                   11'皇马第11分钟取得领先，克罗斯战术角球配合中禁区左侧传中，C罗10码处第一时间扫射入网
