1'今天的主裁是赵治治                   1'第1分钟双方打的节奏很快，主场作战的舜天队占据优势
1'客场作战的亚泰从画面右侧向左侧进攻，舜天反之                   1'第1分钟双方打的节奏很快，主场作战的舜天队占据优势
1'舜天一上来就从右路发动进攻                   1'第1分钟双方打的节奏很快，主场作战的舜天队占据优势
2'吉翔的传中，到后点，卡尔坦森禁区内没有停稳                   1'第1分钟双方打的节奏很快，主场作战的舜天队占据优势
2'舜天队把球敲回来，还是吉翔利用精湛的脚法发起长传进攻                   1'第1分钟双方打的节奏很快，主场作战的舜天队占据优势
2'亚泰中场拦截，发动反击                   1'第1分钟双方打的节奏很快，主场作战的舜天队占据优势
3'长传找到莫雷罗，奥特森卡位准确挡住线路                   1'第1分钟双方打的节奏很快，主场作战的舜天队占据优势
3'莫雷罗拼抢拉人犯规                   1'第1分钟双方打的节奏很快，主场作战的舜天队占据优势
3'亚泰中场组织进攻，阎峰右路分裴帅，在选择一记长传                   1'第1分钟双方打的节奏很快，主场作战的舜天队占据优势
4'亚泰禁区前沿莫雷罗头球一蹭，杜震宇在传中                   1'第1分钟双方打的节奏很快，主场作战的舜天队占据优势
6'阎峰中路插上，右脚一停，左脚的打门，被后卫挡住                   6'第6分钟，阎峰中路插上右脚一停，随即左脚打门被后卫挡住
6'亚泰右路斜吊禁区，莫雷罗很远的位置头球攻门，偏出                   6'第6分钟，阎峰中路插上右脚一停，随即左脚打门被后卫挡住
6'舜天队卡尔坦森利用个人能力制造险情                   6'第6分钟，阎峰中路插上右脚一停，随即左脚打门被后卫挡住
6'卡尔坦森禁区强突抹进去，小角度的攻门，吴亚轲侧扑把球挡出                   6'第6分钟，阎峰中路插上右脚一停，随即左脚打门被后卫挡住
7'门前阎峰拿到第二点迅速头球解围，太危险                   6'第6分钟，阎峰中路插上右脚一停，随即左脚打门被后卫挡住
7'伊斯梅洛夫后场防守犯规                   6'第6分钟，阎峰中路插上右脚一停，随即左脚打门被后卫挡住
7'杨笑天任意球直接送入禁区前沿，高度不够，没有造成威胁                   6'第6分钟，阎峰中路插上右脚一停，随即左脚打门被后卫挡住
8'舜天后场倒脚，控制节奏，交给奥特森                   6'第6分钟，阎峰中路插上右脚一停，随即左脚打门被后卫挡住
8'吴曦横敲刘建业给的有点歪，被亚泰抢断                   6'第6分钟，阎峰中路插上右脚一停，随即左脚打门被后卫挡住
9'亚泰进攻速度打的非常快，裴帅左侧已经下底                   6'第6分钟，阎峰中路插上右脚一停，随即左脚打门被后卫挡住
9'一扣晃开后卫，传中时候犹豫了，被许友志挡出底线                   6'第6分钟，阎峰中路插上右脚一停，随即左脚打门被后卫挡住
8'舜天后场倒脚，控制节奏，交给奥特森                   8'第8分钟，卡尔坦森禁区强突抹进去，小角度攻门被吴亚轲奋力扑出，门前阎峰拿到第二点迅速头球解围
