1'上半场比赛开始了！                   1'第1分钟两队竞争激烈，攻防转换快速，但效果一般
1'上半场由富力率先中圈开球                   1'第1分钟两队竞争激烈，攻防转换快速，但效果一般
1'于洋往前传，石柯撞倒了肖智                   1'第1分钟两队竞争激烈，攻防转换快速，但效果一般
1'富力前场右侧的任意球机会                   1'第1分钟两队竞争激烈，攻防转换快速，但效果一般
2'卢琳送到禁区内，王燊超将球顶出底线                   1'第1分钟两队竞争激烈，攻防转换快速，但效果一般
2'战术角球                   1'第1分钟两队竞争激烈，攻防转换快速，但效果一般
2'姜至鹏带球进了禁区打门力量不大，颜骏凌将球接住                   1'第1分钟两队竞争激烈，攻防转换快速，但效果一般
3'王燊超后场长传，武磊前插稍快，越位                   1'第1分钟两队竞争激烈，攻防转换快速，但效果一般
3'富力后场控球                   1'第1分钟两队竞争激烈，攻防转换快速，但效果一般
3'斯文森交给左侧的张耀坤                   1'第1分钟两队竞争激烈，攻防转换快速，但效果一般
3'直传交给了扎哈维，带球没有护好                   1'第1分钟两队竞争激烈，攻防转换快速，但效果一般
3'汪嵩中场断球                   1'第1分钟两队竞争激烈，攻防转换快速，但效果一般
4'肖智左路接应姜至鹏传球一扣，再反方向扣往底线，可惜身体没有跟上球出底线                   1'第1分钟两队竞争激烈，攻防转换快速，但效果一般
4'张耀坤交给左路的姜至鹏，长传过不了贺惯                   1'第1分钟两队竞争激烈，攻防转换快速，但效果一般
13'武磊回传给贺惯                   12'第12分钟上港后场长传准确找到左边的埃弗拉，科特迪瓦人过掉斯文森下底推传但中路无上港队员跟进
13'长传进了禁区，埃弗拉得球往底线一拐再传中，张耀坤将球得到                   12'第12分钟上港后场长传准确找到左边的埃弗拉，科特迪瓦人过掉斯文森下底推传但中路无上港队员跟进
13'雷纳迪尼奥右路带球冲起来，直传，给了扎哈维                   12'第12分钟上港后场长传准确找到左边的埃弗拉，科特迪瓦人过掉斯文森下底推传但中路无上港队员跟进
13'扎哈维打近角，稍偏出了右立柱                   12'第12分钟上港后场长传准确找到左边的埃弗拉，科特迪瓦人过掉斯文森下底推传但中路无上港队员跟进
14'奚志康指导已经走到场边理论                   12'第12分钟上港后场长传准确找到左边的埃弗拉，科特迪瓦人过掉斯文森下底推传但中路无上港队员跟进
15'由于过于激动，奚志康指导被罚上看台                   12'第12分钟上港后场长传准确找到左边的埃弗拉，科特迪瓦人过掉斯文森下底推传但中路无上港队员跟进
15'雷纳迪尼奥右路接球，被撞倒                   12'第12分钟上港后场长传准确找到左边的埃弗拉，科特迪瓦人过掉斯文森下底推传但中路无上港队员跟进
15'不过裁判认为是上港的界外球                   12'第12分钟上港后场长传准确找到左边的埃弗拉，科特迪瓦人过掉斯文森下底推传但中路无上港队员跟进
16'肖智得球转移到右路，雷纳迪尼奥打门击中了后卫                   16'第16分钟富力后场长传，埋伏在禁区边缘的肖智头球点到中路，快速跟进的雷纳迪尼奥在禁区线上把球垫了一下后，直接起右脚凌空怒射，皮球直挂大门死角而入，1比0，广州富力领先
16'武磊右路直传，埃尔克森接应回传给王燊超                   16'第16分钟富力后场长传，埋伏在禁区边缘的肖智头球点到中路，快速跟进的雷纳迪尼奥在禁区线上把球垫了一下后，直接起右脚凌空怒射，皮球直挂大门死角而入，1比0，广州富力领先
16'王燊超传中，吕文君带球被姜至鹏将球抢断                   16'第16分钟富力后场长传，埋伏在禁区边缘的肖智头球点到中路，快速跟进的雷纳迪尼奥在禁区线上把球垫了一下后，直接起右脚凌空怒射，皮球直挂大门死角而入，1比0，广州富力领先
17'姜至鹏交给汪嵩过渡一下                   16'第16分钟富力后场长传，埋伏在禁区边缘的肖智头球点到中路，快速跟进的雷纳迪尼奥在禁区线上把球垫了一下后，直接起右脚凌空怒射，皮球直挂大门死角而入，1比0，广州富力领先
17'斯文森交给左路的姜至鹏                   16'第16分钟富力后场长传，埋伏在禁区边缘的肖智头球点到中路，快速跟进的雷纳迪尼奥在禁区线上把球垫了一下后，直接起右脚凌空怒射，皮球直挂大门死角而入，1比0，广州富力领先
17'回传给斯文森，再交给汪嵩                   16'第16分钟富力后场长传，埋伏在禁区边缘的肖智头球点到中路，快速跟进的雷纳迪尼奥在禁区线上把球垫了一下后，直接起右脚凌空怒射，皮球直挂大门死角而入，1比0，广州富力领先
17'汪嵩换左脚长传                   16'第16分钟富力后场长传，埋伏在禁区边缘的肖智头球点到中路，快速跟进的雷纳迪尼奥在禁区线上把球垫了一下后，直接起右脚凌空怒射，皮球直挂大门死角而入，1比0，广州富力领先
18'肖智头球回做，雷纳迪尼奥禁区边缘劲射破网！                   16'第16分钟富力后场长传，埋伏在禁区边缘的肖智头球点到中路，快速跟进的雷纳迪尼奥在禁区线上把球垫了一下后，直接起右脚凌空怒射，皮球直挂大门死角而入，1比0，广州富力领先
19'富力取得领先                   16'第16分钟富力后场长传，埋伏在禁区边缘的肖智头球点到中路，快速跟进的雷纳迪尼奥在禁区线上把球垫了一下后，直接起右脚凌空怒射，皮球直挂大门死角而入，1比0，广州富力领先
19'缺兵少将的上港是非常被动                   16'第16分钟富力后场长传，埋伏在禁区边缘的肖智头球点到中路，快速跟进的雷纳迪尼奥在禁区线上把球垫了一下后，直接起右脚凌空怒射，皮球直挂大门死角而入，1比0，广州富力领先
19'富力取得领先                   19'但上港很快还以进球，第19分钟埃弗拉左路闪开于洋防守后长传，球弹地后中路的两队队员都没碰到，球飞到球门后点，武磊跟进轻松推射入门，1比1
19'缺兵少将的上港是非常被动                   19'但上港很快还以进球，第19分钟埃弗拉左路闪开于洋防守后长传，球弹地后中路的两队队员都没碰到，球飞到球门后点，武磊跟进轻松推射入门，1比1
20'唐淼直传，于海断球，直传                   19'但上港很快还以进球，第19分钟埃弗拉左路闪开于洋防守后长传，球弹地后中路的两队队员都没碰到，球飞到球门后点，武磊跟进轻松推射入门，1比1
20'埃弗拉快速上前传中                   19'但上港很快还以进球，第19分钟埃弗拉左路闪开于洋防守后长传，球弹地后中路的两队队员都没碰到，球飞到球门后点，武磊跟进轻松推射入门，1比1
