56'曼联进球了！！                   55'曼联第55分钟打破僵局，马塔左路传中，卢卡库前点小禁区前凌空垫射近角入网
56'刚刚网络卡，结果刚好，曼联就进球了！！                   55'曼联第55分钟打破僵局，马塔左路传中，卢卡库前点小禁区前凌空垫射近角入网
56'卢卡库的凌空扫射！                   55'曼联第55分钟打破僵局，马塔左路传中，卢卡库前点小禁区前凌空垫射近角入网
56'马塔左路拿球，传中到门前，卢卡库抢点凌空扫射，打进球门！！！                   55'曼联第55分钟打破僵局，马塔左路传中，卢卡库前点小禁区前凌空垫射近角入网
57'瓦伦西亚右路拿球，内切横传                   55'曼联第55分钟打破僵局，马塔左路传中，卢卡库前点小禁区前凌空垫射近角入网
57'被孔戈洛伸脚挡出了边线！！                   55'曼联第55分钟打破僵局，马塔左路传中，卢卡库前点小禁区前凌空垫射近角入网
57'哈德斯菲尔德右路的进攻                   55'曼联第55分钟打破僵局，马塔左路传中，卢卡库前点小禁区前凌空垫射近角入网
58'穆伊拿球，内切横传禁区弧顶                   55'曼联第55分钟打破僵局，马塔左路传中，卢卡库前点小禁区前凌空垫射近角入网
68'博格巴的过顶长传到禁区右侧                   68'曼联第68分钟扩大比分，桑切斯禁区边缘内被替补出场的赫费勒绊倒，桑切斯亲自主罚点球低射被扑出，他随即跟进补射入网，2-0
68'马塔拿球，横传找切入的桑切斯                   68'曼联第68分钟扩大比分，桑切斯禁区边缘内被替补出场的赫费勒绊倒，桑切斯亲自主罚点球低射被扑出，他随即跟进补射入网，2-0
69'桑切斯将球踢走后，被踢倒在地                   68'曼联第68分钟扩大比分，桑切斯禁区边缘内被替补出场的赫费勒绊倒，桑切斯亲自主罚点球低射被扑出，他随即跟进补射入网，2-0
69'裁判给了曼联点球！！                   68'曼联第68分钟扩大比分，桑切斯禁区边缘内被替补出场的赫费勒绊倒，桑切斯亲自主罚点球低射被扑出，他随即跟进补射入网，2-0
69'桑切斯主罚，低射被洛斯尔封堵！！                   68'曼联第68分钟扩大比分，桑切斯禁区边缘内被替补出场的赫费勒绊倒，桑切斯亲自主罚点球低射被扑出，他随即跟进补射入网，2-0
69'不过再补，打进！！                   68'曼联第68分钟扩大比分，桑切斯禁区边缘内被替补出场的赫费勒绊倒，桑切斯亲自主罚点球低射被扑出，他随即跟进补射入网，2-0
69'桑切斯打进了加盟曼联的处子球！！！                   68'曼联第68分钟扩大比分，桑切斯禁区边缘内被替补出场的赫费勒绊倒，桑切斯亲自主罚点球低射被扑出，他随即跟进补射入网，2-0
70'老特拉福德球场的首秀，桑切斯破门得分了！！                   68'曼联第68分钟扩大比分，桑切斯禁区边缘内被替补出场的赫费勒绊倒，桑切斯亲自主罚点球低射被扑出，他随即跟进补射入网，2-0
70'曼联换人：19号拉什福德上，换下8号马塔！！                   68'曼联第68分钟扩大比分，桑切斯禁区边缘内被替补出场的赫费勒绊倒，桑切斯亲自主罚点球低射被扑出，他随即跟进补射入网，2-0
71'马塔的下场，也是引来现场球迷的热烈掌声！！                   68'曼联第68分钟扩大比分，桑切斯禁区边缘内被替补出场的赫费勒绊倒，桑切斯亲自主罚点球低射被扑出，他随即跟进补射入网，2-0
71'曼联的两个进球，都与马塔有关！！                   68'曼联第68分钟扩大比分，桑切斯禁区边缘内被替补出场的赫费勒绊倒，桑切斯亲自主罚点球低射被扑出，他随即跟进补射入网，2-0
71'  手浪2091961443  2018-02-04 00:16:35   有什么事说两句啊，手机文字直播长时不说话看者不急吗？（对不住啊，主要是网络故障，发不出去。。）                   68'曼联第68分钟扩大比分，桑切斯禁区边缘内被替补出场的赫费勒绊倒，桑切斯亲自主罚点球低射被扑出，他随即跟进补射入网，2-0
