9'拜仁慕尼黑球员阿拉巴大禁区外左脚射门,被防守球员封堵.                   9'开场9分钟，道格拉斯-科斯塔左路挑传，比达尔在门前11米处凌空打呲
9'拜仁慕尼黑球员比达尔大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是道格拉斯-科斯塔.                   9'开场9分钟，道格拉斯-科斯塔左路挑传，比达尔在门前11米处凌空打呲
18'射门!!!科隆球员大迫勇也大禁区中央头球,被对方守门员横身扑出.给他传球的是克莱门斯.                   18'科隆第18分钟首次制造威胁，克莱门斯右路斜传，大迫勇也前点距门9米处头球一蹭被诺伊尔飞身托出近角
18'诺伊尔将球处理出底线,科隆获得角球.                   18'科隆第18分钟首次制造威胁，克莱门斯右路斜传，大迫勇也前点距门9米处头球一蹭被诺伊尔飞身托出近角
19'科隆球员大迫勇也拼抢犯规,对手获得控球权.                   18'科隆第18分钟首次制造威胁，克莱门斯右路斜传，大迫勇也前点距门9米处头球一蹭被诺伊尔飞身托出近角
19'比达尔为拜仁慕尼黑赢得一个任意球.                   18'科隆第18分钟首次制造威胁，克莱门斯右路斜传，大迫勇也前点距门9米处头球一蹭被诺伊尔飞身托出近角
21'拜仁慕尼黑球员莱万多夫斯基大禁区中央尝试头球,可惜皮球稍稍高出球门.给他传球的是科曼.                   18'科隆第18分钟首次制造威胁，克莱门斯右路斜传，大迫勇也前点距门9米处头球一蹭被诺伊尔飞身托出近角
21'凯斯勒将球处理出底线,拜仁慕尼黑获得角球.                   18'科隆第18分钟首次制造威胁，克莱门斯右路斜传，大迫勇也前点距门9米处头球一蹭被诺伊尔飞身托出近角
25'索伦森将球处理出底线,拜仁慕尼黑获得角球.                   25'拜仁第25分钟取得领先
25'进球啦！！！拜仁慕尼黑球员哈维-马丁内斯球门线跟前右脚射门,球从左上角飞进球门,球进了!助攻的是比达尔. 科隆 0-1 拜仁慕尼黑.                   25'拜仁第25分钟取得领先
27'索伦森为科隆赢得一个任意球.                   25'拜仁第25分钟取得领先
27'拜仁慕尼黑球员莱万多夫斯基拼抢犯规,对手获得控球权.                   25'拜仁第25分钟取得领先
28'科隆球员莫德斯特拼抢犯规,对手获得控球权.                   25'拜仁第25分钟取得领先
28'贝尔纳特为拜仁慕尼黑赢得一个任意球.                   25'拜仁第25分钟取得领先
28'射门!!!拜仁慕尼黑球员科曼球门右侧小角度右脚射门,被对方守门员横身扑出.给他传球的是拉姆.                   25'拜仁第25分钟取得领先
48'进球啦！！！拜仁慕尼黑球员贝尔纳特大禁区左侧左脚射门,球从左下角飞进球门,球进了!助攻的是穆勒. 科隆 0-2 拜仁慕尼黑.                   48'拜仁第48分钟扩大比分
50'拜仁慕尼黑球员道格拉斯-科斯塔大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是科曼.                   48'拜仁第48分钟扩大比分
51'科隆索伦森受伤倒地,比赛暂停                   48'拜仁第48分钟扩大比分
51'拜仁慕尼黑道格拉斯-科斯塔受伤倒地,比赛暂停                   48'拜仁第48分钟扩大比分
90'进球啦！！！拜仁慕尼黑球员里贝里大禁区中央左脚射门,球从中路偏上飞进球门,球进了!助攻的是贝尔纳特. 科隆 0-3 拜仁慕尼黑.                   90'拜仁第90分钟锁定胜局，蒂亚戈精准直传，贝尔纳特左路回传，里贝里在门前8米处左脚推射入网，3比0
90'+1'下半场结束,科隆 0-3 拜仁慕尼黑                   90'拜仁第90分钟锁定胜局，蒂亚戈精准直传，贝尔纳特左路回传，里贝里在门前8米处左脚推射入网，3比0
