2'位置上还是不错的                   2'开场仅2分钟，德佩25码处任意球射门被法比安斯基扑出
2'德佩任意球直接打门！！                   2'开场仅2分钟，德佩25码处任意球射门被法比安斯基扑出
2'法比安斯基侧扑将球扑了出去                   2'开场仅2分钟，德佩25码处任意球射门被法比安斯基扑出
4'曼联前场控球被破坏                   2'开场仅2分钟，德佩25码处任意球射门被法比安斯基扑出
4'斯旺西中场滑铲将球拦截                   2'开场仅2分钟，德佩25码处任意球射门被法比安斯基扑出
4'长传直接送到禁区内                   2'开场仅2分钟，德佩25码处任意球射门被法比安斯基扑出
4'罗梅罗直接将球拿到                   2'开场仅2分钟，德佩25码处任意球射门被法比安斯基扑出
5'斯旺西再送直塞到禁区内                   2'开场仅2分钟，德佩25码处任意球射门被法比安斯基扑出
18'角球送后点，队友摆渡后到中路                   18'曼联第18分钟错过机会，卢克-肖直传，鲁尼禁区左侧在阿什利-威廉姆斯及时回追防守下错过单刀机会
18'斯马林再打门的时候先犯规                   18'曼联第18分钟错过机会，卢克-肖直传，鲁尼禁区左侧在阿什利-威廉姆斯及时回追防守下错过单刀机会
18'曼联这边有机会                   18'曼联第18分钟错过机会，卢克-肖直传，鲁尼禁区左侧在阿什利-威廉姆斯及时回追防守下错过单刀机会
19'中场长传直接推了一个身后                   18'曼联第18分钟错过机会，卢克-肖直传，鲁尼禁区左侧在阿什利-威廉姆斯及时回追防守下错过单刀机会
19'鲁尼禁区内接球后先摆脱一名防守球员                   18'曼联第18分钟错过机会，卢克-肖直传，鲁尼禁区左侧在阿什利-威廉姆斯及时回追防守下错过单刀机会
19'禁区内，鲁尼再扣被对方拦截                   18'曼联第18分钟错过机会，卢克-肖直传，鲁尼禁区左侧在阿什利-威廉姆斯及时回追防守下错过单刀机会
20'曼联左路拿球，跟鲁尼寻求配合                   18'曼联第18分钟错过机会，卢克-肖直传，鲁尼禁区左侧在阿什利-威廉姆斯及时回追防守下错过单刀机会
21'马塔禁区内劲射打近角打偏了！！                   18'曼联第18分钟错过机会，卢克-肖直传，鲁尼禁区左侧在阿什利-威廉姆斯及时回追防守下错过单刀机会
21'曼联左路策动攻势，埃雷拉停球后转身做球，给到位置更好的马塔，但马塔的打门稍微差了点                   18'曼联第18分钟错过机会，卢克-肖直传，鲁尼禁区左侧在阿什利-威廉姆斯及时回追防守下错过单刀机会
23'斯旺西这段时间还是在防守                   23'斯旺西首次射门出现在第23分钟，阿尤送出直传，但戈米斯右路禁区边缘劲射偏出近角
23'阵型上并没有太多的回收                   23'斯旺西首次射门出现在第23分钟，阿尤送出直传，但戈米斯右路禁区边缘劲射偏出近角
23'斯旺西中场断抢下来                   23'斯旺西首次射门出现在第23分钟，阿尤送出直传，但戈米斯右路禁区边缘劲射偏出近角
23'中场挑传给到曼联身后                   23'斯旺西首次射门出现在第23分钟，阿尤送出直传，但戈米斯右路禁区边缘劲射偏出近角
24'戈米斯前插后在禁区边缘直接打门了                   23'斯旺西首次射门出现在第23分钟，阿尤送出直传，但戈米斯右路禁区边缘劲射偏出近角
24'这球力量是够，但是没有打正                   23'斯旺西首次射门出现在第23分钟，阿尤送出直传，但戈米斯右路禁区边缘劲射偏出近角
25'安德列-阿尤前场拿球被放倒                   23'斯旺西首次射门出现在第23分钟，阿尤送出直传，但戈米斯右路禁区边缘劲射偏出近角
25'谢尔维任意球打得比较突然                   23'斯旺西首次射门出现在第23分钟，阿尤送出直传，但戈米斯右路禁区边缘劲射偏出近角
26'送了一个低平球，禁区内戈米斯转身领了一下直接给了西古德森                   23'斯旺西首次射门出现在第23分钟，阿尤送出直传，但戈米斯右路禁区边缘劲射偏出近角
26'西古德森门前近距离推射稍稍打偏！                   23'斯旺西首次射门出现在第23分钟，阿尤送出直传，但戈米斯右路禁区边缘劲射偏出近角
26'罗梅罗后场解围直接送到斯旺西脚下                   23'斯旺西首次射门出现在第23分钟，阿尤送出直传，但戈米斯右路禁区边缘劲射偏出近角
25'安德列-阿尤前场拿球被放倒                   25'第25分钟，谢尔维任意球低传，戈米斯拉球闪过2人阻截，西古德森10码处单刀低射擦左侧立柱偏出
25'谢尔维任意球打得比较突然                   25'第25分钟，谢尔维任意球低传，戈米斯拉球闪过2人阻截，西古德森10码处单刀低射擦左侧立柱偏出
26'送了一个低平球，禁区内戈米斯转身领了一下直接给了西古德森                   25'第25分钟，谢尔维任意球低传，戈米斯拉球闪过2人阻截，西古德森10码处单刀低射擦左侧立柱偏出
26'西古德森门前近距离推射稍稍打偏！                   25'第25分钟，谢尔维任意球低传，戈米斯拉球闪过2人阻截，西古德森10码处单刀低射擦左侧立柱偏出
26'罗梅罗后场解围直接送到斯旺西脚下                   25'第25分钟，谢尔维任意球低传，戈米斯拉球闪过2人阻截，西古德森10码处单刀低射擦左侧立柱偏出
27'西古德森吊射没有控制好脚法                   25'第25分钟，谢尔维任意球低传，戈米斯拉球闪过2人阻截，西古德森10码处单刀低射擦左侧立柱偏出
27'罗梅罗门线上将球拿到                   25'第25分钟，谢尔维任意球低传，戈米斯拉球闪过2人阻截，西古德森10码处单刀低射擦左侧立柱偏出
27'斯旺西前场右路送直塞                   25'第25分钟，谢尔维任意球低传，戈米斯拉球闪过2人阻截，西古德森10码处单刀低射擦左侧立柱偏出
28'戈米禁区内接球后一扣摆脱防守，外脚背直接打门，球弹地后击中立柱出了底线！                   25'第25分钟，谢尔维任意球低传，戈米斯拉球闪过2人阻截，西古德森10码处单刀低射擦左侧立柱偏出
28'戈米这球没打进也是非常的气愤                   25'第25分钟，谢尔维任意球低传，戈米斯拉球闪过2人阻截，西古德森10码处单刀低射擦左侧立柱偏出
27'西古德森吊射没有控制好脚法                   27'第27分钟，谢尔维直传，戈米斯晃过布林德后12码处外脚背弹射，皮球击中左侧立柱外侧弹出
27'罗梅罗门线上将球拿到                   27'第27分钟，谢尔维直传，戈米斯晃过布林德后12码处外脚背弹射，皮球击中左侧立柱外侧弹出
27'斯旺西前场右路送直塞                   27'第27分钟，谢尔维直传，戈米斯晃过布林德后12码处外脚背弹射，皮球击中左侧立柱外侧弹出
28'戈米禁区内接球后一扣摆脱防守，外脚背直接打门，球弹地后击中立柱出了底线！                   27'第27分钟，谢尔维直传，戈米斯晃过布林德后12码处外脚背弹射，皮球击中左侧立柱外侧弹出
28'戈米这球没打进也是非常的气愤                   27'第27分钟，谢尔维直传，戈米斯晃过布林德后12码处外脚背弹射，皮球击中左侧立柱外侧弹出
29'曼联中场控球要稳一下                   27'第27分钟，谢尔维直传，戈米斯晃过布林德后12码处外脚背弹射，皮球击中左侧立柱外侧弹出
29'刚刚的两波攻势还是非常的有威胁                   27'第27分钟，谢尔维直传，戈米斯晃过布林德后12码处外脚背弹射，皮球击中左侧立柱外侧弹出
30'鲁尼门前近距离垫射将球打高                   27'第27分钟，谢尔维直传，戈米斯晃过布林德后12码处外脚背弹射，皮球击中左侧立柱外侧弹出
30'斯马林右路进攻跟杰克-科克有些冲突                   27'第27分钟，谢尔维直传，戈米斯晃过布林德后12码处外脚背弹射，皮球击中左侧立柱外侧弹出
30'右路的进攻斯马林动作有些大                   27'第27分钟，谢尔维直传，戈米斯晃过布林德后12码处外脚背弹射，皮球击中左侧立柱外侧弹出
30'杰克-科克也是有些不满意                   27'第27分钟，谢尔维直传，戈米斯晃过布林德后12码处外脚背弹射，皮球击中左侧立柱外侧弹出
48'达米安只能先犯规将对方放倒                   48'曼联第48分钟打破僵局，卢克-肖左路强突传中，鲁尼前点漏过，马塔小禁区右侧抢在阿什利-威廉姆斯之前射入上角
48'谢尔维任意球直接打门了                   48'曼联第48分钟打破僵局，卢克-肖左路强突传中，鲁尼前点漏过，马塔小禁区右侧抢在阿什利-威廉姆斯之前射入上角
48'这球打得太正被罗梅罗得到                   48'曼联第48分钟打破僵局，卢克-肖左路强突传中，鲁尼前点漏过，马塔小禁区右侧抢在阿什利-威廉姆斯之前射入上角
48'0-1！！！                   48'曼联第48分钟打破僵局，卢克-肖左路强突传中，鲁尼前点漏过，马塔小禁区右侧抢在阿什利-威廉姆斯之前射入上角
48'马塔！！                   48'曼联第48分钟打破僵局，卢克-肖左路强突传中，鲁尼前点漏过，马塔小禁区右侧抢在阿什利-威廉姆斯之前射入上角
48'此时此刻值得来杯嘉士伯                   48'曼联第48分钟打破僵局，卢克-肖左路强突传中，鲁尼前点漏过，马塔小禁区右侧抢在阿什利-威廉姆斯之前射入上角
49'卢克-肖中场对角下来拼的机会，左路半高球送禁区内，鲁尼前点有些犹豫，最后没有碰球，后点，马塔跟进推射上角破门！                   48'曼联第48分钟打破僵局，卢克-肖左路强突传中，鲁尼前点漏过，马塔小禁区右侧抢在阿什利-威廉姆斯之前射入上角
50'安德列-阿尤这边似乎有些受伤                   48'曼联第48分钟打破僵局，卢克-肖左路强突传中，鲁尼前点漏过，马塔小禁区右侧抢在阿什利-威廉姆斯之前射入上角
51'斯旺西中场拿球被拦截                   48'曼联第48分钟打破僵局，卢克-肖左路强突传中，鲁尼前点漏过，马塔小禁区右侧抢在阿什利-威廉姆斯之前射入上角
51'德佩右路传球送禁区内                   48'曼联第48分钟打破僵局，卢克-肖左路强突传中，鲁尼前点漏过，马塔小禁区右侧抢在阿什利-威廉姆斯之前射入上角
51'前点斯旺西的解围险些自摆乌龙，法比安斯基反应迅速将球托了一下                   48'曼联第48分钟打破僵局，卢克-肖左路强突传中，鲁尼前点漏过，马塔小禁区右侧抢在阿什利-威廉姆斯之前射入上角
51'斯旺西中场拿球被拦截                   51'斯旺西6分钟连入2球反超，第61分钟，西古德森右路传中，无人防守的安德列-阿尤10码处顶出反弹球破门，1-1
51'德佩右路传球送禁区内                   51'斯旺西6分钟连入2球反超，第61分钟，西古德森右路传中，无人防守的安德列-阿尤10码处顶出反弹球破门，1-1
51'前点斯旺西的解围险些自摆乌龙，法比安斯基反应迅速将球托了一下                   51'斯旺西6分钟连入2球反超，第61分钟，西古德森右路传中，无人防守的安德列-阿尤10码处顶出反弹球破门，1-1
53'斯旺西前场右路获得定位球机会                   51'斯旺西6分钟连入2球反超，第61分钟，西古德森右路传中，无人防守的安德列-阿尤10码处顶出反弹球破门，1-1
53'任意球送中路                   51'斯旺西6分钟连入2球反超，第61分钟，西古德森右路传中，无人防守的安德列-阿尤10码处顶出反弹球破门，1-1
53'前点的安德列-阿尤没有拿到                   51'斯旺西6分钟连入2球反超，第61分钟，西古德森右路传中，无人防守的安德列-阿尤10码处顶出反弹球破门，1-1
53'后点直接虚晃了一下跟进的球员                   51'斯旺西6分钟连入2球反超，第61分钟，西古德森右路传中，无人防守的安德列-阿尤10码处顶出反弹球破门，1-1
54'埃雷拉前场左路拿球送直塞                   51'斯旺西6分钟连入2球反超，第61分钟，西古德森右路传中，无人防守的安德列-阿尤10码处顶出反弹球破门，1-1
54'卢克-肖套边上来后下底到禁区                   51'斯旺西6分钟连入2球反超，第61分钟，西古德森右路传中，无人防守的安德列-阿尤10码处顶出反弹球破门，1-1
54'鲁尼后点原地起跳头球攻门没有顶上力量                   51'斯旺西6分钟连入2球反超，第61分钟，西古德森右路传中，无人防守的安德列-阿尤10码处顶出反弹球破门，1-1
54'起跳的时候稍微有些早                   51'斯旺西6分钟连入2球反超，第61分钟，西古德森右路传中，无人防守的安德列-阿尤10码处顶出反弹球破门，1-1
88'曼联再次起高球到禁区内                   88'曼联第88分钟浪费机会，鲁尼强突费德里科直入禁区，但阿什利-威廉姆斯及时回追漂亮抢断
88'鲁尼这边有单刀球的机会                   88'曼联第88分钟浪费机会，鲁尼强突费德里科直入禁区，但阿什利-威廉姆斯及时回追漂亮抢断
88'禁区内太求稳了，结果被后卫补防拦截了                   88'曼联第88分钟浪费机会，鲁尼强突费德里科直入禁区，但阿什利-威廉姆斯及时回追漂亮抢断
89'鲁尼还在跟裁判交涉                   88'曼联第88分钟浪费机会，鲁尼强突费德里科直入禁区，但阿什利-威廉姆斯及时回追漂亮抢断
89'斯旺西换人，谢尔维下，巴特利上！                   88'曼联第88分钟浪费机会，鲁尼强突费德里科直入禁区，但阿什利-威廉姆斯及时回追漂亮抢断
90'德佩左路起球送禁区内                   88'曼联第88分钟浪费机会，鲁尼强突费德里科直入禁区，但阿什利-威廉姆斯及时回追漂亮抢断
90'法比安斯基出击将球先摘到                   88'曼联第88分钟浪费机会，鲁尼强突费德里科直入禁区，但阿什利-威廉姆斯及时回追漂亮抢断
91'下半场补时4分钟！                   88'曼联第88分钟浪费机会，鲁尼强突费德里科直入禁区，但阿什利-威廉姆斯及时回追漂亮抢断
91'阿什利-扬右路起球送禁区，落点不理想                   88'曼联第88分钟浪费机会，鲁尼强突费德里科直入禁区，但阿什利-威廉姆斯及时回追漂亮抢断
