6'惠廷汉姆为卡迪夫城赢得一个任意球.                   6'第6分钟，洛里斯冲出至禁区边缘扑出弗莱泽-坎贝尔的单刀球
6'热刺球员沃克尔拼抢犯规,对手获得控球权.                   6'第6分钟，洛里斯冲出至禁区边缘扑出弗莱泽-坎贝尔的单刀球
7'黄牌！热刺球员沃克尔因为恶意犯规,被主裁判出示黄牌.                   6'第6分钟，洛里斯冲出至禁区边缘扑出弗莱泽-坎贝尔的单刀球
7'热刺受伤倒地,比赛暂停                   6'第6分钟，洛里斯冲出至禁区边缘扑出弗莱泽-坎贝尔的单刀球
7'暂停结束,球员们重新开始比赛.                   6'第6分钟，洛里斯冲出至禁区边缘扑出弗莱泽-坎贝尔的单刀球
8'卡迪夫城球员惠廷汉姆拼抢犯规,对手获得控球权.                   6'第6分钟，洛里斯冲出至禁区边缘扑出弗莱泽-坎贝尔的单刀球
8'保利尼奥为热刺赢得一个任意球.                   6'第6分钟，洛里斯冲出至禁区边缘扑出弗莱泽-坎贝尔的单刀球
9'射门!!!热刺球员索尔达多大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是沃克尔.                   6'第6分钟，洛里斯冲出至禁区边缘扑出弗莱泽-坎贝尔的单刀球
9'马绍尔将球处理出底线,热刺获得角球.                   6'第6分钟，洛里斯冲出至禁区边缘扑出弗莱泽-坎贝尔的单刀球
51'热刺球员西古德森大禁区外右脚射门,命中门柱横梁.给他传球的是汤森德.                   51'热刺第51分钟也错过机会，汤森德传球，西古德森25码处劲射打中横梁弹回，索尔达多12码处单刀射门又被马绍尔用腿挡出
51'射门!!!热刺球员索尔达多大禁区中央右脚射门,被对方守门员横身扑出.                   51'热刺第51分钟也错过机会，汤森德传球，西古德森25码处劲射打中横梁弹回，索尔达多12码处单刀射门又被马绍尔用腿挡出
52'热刺球员保利尼奥大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是登贝莱.                   51'热刺第51分钟也错过机会，汤森德传球，西古德森25码处劲射打中横梁弹回，索尔达多12码处单刀射门又被马绍尔用腿挡出
53'特纳将球处理出底线,热刺获得角球.                   51'热刺第51分钟也错过机会，汤森德传球，西古德森25码处劲射打中横梁弹回，索尔达多12码处单刀射门又被马绍尔用腿挡出
54'热刺球员保利尼奥大禁区外右脚射门,被防守球员封堵.给他传球的是西古德森.                   51'热刺第51分钟也错过机会，汤森德传球，西古德森25码处劲射打中横梁弹回，索尔达多12码处单刀射门又被马绍尔用腿挡出
