4'热刺球员诺顿大禁区外尝试右脚射门,可惜皮球偏出球门.
5'卡迪夫城球员考尔克一脚直塞球给F-坎贝尔,但是边裁举旗显示后者已经越位.
6'惠廷汉姆为卡迪夫城赢得一个任意球.
6'热刺球员沃克尔拼抢犯规,对手获得控球权.
7'黄牌！热刺球员沃克尔因为恶意犯规,被主裁判出示黄牌.
7'热刺受伤倒地,比赛暂停
7'暂停结束,球员们重新开始比赛.
8'卡迪夫城球员惠廷汉姆拼抢犯规,对手获得控球权.
8'保利尼奥为热刺赢得一个任意球.
9'射门!!!热刺球员索尔达多大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是沃克尔.
9'马绍尔将球处理出底线,热刺获得角球.
11'射门!!!热刺球员西古德森大禁区中央头球,被对方守门员横身扑出.给他传球的是诺顿.
12'特纳将球处理出底线,热刺获得角球.
12'热刺球员汤森德大禁区外右脚射门,被防守球员封堵.
14'卡迪夫城球员惠廷汉姆一脚直塞球给F-坎贝尔,但是边裁举旗显示后者已经越位.
15'射门!!!热刺球员埃里克森大禁区外右脚射门,被对方守门员横身扑出.给他传球的是西古德森.
15'马绍尔将球处理出底线,热刺获得角球.
16'热刺球员汤森德大禁区右侧左脚射门,被防守球员封堵.给他传球的是索尔达多.
17'热刺球员西古德森手球犯规,对手获得球权.
20'热刺球员索尔达多大禁区中央右脚射门,被防守球员封堵.给他传球的是保利尼奥.
20'射门!!!热刺球员埃里克森大禁区外左脚射门,被对方守门员横身扑出.
20'马绍尔将球处理出底线,热刺获得角球.
20'热刺球员保利尼奥大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是埃里克森.
22'卡迪夫城球员冈纳尔森拼抢犯规,对手获得控球权.
22'汤森德为热刺在右路,赢得一个任意球.
23'热刺球员沃克尔右侧很远处右脚射门,被防守球员封堵.给他传球的是保利尼奥.
23'射门!!!热刺球员西古德森大禁区外右脚射门,被对方守门员横身扑出.给他传球的是登贝莱.
24'安德鲁-泰勒为卡迪夫城赢得一个任意球.
24'热刺球员索尔达多拼抢犯规,对手获得控球权.
25'特纳将球处理出底线,热刺获得角球.
25'热刺球员道森大禁区中央尝试头球,可惜皮球高出球门.给他传球的是埃里克森.
27'卡迪夫城球员梅德尔大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是冈纳尔森.
