1'上半场比赛开始！                   1'双方第1分钟均小心谨慎应对
1'大巴黎主场率先开球                   1'双方第1分钟均小心谨慎应对
1'今天到场观战的名宿非常多，我们看到了德尚，邓加，弗格森，贝克汉姆，德约卡夫                   1'双方第1分钟均小心谨慎应对
2'小贝与弗格森坐在一排，但是当中隔了一个人                   1'双方第1分钟均小心谨慎应对
2'回到比赛，切尔西转移左路                   1'双方第1分钟均小心谨慎应对
2'阿扎尔拿球摆脱，回敲                   1'双方第1分钟均小心谨慎应对
3'阿兹皮利奎塔送身后球，科斯塔没有停到                   1'双方第1分钟均小心谨慎应对
3'范德维尔右路下底传中，出了底线                   1'双方第1分钟均小心谨慎应对
4'小法中场左路拿球，被绊倒                   1'双方第1分钟均小心谨慎应对
25'马图伊迪分左路，马克斯韦尔传中被库尔图瓦摘下                   25'切尔西首次进攻威胁出现在第25分钟，但阿扎尔强突禁区右侧小角度传中被西里古没收
25'斜传身后找科斯塔，还是没过顶                   25'切尔西首次进攻威胁出现在第25分钟，但阿扎尔强突禁区右侧小角度传中被西里古没收
25'阿扎尔右路突破传中，西里古把球没收                   25'切尔西首次进攻威胁出现在第25分钟，但阿扎尔强突禁区右侧小角度传中被西里古没收
27'卡瓦尼左路拿球，回敲马图伊迪                   25'切尔西首次进攻威胁出现在第25分钟，但阿扎尔强突禁区右侧小角度传中被西里古没收
27'马图伊迪面对三人包夹，成功把球转移出去                   25'切尔西首次进攻威胁出现在第25分钟，但阿扎尔强突禁区右侧小角度传中被西里古没收
27'范德维尔助攻插上到禁区内的横敲，没有找到队友脚下                   25'切尔西首次进攻威胁出现在第25分钟，但阿扎尔强突禁区右侧小角度传中被西里古没收
28'科斯塔分左路，路易斯头球顶出边线                   25'切尔西首次进攻威胁出现在第25分钟，但阿扎尔强突禁区右侧小角度传中被西里古没收
36'小法斜传去左路                   36'切尔西第36分钟凭借首次射门取得领先，蒂亚戈-席尔瓦头球解围传中，特里左路再传，卡希尔外脚背凌空垫传，伊万诺维奇8码处头球破门
36'切尔西进球了！！！                   36'切尔西第36分钟凭借首次射门取得领先，蒂亚戈-席尔瓦头球解围传中，特里左路再传，卡希尔外脚背凌空垫传，伊万诺维奇8码处头球破门
36'伊万诺维奇！！！                   36'切尔西第36分钟凭借首次射门取得领先，蒂亚戈-席尔瓦头球解围传中，特里左路再传，卡希尔外脚背凌空垫传，伊万诺维奇8码处头球破门
37'特里左路传中，卡希尔中路一垫，后点伊万头球顶破僵局！                   36'切尔西第36分钟凭借首次射门取得领先，蒂亚戈-席尔瓦头球解围传中，特里左路再传，卡希尔外脚背凌空垫传，伊万诺维奇8码处头球破门
37'三名后卫的配合，巴黎0-1落后切尔西！                   36'切尔西第36分钟凭借首次射门取得领先，蒂亚戈-席尔瓦头球解围传中，特里左路再传，卡希尔外脚背凌空垫传，伊万诺维奇8码处头球破门
