3'依然是曼联的中场控球，斯科尔斯大范围转移向左路                   3'第3分钟，斯马林头球勉强解围任意球传中，但登巴-巴小禁区边缘左脚抽射打空
3'埃弗拉停球失误，直接停出了边线                   3'第3分钟，斯马林头球勉强解围任意球传中，但登巴-巴小禁区边缘左脚抽射打空
3'现场的雨下得比较大！                   3'第3分钟，斯马林头球勉强解围任意球传中，但登巴-巴小禁区边缘左脚抽射打空
4'范佩西回到中场左路拿球，然后斜长传到禁区右侧，瓦伦西亚前插还没到位                   3'第3分钟，斯马林头球勉强解围任意球传中，但登巴-巴小禁区边缘左脚抽射打空
4'克鲁尔大脚将球踢到前场，西塞头球将球蹭出边线                   3'第3分钟，斯马林头球勉强解围任意球传中，但登巴-巴小禁区边缘左脚抽射打空
4'卡里克中场接球失误                   3'第3分钟，斯马林头球勉强解围任意球传中，但登巴-巴小禁区边缘左脚抽射打空
5'纽卡斯尔先开纪录，佩奇！！                   3'第3分钟，斯马林头球勉强解围任意球传中，但登巴-巴小禁区边缘左脚抽射打空
5'卡里克停球失误后，登巴巴得球后大力低射，德赫亚扑了一下扑得不远，佩奇禁区内补射空门球进！                   3'第3分钟，斯马林头球勉强解围任意球传中，但登巴-巴小禁区边缘左脚抽射打空
6'纽卡斯尔意外地率先取得进球                   3'第3分钟，斯马林头球勉强解围任意球传中，但登巴-巴小禁区边缘左脚抽射打空
6'埃弗拉左路带球推进，回防的西塞将他勾倒，但裁判员没有吹犯规                   3'第3分钟，斯马林头球勉强解围任意球传中，但登巴-巴小禁区边缘左脚抽射打空
14'斯科尔斯中路搓传右肋部，瓦伦西亚前插伸脚将球勾回来                   14'第14分钟，斯科尔斯挑传禁区右侧，瓦伦西亚飞身抢在底线前传中，但克鲁尔出击摘下
14'边裁示意球已经出底线了                   14'第14分钟，斯科尔斯挑传禁区右侧，瓦伦西亚飞身抢在底线前传中，但克鲁尔出击摘下
14'纽卡斯尔右路进攻，辛普森下底传中被费迪南德头球解围                   14'第14分钟，斯科尔斯挑传禁区右侧，瓦伦西亚飞身抢在底线前传中，但克鲁尔出击摘下
15'埃尔南德斯前场接应长传后被比吉里玛纳反抢成功                   14'第14分钟，斯科尔斯挑传禁区右侧，瓦伦西亚飞身抢在底线前传中，但克鲁尔出击摘下
15'比吉里玛纳的上场令喜鹊中场活力增加不少                   14'第14分钟，斯科尔斯挑传禁区右侧，瓦伦西亚飞身抢在底线前传中，但克鲁尔出击摘下
15'现场的雨越下越大                   14'第14分钟，斯科尔斯挑传禁区右侧，瓦伦西亚飞身抢在底线前传中，但克鲁尔出击摘下
15'桑顿长传禁区，队友们还没跑到位                   14'第14分钟，斯科尔斯挑传禁区右侧，瓦伦西亚飞身抢在底线前传中，但克鲁尔出击摘下
16'瓦伦西亚右路接球停球稍远，马尔维奥马上已经赶到                   14'第14分钟，斯科尔斯挑传禁区右侧，瓦伦西亚飞身抢在底线前传中，但克鲁尔出击摘下
16'比吉里玛纳中场断球直传，登巴巴先把对方倚住，费迪南德背后推人犯规                   14'第14分钟，斯科尔斯挑传禁区右侧，瓦伦西亚飞身抢在底线前传中，但克鲁尔出击摘下
17'克鲁尔走到中线后10米的位置发任意球                   14'第14分钟，斯科尔斯挑传禁区右侧，瓦伦西亚飞身抢在底线前传中，但克鲁尔出击摘下
17'克鲁尔长传禁区，费迪南德头球解围不远                   14'第14分钟，斯科尔斯挑传禁区右侧，瓦伦西亚飞身抢在底线前传中，但克鲁尔出击摘下
17'马尔维奥禁区前沿凌空打门打在了登巴巴头上                   14'第14分钟，斯科尔斯挑传禁区右侧，瓦伦西亚飞身抢在底线前传中，但克鲁尔出击摘下
26'曼联前场右路的任意球，范佩西斜传禁区，费迪南德甩头攻门没有顶正但球到了门前，埃尔南德斯反应最快地冲到球前被射被克鲁尔扑出，门前埃文斯推射空门球进！                   25'曼联第25分钟扳平比分，范佩西右路任意取出中，埃尔南德斯混战中带出皮球，小禁区边缘的射门被克鲁尔勉强挡出，埃文斯近距离铲射空门入网
26'回头登巴巴前场得球，禁区外直接抬脚打门，球打在了费迪南德身上                   25'曼联第25分钟扳平比分，范佩西右路任意取出中，埃尔南德斯混战中带出皮球，小禁区边缘的射门被克鲁尔勉强挡出，埃文斯近距离铲射空门入网
26'果然，曼联用他们强大的压迫力，很快就扳平了比分                   25'曼联第25分钟扳平比分，范佩西右路任意取出中，埃尔南德斯混战中带出皮球，小禁区边缘的射门被克鲁尔勉强挡出，埃文斯近距离铲射空门入网
27'范佩西禁区左犄角拿球一顺，埃弗拉前插时与辛普森有身体接触后倒地                   25'曼联第25分钟扳平比分，范佩西右路任意取出中，埃尔南德斯混战中带出皮球，小禁区边缘的射门被克鲁尔勉强挡出，埃文斯近距离铲射空门入网
27'主裁判示意继续比赛                   25'曼联第25分钟扳平比分，范佩西右路任意取出中，埃尔南德斯混战中带出皮球，小禁区边缘的射门被克鲁尔勉强挡出，埃文斯近距离铲射空门入网
27'安尼塔中路盘过斯科尔斯分到右路                   25'曼联第25分钟扳平比分，范佩西右路任意取出中，埃尔南德斯混战中带出皮球，小禁区边缘的射门被克鲁尔勉强挡出，埃文斯近距离铲射空门入网
28'纽卡斯尔将球打进球门，但边裁示意登巴巴越位！                   25'曼联第25分钟扳平比分，范佩西右路任意取出中，埃尔南德斯混战中带出皮球，小禁区边缘的射门被克鲁尔勉强挡出，埃文斯近距离铲射空门入网
26'曼联前场右路的任意球，范佩西斜传禁区，费迪南德甩头攻门没有顶正但球到了门前，埃尔南德斯反应最快地冲到球前被射被克鲁尔扑出，门前埃文斯推射空门球进！                   26'第26分钟，比吉里马纳传球，登巴-巴左路禁区边缘抽射偏出远角
26'回头登巴巴前场得球，禁区外直接抬脚打门，球打在了费迪南德身上                   26'第26分钟，比吉里马纳传球，登巴-巴左路禁区边缘抽射偏出远角
26'果然，曼联用他们强大的压迫力，很快就扳平了比分                   26'第26分钟，比吉里马纳传球，登巴-巴左路禁区边缘抽射偏出远角
27'范佩西禁区左犄角拿球一顺，埃弗拉前插时与辛普森有身体接触后倒地                   26'第26分钟，比吉里马纳传球，登巴-巴左路禁区边缘抽射偏出远角
27'主裁判示意继续比赛                   26'第26分钟，比吉里马纳传球，登巴-巴左路禁区边缘抽射偏出远角
27'安尼塔中路盘过斯科尔斯分到右路                   26'第26分钟，比吉里马纳传球，登巴-巴左路禁区边缘抽射偏出远角
28'纽卡斯尔将球打进球门，但边裁示意登巴巴越位！                   26'第26分钟，比吉里马纳传球，登巴-巴左路禁区边缘抽射偏出远角
29'安尼塔分边到了右路辛普森，辛普森将球抽到门前，埃文斯在已经越位的登巴巴干扰下将球碰进大门！                   26'第26分钟，比吉里马纳传球，登巴-巴左路禁区边缘抽射偏出远角
29'迪恩还没有作最后判决，跑过来与边裁商量一下                   26'第26分钟，比吉里马纳传球，登巴-巴左路禁区边缘抽射偏出远角
32'瓦伦西亚右路突破被桑顿绊倒，任意球                   32'第32分钟，辛普森右路摆脱吉格斯后又强突埃弗拉，但最后在禁区右侧的射门偏出近角
32'范佩西将球吊到后点，克鲁尔出击双龙出海将球打出禁区                   32'第32分钟，辛普森右路摆脱吉格斯后又强突埃弗拉，但最后在禁区右侧的射门偏出近角
32'费迪南德中场得球并大脚转移到左路                   32'第32分钟，辛普森右路摆脱吉格斯后又强突埃弗拉，但最后在禁区右侧的射门偏出近角
33'埃弗拉头球摆向禁区，辛普森已经卡住身位                   32'第32分钟，辛普森右路摆脱吉格斯后又强突埃弗拉，但最后在禁区右侧的射门偏出近角
33'曼联又来了，瓦伦西亚右路斜传禁区，禁区内一片混战                   32'第32分钟，辛普森右路摆脱吉格斯后又强突埃弗拉，但最后在禁区右侧的射门偏出近角
33'最后还是科洛奇尼先找到球大脚解围                   32'第32分钟，辛普森右路摆脱吉格斯后又强突埃弗拉，但最后在禁区右侧的射门偏出近角
33'比吉里玛纳分边左路桑顿                   32'第32分钟，辛普森右路摆脱吉格斯后又强突埃弗拉，但最后在禁区右侧的射门偏出近角
34'桑顿带球到禁区左犄角，内切晃过了斯莫林后扣射近角，德赫亚跪地将球稳稳抱住                   32'第32分钟，辛普森右路摆脱吉格斯后又强突埃弗拉，但最后在禁区右侧的射门偏出近角
35'埃尔南德斯中路带球强突，自己坐球车了                   32'第32分钟，辛普森右路摆脱吉格斯后又强突埃弗拉，但最后在禁区右侧的射门偏出近角
35'比吉里玛纳挑传前场，埃文斯头球点了一下                   32'第32分钟，辛普森右路摆脱吉格斯后又强突埃弗拉，但最后在禁区右侧的射门偏出近角
35'西塞拿到第二点直接挑球过人，埃文斯用手将球拍了下来                   32'第32分钟，辛普森右路摆脱吉格斯后又强突埃弗拉，但最后在禁区右侧的射门偏出近角
35'埃文斯吃到了一张黄牌！                   32'第32分钟，辛普森右路摆脱吉格斯后又强突埃弗拉，但最后在禁区右侧的射门偏出近角
38'马尔维奥中路带球直插对方禁区，被回追的埃尔南德斯绊了一下摔在禁区内！                   38'第38分钟，埃尔南德斯回防对马尔沃克斯犯规也被黄牌警告，马尔沃克斯25码处任意球直接射门打中横梁
38'不过犯规位置还没有进禁区，只是一个禁区前沿的任意球，马尔维奥准备主罚                   38'第38分钟，埃尔南德斯回防对马尔沃克斯犯规也被黄牌警告，马尔沃克斯25码处任意球直接射门打中横梁
38'埃尔南德斯也吃到一张黄牌警告！                   38'第38分钟，埃尔南德斯回防对马尔沃克斯犯规也被黄牌警告，马尔沃克斯25码处任意球直接射门打中横梁
39'马尔维奥任意球直旋球门，砰的一声，球击中了横梁！                   38'第38分钟，埃尔南德斯回防对马尔沃克斯犯规也被黄牌警告，马尔沃克斯25码处任意球直接射门打中横梁
39'科洛奇尼禁区前停球停大了，吉格斯大脚解围                   38'第38分钟，埃尔南德斯回防对马尔沃克斯犯规也被黄牌警告，马尔沃克斯25码处任意球直接射门打中横梁
40'马尔维奥的任意球功力相当深厚，曼联需要注意，不要轻易给对方任意球                   38'第38分钟，埃尔南德斯回防对马尔沃克斯犯规也被黄牌警告，马尔沃克斯25码处任意球直接射门打中横梁
40'上半场进行了40分钟                   38'第38分钟，埃尔南德斯回防对马尔沃克斯犯规也被黄牌警告，马尔沃克斯25码处任意球直接射门打中横梁
40'斯科尔斯分边右路瓦伦西亚，瓦伦西亚低传禁区被比吉里玛纳倒地拦截                   38'第38分钟，埃尔南德斯回防对马尔沃克斯犯规也被黄牌警告，马尔沃克斯25码处任意球直接射门打中横梁
41'吉格斯左路要球，挑传禁区，埃弗拉头球点回来                   38'第38分钟，埃尔南德斯回防对马尔沃克斯犯规也被黄牌警告，马尔沃克斯25码处任意球直接射门打中横梁
41'埃尔南德斯禁区前沿得球再送右肋部，球给得太深了，瓦伦西亚没有追上球                   38'第38分钟，埃尔南德斯回防对马尔沃克斯犯规也被黄牌警告，马尔沃克斯25码处任意球直接射门打中横梁
49'曼联左路的小组配合，卡里克将球送到左肋部                   49'第49分钟，吉格斯传球，范佩西禁区内左脚射偏
50'斯莫林右路送出一记长传，埃尔南德斯前插稍快，越位了                   49'第49分钟，吉格斯传球，范佩西禁区内左脚射偏
49'吉格斯高速反插上下底传中，范佩西抢点攻门没有打正部位，打偏了                   49'第49分钟，吉格斯传球，范佩西禁区内左脚射偏
50'克鲁尔将球大脚往前送，比吉里玛纳回传后场                   49'第49分钟，吉格斯传球，范佩西禁区内左脚射偏
50'比吉里玛纳再接球斜传禁区被费迪南德断下                   49'第49分钟，吉格斯传球，范佩西禁区内左脚射偏
50'瓦伦西亚右路的突破被佩奇拦截                   49'第49分钟，吉格斯传球，范佩西禁区内左脚射偏
51'桑顿左路套边上来下底传中，费迪南德将球封出                   49'第49分钟，吉格斯传球，范佩西禁区内左脚射偏
51'吉格斯回半后拿球再往前传，埃弗拉跑过了一点                   49'第49分钟，吉格斯传球，范佩西禁区内左脚射偏
52'埃尔南德斯前场是球直传斜插的配合，直传太直了，范佩西没有要到球                   49'第49分钟，吉格斯传球，范佩西禁区内左脚射偏
52'西塞拉边到右路接球，转身下底传中，登巴巴抢前点甩头攻门顶偏了！                   49'第49分钟，吉格斯传球，范佩西禁区内左脚射偏
52'球蹭到了费迪南德的肩膀，角球                   49'第49分钟，吉格斯传球，范佩西禁区内左脚射偏
58'范佩西角球发后点，威廉森抢到第一点头脑解围                   58'曼联第58分钟扳平比分，范佩西右路传中被珀奇勉强解围，埃弗拉20码处劲射直入大门右下死角，2-2
58'埃弗拉帮助球队扳平了比分！                   58'曼联第58分钟扳平比分，范佩西右路传中被珀奇勉强解围，埃弗拉20码处劲射直入大门右下死角，2-2
58'非常重要的进球！                   58'曼联第58分钟扳平比分，范佩西右路传中被珀奇勉强解围，埃弗拉20码处劲射直入大门右下死角，2-2
59'范佩西右路斜吊禁区，佩奇头脑解围不远，禁区前沿埃弗拉拿到第二点调整两下左脚斜射破门！                   58'曼联第58分钟扳平比分，范佩西右路传中被珀奇勉强解围，埃弗拉20码处劲射直入大门右下死角，2-2
59'曼联的气势起来了，瓦伦西亚下底传中打在桑顿身上出了边线                   58'曼联第58分钟扳平比分，范佩西右路传中被珀奇勉强解围，埃弗拉20码处劲射直入大门右下死角，2-2
60'范佩西禁区右侧得球一打三，扣球过人没有成功                   58'曼联第58分钟扳平比分，范佩西右路传中被珀奇勉强解围，埃弗拉20码处劲射直入大门右下死角，2-2
60'这边辛普森飞铲时蹬了埃文斯身体一下                   58'曼联第58分钟扳平比分，范佩西右路传中被珀奇勉强解围，埃弗拉20码处劲射直入大门右下死角，2-2
60'辛普森被黄牌警告！                   58'曼联第58分钟扳平比分，范佩西右路传中被珀奇勉强解围，埃弗拉20码处劲射直入大门右下死角，2-2
61'曼联的气势明显强了不少                   58'曼联第58分钟扳平比分，范佩西右路传中被珀奇勉强解围，埃弗拉20码处劲射直入大门右下死角，2-2
61'确实，上半场落后的曼联反扑能力再次被验证是非常恐怖的！                   58'曼联第58分钟扳平比分，范佩西右路传中被珀奇勉强解围，埃弗拉20码处劲射直入大门右下死角，2-2
61'登巴巴拉到左路接应，护好球造成吉格斯推人犯规                   58'曼联第58分钟扳平比分，范佩西右路传中被珀奇勉强解围，埃弗拉20码处劲射直入大门右下死角，2-2
64'曼联的反击，埃文斯沿左路突破，西塞侧后方连人带球铲飞了                   64'第64分钟，西塞边路铲倒埃弗拉被罚黄牌
64'西塞也吃到黄牌！                   64'第64分钟，西塞边路铲倒埃弗拉被罚黄牌
64'纽卡斯尔率先作出人员调整，25号曼联旧将奥贝坦替下了20号比吉里玛纳                   64'第64分钟，西塞边路铲倒埃弗拉被罚黄牌
65'吉格斯左路下底传中，前点大家都漏了，斯莫林后点打门打在辛普森身上出了底线                   64'第64分钟，西塞边路铲倒埃弗拉被罚黄牌
65'范佩西角球发前点，科洛奇尼头球解围                   64'第64分钟，西塞边路铲倒埃弗拉被罚黄牌
66'范佩西再拿球快速内切，球稍趟大了一点不被科洛奇尼大脚破坏                   64'第64分钟，西塞边路铲倒埃弗拉被罚黄牌
67'纽卡斯尔获得一个前场右路的界外球机会                   64'第64分钟，西塞边路铲倒埃弗拉被罚黄牌
67'辛普森将球掷向前点，登巴巴头球后蹭，但西塞已经陷入对方的包围圈                   64'第64分钟，西塞边路铲倒埃弗拉被罚黄牌
65'吉格斯左路下底传中，前点大家都漏了，斯莫林后点打门打在辛普森身上出了底线                   65'第65分钟，科洛奇尼解围传中，斯马林禁区右侧的射门被桑顿挡出
65'范佩西角球发前点，科洛奇尼头球解围                   65'第65分钟，科洛奇尼解围传中，斯马林禁区右侧的射门被桑顿挡出
66'范佩西再拿球快速内切，球稍趟大了一点不被科洛奇尼大脚破坏                   65'第65分钟，科洛奇尼解围传中，斯马林禁区右侧的射门被桑顿挡出
67'纽卡斯尔获得一个前场右路的界外球机会                   65'第65分钟，科洛奇尼解围传中，斯马林禁区右侧的射门被桑顿挡出
67'辛普森将球掷向前点，登巴巴头球后蹭，但西塞已经陷入对方的包围圈                   65'第65分钟，科洛奇尼解围传中，斯马林禁区右侧的射门被桑顿挡出
68'纽卡斯尔第三次取得领先！                   65'第65分钟，科洛奇尼解围传中，斯马林禁区右侧的射门被桑顿挡出
68'奥贝坦左路前插下底倒三角传中，西塞距离球门10码处无人看防之下大力低射破门！                   65'第65分钟，科洛奇尼解围传中，斯马林禁区右侧的射门被桑顿挡出
71'瓦伦西亚右路传中，范佩西顺势推射被克鲁尔挡出，卡里克禁区内倒地一捅，范佩西再低射球进！                   71'曼联第71分钟三度扳平，瓦伦西亚禁区右侧传中，范佩西禁区边缘的劲射被克鲁尔勉强扑出，卡里克捅传，范佩西12码处劲射破门，3-3
71'双方再次回来同一起跑线                   71'曼联第71分钟三度扳平，瓦伦西亚禁区右侧传中，范佩西禁区边缘的劲射被克鲁尔勉强扑出，卡里克捅传，范佩西12码处劲射破门，3-3
72'奥贝坦右路往里拐再传中，德赫亚将球打出底线                   71'曼联第71分钟三度扳平，瓦伦西亚禁区右侧传中，范佩西禁区边缘的劲射被克鲁尔勉强扑出，卡里克捅传，范佩西12码处劲射破门，3-3
72'这一下处理值得商榷                   71'曼联第71分钟三度扳平，瓦伦西亚禁区右侧传中，范佩西禁区边缘的劲射被克鲁尔勉强扑出，卡里克捅传，范佩西12码处劲射破门，3-3
72'安尼塔角球发到后点，德赫亚将球击出禁区，曼联的反击                   71'曼联第71分钟三度扳平，瓦伦西亚禁区右侧传中，范佩西禁区边缘的劲射被克鲁尔勉强扑出，卡里克捅传，范佩西12码处劲射破门，3-3
73'埃尔南德斯单刀的机会，盘过了克鲁尔却已经没有射门角度，曼联差一点反超比分                   71'曼联第71分钟三度扳平，瓦伦西亚禁区右侧传中，范佩西禁区边缘的劲射被克鲁尔勉强扑出，卡里克捅传，范佩西12码处劲射破门，3-3
74'精彩回放：曼联前场三人配合，范佩西斜传禁区，埃尔南德斯反插上形成单刀，但没有第一时间射门而是盘过了克鲁尔，但已经没有了射门角度，强行打门被科洛奇尼挡出                   71'曼联第71分钟三度扳平，瓦伦西亚禁区右侧传中，范佩西禁区边缘的劲射被克鲁尔勉强扑出，卡里克捅传，范佩西12码处劲射破门，3-3
74'纽卡斯尔也不是没有机会，马尔维奥禁区外远射，德赫亚跪地将球抱进怀里                   71'曼联第71分钟三度扳平，瓦伦西亚禁区右侧传中，范佩西禁区边缘的劲射被克鲁尔勉强扑出，卡里克捅传，范佩西12码处劲射破门，3-3
78'奥贝坦再次左路发难，往里切后旋后点，队友差了一步                   78'第78分钟，埃尔南德斯20码处射门被禁区边缘的科洛奇尼用手封堵，裁判迪恩拒绝判罚极刑再次引发曼联球迷嘘声
79'卡里克过顶球送到禁区内，范佩西球到人到倒地铲射，球贴着立住出了底线                   78'第78分钟，埃尔南德斯20码处射门被禁区边缘的科洛奇尼用手封堵，裁判迪恩拒绝判罚极刑再次引发曼联球迷嘘声
79'另一位阿梅奥比也上场了，小阿梅奥比替下了西塞！                   78'第78分钟，埃尔南德斯20码处射门被禁区边缘的科洛奇尼用手封堵，裁判迪恩拒绝判罚极刑再次引发曼联球迷嘘声
80'曼联又有机会，瓦伦西亚边路传中，埃尔南德斯鱼跃冲顶稍微偏了一丁点！                   78'第78分钟，埃尔南德斯20码处射门被禁区边缘的科洛奇尼用手封堵，裁判迪恩拒绝判罚极刑再次引发曼联球迷嘘声
80'曼联已经越来越接近反超比分                   78'第78分钟，埃尔南德斯20码处射门被禁区边缘的科洛奇尼用手封堵，裁判迪恩拒绝判罚极刑再次引发曼联球迷嘘声
80'在这个后防线备受压力的时候将俩换人名额用在锋线上的做法确实令人不解                   78'第78分钟，埃尔南德斯20码处射门被禁区边缘的科洛奇尼用手封堵，裁判迪恩拒绝判罚极刑再次引发曼联球迷嘘声
79'卡里克过顶球送到禁区内，范佩西球到人到倒地铲射，球贴着立住出了底线                   79'第79分钟，卡里克挑传，范佩西禁区左肋12码处铲射，皮球擦右侧立柱偏出
79'另一位阿梅奥比也上场了，小阿梅奥比替下了西塞！                   79'第79分钟，卡里克挑传，范佩西禁区左肋12码处铲射，皮球擦右侧立柱偏出
80'曼联又有机会，瓦伦西亚边路传中，埃尔南德斯鱼跃冲顶稍微偏了一丁点！                   79'第79分钟，卡里克挑传，范佩西禁区左肋12码处铲射，皮球擦右侧立柱偏出
80'曼联已经越来越接近反超比分                   79'第79分钟，卡里克挑传，范佩西禁区左肋12码处铲射，皮球擦右侧立柱偏出
80'在这个后防线备受压力的时候将俩换人名额用在锋线上的做法确实令人不解                   79'第79分钟，卡里克挑传，范佩西禁区左肋12码处铲射，皮球擦右侧立柱偏出
82'奥贝坦禁区外的打门，德赫亚表现还是很稳定                   79'第79分钟，卡里克挑传，范佩西禁区左肋12码处铲射，皮球擦右侧立柱偏出
82'吉格斯左路外脚背一弹，威廉森先解围                   79'第79分钟，卡里克挑传，范佩西禁区左肋12码处铲射，皮球擦右侧立柱偏出
86'卡里克轻搓禁区左侧，吉格斯卸下球来被威廉森封住了角度                   86'第86分钟，萨米-阿梅奥比禁区边缘内左脚低射打中左侧立柱弹回，德赫亚随即没收
87'吉格斯带球绕出来一下再传向门前，埃尔南德斯飞身抢点近距离头球攻门，球顶得太正了，克鲁尔将球没收                   86'第86分钟，萨米-阿梅奥比禁区边缘内左脚低射打中左侧立柱弹回，德赫亚随即没收
87'奥贝坦左路的下底传中，小阿梅奥比头球吊射，德赫亚也是身材高大，摘下来球                   86'第86分钟，萨米-阿梅奥比禁区边缘内左脚低射打中左侧立柱弹回，德赫亚随即没收
88'双方对攻战非常精彩，吉格斯禁区左侧传后点，范佩西头球攻门稍稍顶偏了                   86'第86分钟，萨米-阿梅奥比禁区边缘内左脚低射打中左侧立柱弹回，德赫亚随即没收
88'卡里克中场长传对方后卫身后，埃尔南德斯快速前窜，但克鲁尔还是先将球没收                   86'第86分钟，萨米-阿梅奥比禁区边缘内左脚低射打中左侧立柱弹回，德赫亚随即没收
89'同城死敌曼城依然0：1落后                   86'第86分钟，萨米-阿梅奥比禁区边缘内左脚低射打中左侧立柱弹回，德赫亚随即没收
89'马上将进入伤停补时阶段                   86'第86分钟，萨米-阿梅奥比禁区边缘内左脚低射打中左侧立柱弹回，德赫亚随即没收
89'埃尔南德斯绝杀！！！！！！！！                   86'第86分钟，萨米-阿梅奥比禁区边缘内左脚低射打中左侧立柱弹回，德赫亚随即没收
89'这是典型的曼联式绝杀！                   86'第86分钟，萨米-阿梅奥比禁区边缘内左脚低射打中左侧立柱弹回，德赫亚随即没收
91'下半场比赛补时3分钟！                   91'曼联第91分钟上演绝杀，卡里克斜传禁区内，无人防守的埃尔南德斯8码处推射破门，4-3
91'埃尔南德斯被换下接受主场球迷的掌声，换下他的是24号弗莱彻                   91'曼联第91分钟上演绝杀，卡里克斜传禁区内，无人防守的埃尔南德斯8码处推射破门，4-3
91'更正一下，需要补时4分钟                   91'曼联第91分钟上演绝杀，卡里克斜传禁区内，无人防守的埃尔南德斯8码处推射破门，4-3
92'曼联在最后时刻的压迫性是相当恐怖的，两轮之前曼城已经吃过苦果                   91'曼联第91分钟上演绝杀，卡里克斜传禁区内，无人防守的埃尔南德斯8码处推射破门，4-3
93'曼城的比赛率先结束，红魔的领先优势已经扩大到7分                   91'曼联第91分钟上演绝杀，卡里克斜传禁区内，无人防守的埃尔南德斯8码处推射破门，4-3
94'看台上红魔的球迷终于露出了满意的笑容                   91'曼联第91分钟上演绝杀，卡里克斜传禁区内，无人防守的埃尔南德斯8码处推射破门，4-3
94'纽卡斯尔的安尼塔受伤倒地不起，所以即使比赛时间已到，但主裁判还没鸣哨完场                   91'曼联第91分钟上演绝杀，卡里克斜传禁区内，无人防守的埃尔南德斯8码处推射破门，4-3
