3'曼城左侧角球！                   3'开场仅3分钟，斯特林角球混战中禁区边缘外抽射稍稍偏出
3'禁区外！斯特林直接一脚抽射！                   3'开场仅3分钟，斯特林角球混战中禁区边缘外抽射稍稍偏出
3'偏了！                   3'开场仅3分钟，斯特林角球混战中禁区边缘外抽射稍稍偏出
3'科拉罗夫传球失误！出界了！                   3'开场仅3分钟，斯特林角球混战中禁区边缘外抽射稍稍偏出
4'兰多夫门球！开出来！                   3'开场仅3分钟，斯特林角球混战中禁区边缘外抽射稍稍偏出
4'安东尼奥弧顶拿到！左侧！直接抽射！                   3'开场仅3分钟，斯特林角球混战中禁区边缘外抽射稍稍偏出
4'被卡巴雷罗没收！                   3'开场仅3分钟，斯特林角球混战中禁区边缘外抽射稍稍偏出
5'曼城后场传导！                   3'开场仅3分钟，斯特林角球混战中禁区边缘外抽射稍稍偏出
5'给右侧斯特林！                   3'开场仅3分钟，斯特林角球混战中禁区边缘外抽射稍稍偏出
5'回给中路斯通斯！向右找图雷！                   3'开场仅3分钟，斯特林角球混战中禁区边缘外抽射稍稍偏出
6'直塞席尔瓦！往前带！                   3'开场仅3分钟，斯特林角球混战中禁区边缘外抽射稍稍偏出
6'被安东尼奥拦截断下来了！                   3'开场仅3分钟，斯特林角球混战中禁区边缘外抽射稍稍偏出
6'科拉罗夫回抢！犯规了！                   3'开场仅3分钟，斯特林角球混战中禁区边缘外抽射稍稍偏出
6'长传到前场！争二点！                   3'开场仅3分钟，斯特林角球混战中禁区边缘外抽射稍稍偏出
17'想右带！给斯特林！                   17'曼城第17分钟取得领先，德布劳内中场拦截后突破直传，热苏斯禁区右侧横传，德布劳内禁区边缘内低射右下角入网
17'再回中路插上的丁丁！                   17'曼城第17分钟取得领先，德布劳内中场拦截后突破直传，热苏斯禁区右侧横传，德布劳内禁区边缘内低射右下角入网
17'禁区中路！直接推射！                   17'曼城第17分钟取得领先，德布劳内中场拦截后突破直传，热苏斯禁区右侧横传，德布劳内禁区边缘内低射右下角入网
17'进了进了进了！！！                   17'曼城第17分钟取得领先，德布劳内中场拦截后突破直传，热苏斯禁区右侧横传，德布劳内禁区边缘内低射右下角入网
18'德布劳内一脚推射打破僵局！                   17'曼城第17分钟取得领先，德布劳内中场拦截后突破直传，热苏斯禁区右侧横传，德布劳内禁区边缘内低射右下角入网
18'比赛继续！                   17'曼城第17分钟取得领先，德布劳内中场拦截后突破直传，热苏斯禁区右侧横传，德布劳内禁区边缘内低射右下角入网
18'奥塔门迪给中路图雷！                   17'曼城第17分钟取得领先，德布劳内中场拦截后突破直传，热苏斯禁区右侧横传，德布劳内禁区边缘内低射右下角入网
18'往右侧转移给德布劳内！                   17'曼城第17分钟取得领先，德布劳内中场拦截后突破直传，热苏斯禁区右侧横传，德布劳内禁区边缘内低射右下角入网
19'继续分边斯特林！往里突！                   17'曼城第17分钟取得领先，德布劳内中场拦截后突破直传，热苏斯禁区右侧横传，德布劳内禁区边缘内低射右下角入网
19'再次被放倒！                   17'曼城第17分钟取得领先，德布劳内中场拦截后突破直传，热苏斯禁区右侧横传，德布劳内禁区边缘内低射右下角入网
19'又是一个定位球机会！                   17'曼城第17分钟取得领先，德布劳内中场拦截后突破直传，热苏斯禁区右侧横传，德布劳内禁区边缘内低射右下角入网
20'席尔瓦冲上来！伦一脚！高了啊！                   17'曼城第17分钟取得领先，德布劳内中场拦截后突破直传，热苏斯禁区右侧横传，德布劳内禁区边缘内低射右下角入网
20'裁判给奥比昂一张黄牌！                   17'曼城第17分钟取得领先，德布劳内中场拦截后突破直传，热苏斯禁区右侧横传，德布劳内禁区边缘内低射右下角入网
21'中场丁丁抢断成功！                   21'曼城第21分钟扩大比分，德布劳内传球，萨内突入禁区左侧传中被兰道夫勉强挡出，席尔瓦小禁区右侧近距离破门，2-0
21'分球左路！反击！                   21'曼城第21分钟扩大比分，德布劳内传球，萨内突入禁区左侧传中被兰道夫勉强挡出，席尔瓦小禁区右侧近距离破门，2-0
21'萨内下底突进去！倒三角！                   21'曼城第21分钟扩大比分，德布劳内传球，萨内突入禁区左侧传中被兰道夫勉强挡出，席尔瓦小禁区右侧近距离破门，2-0
22'禁区内席尔瓦抢点！                   21'曼城第21分钟扩大比分，德布劳内传球，萨内突入禁区左侧传中被兰道夫勉强挡出，席尔瓦小禁区右侧近距离破门，2-0
22'推射！再入一球！！！！！！                   21'曼城第21分钟扩大比分，德布劳内传球，萨内突入禁区左侧传中被兰道夫勉强挡出，席尔瓦小禁区右侧近距离破门，2-0
22'席尔瓦禁区内冷静推射！２－０！                   21'曼城第21分钟扩大比分，德布劳内传球，萨内突入禁区左侧传中被兰道夫勉强挡出，席尔瓦小禁区右侧近距离破门，2-0
22'比赛继续！                   21'曼城第21分钟扩大比分，德布劳内传球，萨内突入禁区左侧传中被兰道夫勉强挡出，席尔瓦小禁区右侧近距离破门，2-0
22'中路拼抢！                   21'曼城第21分钟扩大比分，德布劳内传球，萨内突入禁区左侧传中被兰道夫勉强挡出，席尔瓦小禁区右侧近距离破门，2-0
23'奥塔门迪本方禁区前放倒安东尼奥！                   21'曼城第21分钟扩大比分，德布劳内传球，萨内突入禁区左侧传中被兰道夫勉强挡出，席尔瓦小禁区右侧近距离破门，2-0
24'这也是个位置很好的定位球机会！！                   21'曼城第21分钟扩大比分，德布劳内传球，萨内突入禁区左侧传中被兰道夫勉强挡出，席尔瓦小禁区右侧近距离破门，2-0
24'兰奇尼直接一脚发力！                   21'曼城第21分钟扩大比分，德布劳内传球，萨内突入禁区左侧传中被兰道夫勉强挡出，席尔瓦小禁区右侧近距离破门，2-0
24'打在人墙了啊！                   21'曼城第21分钟扩大比分，德布劳内传球，萨内突入禁区左侧传中被兰道夫勉强挡出，席尔瓦小禁区右侧近距离破门，2-0
24'兰奇尼回追战术犯规！                   21'曼城第21分钟扩大比分，德布劳内传球，萨内突入禁区左侧传中被兰道夫勉强挡出，席尔瓦小禁区右侧近距离破门，2-0
39'给右边路萨尼亚！低平传入禁区！                   39'曼城第39分钟锁定胜局，萨内前场拦截后斜传，斯特林无私横敲，热苏斯小禁区左侧轻松射入近角，3-0
39'德布劳内插上！没踢到啊！！                   39'曼城第39分钟锁定胜局，萨内前场拦截后斜传，斯特林无私横敲，热苏斯小禁区左侧轻松射入近角，3-0
39'还有！再分右路斯特林！                   39'曼城第39分钟锁定胜局，萨内前场拦截后斜传，斯特林无私横敲，热苏斯小禁区左侧轻松射入近角，3-0
40'突进禁区！                   39'曼城第39分钟锁定胜局，萨内前场拦截后斜传，斯特林无私横敲，热苏斯小禁区左侧轻松射入近角，3-0
40'横敲中路！热苏斯一脚推射！                   39'曼城第39分钟锁定胜局，萨内前场拦截后斜传，斯特林无私横敲，热苏斯小禁区左侧轻松射入近角，3-0
40'进了进了进了进了！！！                   39'曼城第39分钟锁定胜局，萨内前场拦截后斜传，斯特林无私横敲，热苏斯小禁区左侧轻松射入近角，3-0
40'这比赛有点要花啊！！                   39'曼城第39分钟锁定胜局，萨内前场拦截后斜传，斯特林无私横敲，热苏斯小禁区左侧轻松射入近角，3-0
41'比赛继续！                   39'曼城第39分钟锁定胜局，萨内前场拦截后斜传，斯特林无私横敲，热苏斯小禁区左侧轻松射入近角，3-0
41'科拉罗夫后场传球给身前图雷！                   39'曼城第39分钟锁定胜局，萨内前场拦截后斜传，斯特林无私横敲，热苏斯小禁区左侧轻松射入近角，3-0
41'一脚转移到右路丁丁！                   39'曼城第39分钟锁定胜局，萨内前场拦截后斜传，斯特林无私横敲，热苏斯小禁区左侧轻松射入近角，3-0
41'萨尼亚插上！突破！                   39'曼城第39分钟锁定胜局，萨内前场拦截后斜传，斯特林无私横敲，热苏斯小禁区左侧轻松射入近角，3-0
42'西汉姆联球员解围出底线！                   39'曼城第39分钟锁定胜局，萨内前场拦截后斜传，斯特林无私横敲，热苏斯小禁区左侧轻松射入近角，3-0
42'右侧角球！                   39'曼城第39分钟锁定胜局，萨内前场拦截后斜传，斯特林无私横敲，热苏斯小禁区左侧轻松射入近角，3-0
42'禁区内被解围出界了！                   39'曼城第39分钟锁定胜局，萨内前场拦截后斜传，斯特林无私横敲，热苏斯小禁区左侧轻松射入近角，3-0
42'中路右侧斯通斯拿球！                   39'曼城第39分钟锁定胜局，萨内前场拦截后斜传，斯特林无私横敲，热苏斯小禁区左侧轻松射入近角，3-0
42'回敲给奥塔门迪！                   39'曼城第39分钟锁定胜局，萨内前场拦截后斜传，斯特林无私横敲，热苏斯小禁区左侧轻松射入近角，3-0
66'被断了！                   66'第66分钟，德布劳内直传禁区右侧，斯特林被丰特放倒，亚亚-图雷主罚点球低射左下角命中，4-0
66'德布劳内中场拿回来！                   66'第66分钟，德布劳内直传禁区右侧，斯特林被丰特放倒，亚亚-图雷主罚点球低射左下角命中，4-0
66'长传前场！找到斯特林！                   66'第66分钟，德布劳内直传禁区右侧，斯特林被丰特放倒，亚亚-图雷主罚点球低射左下角命中，4-0
67'进禁区！调整一下！                   66'第66分钟，德布劳内直传禁区右侧，斯特林被丰特放倒，亚亚-图雷主罚点球低射左下角命中，4-0
67'被回放的拜纳姆放倒！点球！！！！！                   66'第66分钟，德布劳内直传禁区右侧，斯特林被丰特放倒，亚亚-图雷主罚点球低射左下角命中，4-0
67'图雷主罚！助跑！                   66'第66分钟，德布劳内直传禁区右侧，斯特林被丰特放倒，亚亚-图雷主罚点球低射左下角命中，4-0
67'射门！！！进了！！！！                   66'第66分钟，德布劳内直传禁区右侧，斯特林被丰特放倒，亚亚-图雷主罚点球低射左下角命中，4-0
67'比赛彻底失去了悬念啊！                   66'第66分钟，德布劳内直传禁区右侧，斯特林被丰特放倒，亚亚-图雷主罚点球低射左下角命中，4-0
68'图雷点球左下角角度刁钻啊！！                   66'第66分钟，德布劳内直传禁区右侧，斯特林被丰特放倒，亚亚-图雷主罚点球低射左下角命中，4-0
68'比赛继续！                   66'第66分钟，德布劳内直传禁区右侧，斯特林被丰特放倒，亚亚-图雷主罚点球低射左下角命中，4-0
69'曼城调整！费尔南迪尼奥换下德布劳内！                   66'第66分钟，德布劳内直传禁区右侧，斯特林被丰特放倒，亚亚-图雷主罚点球低射左下角命中，4-0
69'曼城回给卡巴雷罗！                   66'第66分钟，德布劳内直传禁区右侧，斯特林被丰特放倒，亚亚-图雷主罚点球低射左下角命中，4-0
69'长传给前场！热苏斯拿到！                   66'第66分钟，德布劳内直传禁区右侧，斯特林被丰特放倒，亚亚-图雷主罚点球低射左下角命中，4-0
