1'巴里恩托斯为卡塔尼亚赢得一个任意球.                   1'赛前默哀1分钟，悼念25日在阿富汗遇袭受伤身亡的意大利士兵基耶罗蒂
1'尤文图斯球员博格巴拼抢犯规,对手获得控球权.                   1'赛前默哀1分钟，悼念25日在阿富汗遇袭受伤身亡的意大利士兵基耶罗蒂
1'巴尔扎利为尤文图斯赢得一个任意球.                   1'赛前默哀1分钟，悼念25日在阿富汗遇袭受伤身亡的意大利士兵基耶罗蒂
1'卡塔尼亚球员博格西奥拼抢犯规,对手获得控球权.                   1'赛前默哀1分钟，悼念25日在阿富汗遇袭受伤身亡的意大利士兵基耶罗蒂
2'尤文图斯球员本特纳大禁区左侧右脚射门,被防守球员封堵.给他传球的是皮尔洛.                   1'赛前默哀1分钟，悼念25日在阿富汗遇袭受伤身亡的意大利士兵基耶罗蒂
3'卡塔尼亚球员巴里恩托斯拼抢犯规,对手获得控球权.                   1'赛前默哀1分钟，悼念25日在阿富汗遇袭受伤身亡的意大利士兵基耶罗蒂
3'博格巴为尤文图斯在对方半场,赢得一个任意球.                   1'赛前默哀1分钟，悼念25日在阿富汗遇袭受伤身亡的意大利士兵基耶罗蒂
3'射门!!!尤文图斯球员比达尔大禁区外右脚射门,被对方守门员横身扑出.给他传球的是皮尔洛.                   1'赛前默哀1分钟，悼念25日在阿富汗遇袭受伤身亡的意大利士兵基耶罗蒂
4'巴里恩托斯为卡塔尼亚在对方半场,赢得一个任意球.                   1'赛前默哀1分钟，悼念25日在阿富汗遇袭受伤身亡的意大利士兵基耶罗蒂
4'尤文图斯球员博格巴拼抢犯规,对手获得控球权.                   1'赛前默哀1分钟，悼念25日在阿富汗遇袭受伤身亡的意大利士兵基耶罗蒂
9'卡塔尼亚球员A-戈麦斯拼抢犯规,对手获得控球权.                   7'第7分钟，比达尔直传马尔凯塞身后，利希斯泰纳禁区右侧低传，安杜哈尔抢在本特纳前面将球没收
9'基耶利尼为尤文图斯赢得一个任意球.                   7'第7分钟，比达尔直传马尔凯塞身后，利希斯泰纳禁区右侧低传，安杜哈尔抢在本特纳前面将球没收
19'卡塔尼亚球员罗林手球犯规,对手获得球权.                   19'第19分钟，罗林手臂阻挡比达尔挑球，被黄牌警告
19'黄牌！卡塔尼亚球员罗林因为故意手球,被主裁判出示黄牌.                   19'第19分钟，罗林手臂阻挡比达尔挑球，被黄牌警告
20'伊兹科为卡塔尼亚赢得一个任意球.                   19'第19分钟，罗林手臂阻挡比达尔挑球，被黄牌警告
20'尤文图斯球员阿萨莫阿拼抢犯规,对手获得控球权.                   19'第19分钟，罗林手臂阻挡比达尔挑球，被黄牌警告
21'卡塔尼亚球员洛迪大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   19'第19分钟，罗林手臂阻挡比达尔挑球，被黄牌警告
21'射门!!!尤文图斯球员本特纳大禁区右侧头球,被对方守门员横身扑出.给他传球的是阿萨莫阿.                   19'第19分钟，罗林手臂阻挡比达尔挑球，被黄牌警告
22'卡塔尼亚球员博格西奥拼抢犯规,对手获得控球权.                   19'第19分钟，罗林手臂阻挡比达尔挑球，被黄牌警告
22'皮尔洛为尤文图斯赢得一个任意球.                   19'第19分钟，罗林手臂阻挡比达尔挑球，被黄牌警告
25'卡塔尼亚球员洛迪大禁区外左脚射门,被防守球员封堵.                   24'第24分钟，博格巴放倒伊斯科，被黄牌警告，洛迪右侧距门28米处左脚任意球被比达尔挡出近门柱
25'比达尔将球处理出底线,卡塔尼亚获得角球.                   24'第24分钟，博格巴放倒伊斯科，被黄牌警告，洛迪右侧距门28米处左脚任意球被比达尔挡出近门柱
25'卡塔尼亚球员斯波利一脚直塞球给博格西奥,但是边裁举旗显示后者已经越位.                   24'第24分钟，博格巴放倒伊斯科，被黄牌警告，洛迪右侧距门28米处左脚任意球被比达尔挡出近门柱
35'卡塔尼亚球员马切塞拼抢犯规,对手获得控球权.                   35'第35分钟，马尔凯塞冲撞利希施泰纳，也被出示黄牌，皮尔洛右侧开出任意球，本特纳后点距门6米处冲顶高出，不过已越位在先
35'利西斯泰纳为尤文图斯在右路,赢得一个任意球.                   35'第35分钟，马尔凯塞冲撞利希施泰纳，也被出示黄牌，皮尔洛右侧开出任意球，本特纳后点距门6米处冲顶高出，不过已越位在先
35'黄牌！卡塔尼亚球员马切塞因为恶意犯规,被主裁判出示黄牌.                   35'第35分钟，马尔凯塞冲撞利希施泰纳，也被出示黄牌，皮尔洛右侧开出任意球，本特纳后点距门6米处冲顶高出，不过已越位在先
36'尤文图斯球员皮尔洛一脚直塞球给博格巴,但是边裁举旗显示后者已经越位.                   35'第35分钟，马尔凯塞冲撞利希施泰纳，也被出示黄牌，皮尔洛右侧开出任意球，本特纳后点距门6米处冲顶高出，不过已越位在先
37'卡塔尼亚球员洛迪大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是A-戈麦斯.                   35'第35分钟，马尔凯塞冲撞利希施泰纳，也被出示黄牌，皮尔洛右侧开出任意球，本特纳后点距门6米处冲顶高出，不过已越位在先
38'尤文图斯球员博格巴大禁区外尝试右脚射门,可惜皮球稍稍高出球门.给他传球的是皮尔洛.                   35'第35分钟，马尔凯塞冲撞利希施泰纳，也被出示黄牌，皮尔洛右侧开出任意球，本特纳后点距门6米处冲顶高出，不过已越位在先
38'卡塔尼亚球员莱格罗塔列手球犯规,对手获得球权.                   35'第35分钟，马尔凯塞冲撞利希施泰纳，也被出示黄牌，皮尔洛右侧开出任意球，本特纳后点距门6米处冲顶高出，不过已越位在先
38'黄牌！卡塔尼亚球员莱格罗塔列因为故意手球,被主裁判出示黄牌.                   35'第35分钟，马尔凯塞冲撞利希施泰纳，也被出示黄牌，皮尔洛右侧开出任意球，本特纳后点距门6米处冲顶高出，不过已越位在先
41'射门!!!尤文图斯球员武齐尼奇小禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是本特纳.                   41'第41分钟，利希施泰纳右路斜传，本特纳禁区中央头球摆渡，武齐尼奇右侧小角度凌空推射被安杜哈尔封出
42'伊兹科为卡塔尼亚赢得一个任意球.                   41'第41分钟，利希施泰纳右路斜传，本特纳禁区中央头球摆渡，武齐尼奇右侧小角度凌空推射被安杜哈尔封出
42'尤文图斯球员阿萨莫阿拼抢犯规,对手获得控球权.                   41'第41分钟，利希施泰纳右路斜传，本特纳禁区中央头球摆渡，武齐尼奇右侧小角度凌空推射被安杜哈尔封出
42'射门!!!尤文图斯球员皮尔洛大禁区外左脚射门,被对方守门员横身扑出.给他传球的是阿萨莫阿.                   41'第41分钟，利希施泰纳右路斜传，本特纳禁区中央头球摆渡，武齐尼奇右侧小角度凌空推射被安杜哈尔封出
44'卡塔尼亚球员阿尔米隆拼抢犯规,对手获得控球权.                   41'第41分钟，利希施泰纳右路斜传，本特纳禁区中央头球摆渡，武齐尼奇右侧小角度凌空推射被安杜哈尔封出
44'博格巴为尤文图斯在对方半场,赢得一个任意球.                   41'第41分钟，利希施泰纳右路斜传，本特纳禁区中央头球摆渡，武齐尼奇右侧小角度凌空推射被安杜哈尔封出
45'尤文图斯球员皮尔洛大禁区外尝试右脚射门,可惜皮球高出球门.                   45'第45分钟，皮尔洛在门前25米处任意球高出
45'博格西奥为卡塔尼亚在对方半场,赢得一个任意球.                   45'第45分钟，皮尔洛在门前25米处任意球高出
45'尤文图斯球员博格巴拼抢犯规,对手获得控球权.                   45'第45分钟，皮尔洛在门前25米处任意球高出
45'+1'上半场结束,卡塔尼亚 0-0 尤文图斯,稍事休息,我们一会来看看下半场两队的表现.                   45'第45分钟，皮尔洛在门前25米处任意球高出
47'尤文图斯球员阿萨莫阿一脚直塞球给本特纳,但是边裁举旗显示后者已经越位.                   45'第45分钟，皮尔洛在门前25米处任意球高出
47'尤文图斯球员比达尔一脚直塞球给本特纳,但是边裁举旗显示后者已经越位.                   45'第45分钟，皮尔洛在门前25米处任意球高出
48'A-戈麦斯为卡塔尼亚在左路,赢得一个任意球.                   45'第45分钟，皮尔洛在门前25米处任意球高出
48'尤文图斯球员巴尔扎利拼抢犯规,对手获得控球权.                   45'第45分钟，皮尔洛在门前25米处任意球高出
57'射门!!!尤文图斯球员本特纳大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是武齐尼奇.                   57'下半时开始12分钟，尤文取得领先
57'进球啦！！！尤文图斯球员比达尔小禁区右侧右脚射门,球从中路飞进球门,球进了! 卡塔尼亚 0-1 尤文图斯.                   57'下半时开始12分钟，尤文取得领先
58'卡塔尼亚球员马切塞大禁区左侧尝试左脚射门,可惜皮球偏出球门.                   57'下半时开始12分钟，尤文取得领先
58'卡塔尼亚球员马切塞大禁区左侧尝试左脚射门,可惜皮球偏出球门.                   58'第58分钟，戈麦斯禁区左侧传中击中利希施泰纳护住身体的左肘，格尔瓦索尼示意不是手球
61'卡塔尼亚球员阿尔米隆大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是A-戈麦斯.                   58'第58分钟，戈麦斯禁区左侧传中击中利希施泰纳护住身体的左肘，格尔瓦索尼示意不是手球
67'卡塔尼亚球员马切塞手球犯规,对手获得球权.                   67'卡塔尼亚第67分钟再遭打击，马尔凯塞抢在武齐尼奇前面故意左臂挡球，累计2张黄牌被罚下
67'卡塔尼亚球员马切塞因为故意手球,被裁判出示了第二张黄牌.                   67'卡塔尼亚第67分钟再遭打击，马尔凯塞抢在武齐尼奇前面故意左臂挡球，累计2张黄牌被罚下
68'射门!!!尤文图斯球员博格巴大禁区左侧头球,被对方守门员横身扑出.给他传球的是皮尔洛.                   67'卡塔尼亚第67分钟再遭打击，马尔凯塞抢在武齐尼奇前面故意左臂挡球，累计2张黄牌被罚下
68'安杜哈尔将球处理出底线,尤文图斯获得角球.                   67'卡塔尼亚第67分钟再遭打击，马尔凯塞抢在武齐尼奇前面故意左臂挡球，累计2张黄牌被罚下
68'罗林为卡塔尼亚赢得一个任意球.                   67'卡塔尼亚第67分钟再遭打击，马尔凯塞抢在武齐尼奇前面故意左臂挡球，累计2张黄牌被罚下
68'尤文图斯球员比达尔拼抢犯规,对手获得控球权.                   67'卡塔尼亚第67分钟再遭打击，马尔凯塞抢在武齐尼奇前面故意左臂挡球，累计2张黄牌被罚下
69'黄牌！尤文图斯球员比达尔因为恶意犯规,被主裁判出示黄牌.                   67'卡塔尼亚第67分钟再遭打击，马尔凯塞抢在武齐尼奇前面故意左臂挡球，累计2张黄牌被罚下
69'卡塔尼亚换人,卡斯特罗换下巴里恩托斯                   67'卡塔尼亚第67分钟再遭打击，马尔凯塞抢在武齐尼奇前面故意左臂挡球，累计2张黄牌被罚下
70'卡塔尼亚球员A-戈麦斯大禁区中央左脚射门,被防守球员封堵.给他传球的是卡斯特罗.                   67'卡塔尼亚第67分钟再遭打击，马尔凯塞抢在武齐尼奇前面故意左臂挡球，累计2张黄牌被罚下
74'尤文图斯球员博努奇大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是比达尔.                   74'第74分钟，博努奇35米开外吊门高出
77'罗林将球处理出底线,尤文图斯获得角球.                   74'第74分钟，博努奇35米开外吊门高出
80'射门!!!尤文图斯球员乔文科大禁区外右脚射门,被对方守门员横身扑出.给他传球的是皮尔洛.                   80'第80分钟，乔文科左路内切抽射被安杜哈尔封出远门柱
80'安杜哈尔将球处理出底线,尤文图斯获得角球.                   80'第80分钟，乔文科左路内切抽射被安杜哈尔封出远门柱
80'尤文图斯球员皮尔洛一脚直塞球给博格巴,但是边裁举旗显示后者已经越位.                   80'第80分钟，乔文科左路内切抽射被安杜哈尔封出远门柱
81'博格西奥为卡塔尼亚在右路,赢得一个任意球.                   80'第80分钟，乔文科左路内切抽射被安杜哈尔封出远门柱
81'尤文图斯球员基耶利尼拼抢犯规,对手获得控球权.                   80'第80分钟，乔文科左路内切抽射被安杜哈尔封出远门柱
81'卡塔尼亚换人,森本贵幸换下A-戈麦斯                   80'第80分钟，乔文科左路内切抽射被安杜哈尔封出远门柱
82'利西斯泰纳将球处理出底线,卡塔尼亚获得角球.                   80'第80分钟，乔文科左路内切抽射被安杜哈尔封出远门柱
82'卡塔尼亚球员森本贵幸手球犯规,对手获得球权.                   80'第80分钟，乔文科左路内切抽射被安杜哈尔封出远门柱
47'尤文图斯球员阿萨莫阿一脚直塞球给本特纳,但是边裁举旗显示后者已经越位.                   46'补时第1分钟，乔文科连续变线过掉两人距门11米处左脚打飞
47'尤文图斯球员比达尔一脚直塞球给本特纳,但是边裁举旗显示后者已经越位.                   46'补时第1分钟，乔文科连续变线过掉两人距门11米处左脚打飞
48'A-戈麦斯为卡塔尼亚在左路,赢得一个任意球.                   46'补时第1分钟，乔文科连续变线过掉两人距门11米处左脚打飞
