3'巴萨获得了一个边路定位球                   3'第3分钟，法布雷加斯传球，梅西禁区前射门偏出
3'哈维将球传入禁区，对方后卫抢先头球破坏                   3'第3分钟，法布雷加斯传球，梅西禁区前射门偏出
3'我是一个好人nmm02:47 来自英超的裁判可能对巴萨不利 英超的裁判判罚可能会松一些 一般的犯规不会判罚---这可难说                   3'第3分钟，法布雷加斯传球，梅西禁区前射门偏出
4'梅西~得到皮球~趟了两步起脚远射！打飞了                   3'第3分钟，法布雷加斯传球，梅西禁区前射门偏出
4'马竞推进到了巴萨的禁区附近                   3'第3分钟，法布雷加斯传球，梅西禁区前射门偏出
4'加西亚接到队友抛出的边线球                   3'第3分钟，法布雷加斯传球，梅西禁区前射门偏出
5'禁区外转身左脚抽射~~~                   3'第3分钟，法布雷加斯传球，梅西禁区前射门偏出
5'球稍稍高出了横梁                   3'第3分钟，法布雷加斯传球，梅西禁区前射门偏出
5'巴萨目前最不稳的就是后防线                   3'第3分钟，法布雷加斯传球，梅西禁区前射门偏出
5'主力中卫和门将都缺阵                   3'第3分钟，法布雷加斯传球，梅西禁区前射门偏出
5'横梁~~~挽救了巴萨                   3'第3分钟，法布雷加斯传球，梅西禁区前射门偏出
5'还是没守住~~~                   3'第3分钟，法布雷加斯传球，梅西禁区前射门偏出
6'科克~~~                   3'第3分钟，法布雷加斯传球，梅西禁区前射门偏出
6'Gooooooooooooooooooal~~~~~                   3'第3分钟，法布雷加斯传球，梅西禁区前射门偏出
5'禁区外转身左脚抽射~~~                   5'马竞第5分钟取得领先，劳尔-加西亚直传，阿德里安禁区右肋10码处抽射打中近角立柱弹回
5'球稍稍高出了横梁                   5'马竞第5分钟取得领先，劳尔-加西亚直传，阿德里安禁区右肋10码处抽射打中近角立柱弹回
5'巴萨目前最不稳的就是后防线                   5'马竞第5分钟取得领先，劳尔-加西亚直传，阿德里安禁区右肋10码处抽射打中近角立柱弹回
5'主力中卫和门将都缺阵                   5'马竞第5分钟取得领先，劳尔-加西亚直传，阿德里安禁区右肋10码处抽射打中近角立柱弹回
5'横梁~~~挽救了巴萨                   5'马竞第5分钟取得领先，劳尔-加西亚直传，阿德里安禁区右肋10码处抽射打中近角立柱弹回
5'还是没守住~~~                   5'马竞第5分钟取得领先，劳尔-加西亚直传，阿德里安禁区右肋10码处抽射打中近角立柱弹回
6'科克~~~                   5'马竞第5分钟取得领先，劳尔-加西亚直传，阿德里安禁区右肋10码处抽射打中近角立柱弹回
