1'上半场比赛开始了，先由阿森纳开球                   1'阿森纳第1分钟逐渐控制比赛并连续利用角球施压
1'阿森纳开球后把球踢回到后卫线控制                   1'阿森纳第1分钟逐渐控制比赛并连续利用角球施压
1'萨格勒布迪纳摩也是把自己防守阵型站好！                   1'阿森纳第1分钟逐渐控制比赛并连续利用角球施压
2'阿森纳在右边路一记过顶长传，张伯伦前插到底线，对方一个铲抢把球铲出边线                   1'阿森纳第1分钟逐渐控制比赛并连续利用角球施压
2'阿森纳把球踢回到中场重新组织                   1'阿森纳第1分钟逐渐控制比赛并连续利用角球施压
2'阿森纳还是在右边路寻找机会                   1'阿森纳第1分钟逐渐控制比赛并连续利用角球施压
2'德布希边路控球时把球趟出了边线                   1'阿森纳第1分钟逐渐控制比赛并连续利用角球施压
2'对方防守逼得很紧啊！                   1'阿森纳第1分钟逐渐控制比赛并连续利用角球施压
3'萨格勒布前场传递失误，球传丢了                   1'阿森纳第1分钟逐渐控制比赛并连续利用角球施压
3'科斯切尔尼在后场长传打到前场左路                   1'阿森纳第1分钟逐渐控制比赛并连续利用角球施压
3'吉布斯控球，试图往底线走，球被对方2名后卫夹击断走了                   1'阿森纳第1分钟逐渐控制比赛并连续利用角球施压
4'萨格勒布的进攻现在失误太多，显得配合太简单了                   1'阿森纳第1分钟逐渐控制比赛并连续利用角球施压
4'萨格勒布的进攻一到前场就传递失误                   1'阿森纳第1分钟逐渐控制比赛并连续利用角球施压
18'萨格勒布在右边路快速突破，边路配合又出现了传球失误                   18'第18分钟，张伯伦禁区右侧传中，吉鲁10码处抢点令皮球击中右侧立柱弹回，法国中锋近距离补射又被爱德华多用腿挡出
18'厄齐尔在左边路拿球，背身拿球又被对手放倒！犯规                   18'第18分钟，张伯伦禁区右侧传中，吉鲁10码处抢点令皮球击中右侧立柱弹回，法国中锋近距离补射又被爱德华多用腿挡出
19'阿森纳快速反击，右边路过顶长传给张伯伦，快速突破到底线传中！！吉鲁第一下射门，打疵了，但球反弹后打在立柱上弹回！吉鲁补射又被门将用脚挡出！角球                   18'第18分钟，张伯伦禁区右侧传中，吉鲁10码处抢点令皮球击中右侧立柱弹回，法国中锋近距离补射又被爱德华多用腿挡出
19'角球传到门前，没有太大威胁！                   18'第18分钟，张伯伦禁区右侧传中，吉鲁10码处抢点令皮球击中右侧立柱弹回，法国中锋近距离补射又被爱德华多用腿挡出
