4'楚克乌泽右侧内切！                   2'开场仅2分钟，弗尔纳斯传球，楚克乌泽突入禁区右侧低射近角被扑出
4'直塞禁区左侧！                   2'开场仅2分钟，弗尔纳斯传球，楚克乌泽突入禁区右侧低射近角被扑出
4'卡索拉直接推射！                   2'开场仅2分钟，弗尔纳斯传球，楚克乌泽突入禁区右侧低射近角被扑出
4'球进了！！                   2'开场仅2分钟，弗尔纳斯传球，楚克乌泽突入禁区右侧低射近角被扑出
4'天若有情天亦老！看见裤袜来一脚！                   2'开场仅2分钟，弗尔纳斯传球，楚克乌泽突入禁区右侧低射近角被扑出
7'卡瓦哈尔直塞右侧底线巴斯克斯！                   7'皇马第7分钟扳平，摩德里奇和卡瓦哈尔连续传球，卢卡斯切入禁区右侧传中，本泽马小禁区前头球破门，1-1
7'传中到禁区中路！                   7'皇马第7分钟扳平，摩德里奇和卡瓦哈尔连续传球，卢卡斯切入禁区右侧传中，本泽马小禁区前头球破门，1-1
7'本泽马抢点头球攻门！！                   7'皇马第7分钟扳平，摩德里奇和卡瓦哈尔连续传球，卢卡斯切入禁区右侧传中，本泽马小禁区前头球破门，1-1
7'球打入左下角！！                   7'皇马第7分钟扳平，摩德里奇和卡瓦哈尔连续传球，卢卡斯切入禁区右侧传中，本泽马小禁区前头球破门，1-1
7'GOOOOOOOOOOOAL！                   7'皇马第7分钟扳平，摩德里奇和卡瓦哈尔连续传球，卢卡斯切入禁区右侧传中，本泽马小禁区前头球破门，1-1
7'皇马闪电扳平比分！                   7'皇马第7分钟扳平，摩德里奇和卡瓦哈尔连续传球，卢卡斯切入禁区右侧传中，本泽马小禁区前头球破门，1-1
20'克罗斯传中到禁区左侧！                   20'皇马第20分钟反超比分，克罗斯右路任意球传中远点，瓦拉内小禁区前力压卡塞雷斯头球反弹球入远角，2-1
20'瓦拉内头球攻门！                   20'皇马第20分钟反超比分，克罗斯右路任意球传中远点，瓦拉内小禁区前力压卡塞雷斯头球反弹球入远角，2-1
20'弹地！！                   20'皇马第20分钟反超比分，克罗斯右路任意球传中远点，瓦拉内小禁区前力压卡塞雷斯头球反弹球入远角，2-1
