2'王长杰给王永珀                   2'开场2分钟，帕托任意球传中，权敬源凌空射门高出横梁
2'横敲中路                   2'开场2分钟，帕托任意球传中，权敬源凌空射门高出横梁
2'郑达伦被推到了                   2'开场2分钟，帕托任意球传中，权敬源凌空射门高出横梁
2'冯卓毅犯规                   2'开场2分钟，帕托任意球传中，权敬源凌空射门高出横梁
2'中场右侧权健任意球                   2'开场2分钟，帕托任意球传中，权敬源凌空射门高出横梁
3'一脚传中                   2'开场2分钟，帕托任意球传中，权敬源凌空射门高出横梁
3'权敬源跟上，打高了                   2'开场2分钟，帕托任意球传中，权敬源凌空射门高出横梁
3'后场门球                   2'开场2分钟，帕托任意球传中，权敬源凌空射门高出横梁
3'吴龚开出                   2'开场2分钟，帕托任意球传中，权敬源凌空射门高出横梁
3'中前场逼抢                   2'开场2分钟，帕托任意球传中，权敬源凌空射门高出横梁
4'王永珀抢断                   2'开场2分钟，帕托任意球传中，权敬源凌空射门高出横梁
4'王永珀被推到，犯规了                   2'开场2分钟，帕托任意球传中，权敬源凌空射门高出横梁
4'权健任意球                   2'开场2分钟，帕托任意球传中，权敬源凌空射门高出横梁
4'给到赵旭日脚下                   2'开场2分钟，帕托任意球传中，权敬源凌空射门高出横梁
4'赵旭日被逼抢后回传                   2'开场2分钟，帕托任意球传中，权敬源凌空射门高出横梁
5'莫德斯特接球凌空抽射                   2'开场2分钟，帕托任意球传中，权敬源凌空射门高出横梁
5'高出横梁                   2'开场2分钟，帕托任意球传中，权敬源凌空射门高出横梁
5'权健右侧角球                   2'开场2分钟，帕托任意球传中，权敬源凌空射门高出横梁
5'小禁区前沿莫德斯特头球                   2'开场2分钟，帕托任意球传中，权敬源凌空射门高出横梁
16'中圈附近赵旭日得球                   16'第16分钟，吴伟在禁区内拉倒王飞，但主裁判并未判罚，巴索戈得球回做，王飞弧线球传中，里卡多头球被张鹭没收
16'伊沃成功抢断                   16'第16分钟，吴伟在禁区内拉倒王飞，但主裁判并未判罚，巴索戈得球回做，王飞弧线球传中，里卡多头球被张鹭没收
16'推进中被郑达伦推倒                   16'第16分钟，吴伟在禁区内拉倒王飞，但主裁判并未判罚，巴索戈得球回做，王飞弧线球传中，里卡多头球被张鹭没收
16'建业任意球罚出                   16'第16分钟，吴伟在禁区内拉倒王飞，但主裁判并未判罚，巴索戈得球回做，王飞弧线球传中，里卡多头球被张鹭没收
17'巴索戈 回传冯卓毅                   16'第16分钟，吴伟在禁区内拉倒王飞，但主裁判并未判罚，巴索戈得球回做，王飞弧线球传中，里卡多头球被张鹭没收
17'肋部起高球，伊沃跃起头球，                   16'第16分钟，吴伟在禁区内拉倒王飞，但主裁判并未判罚，巴索戈得球回做，王飞弧线球传中，里卡多头球被张鹭没收
17'球被门将紧紧抱住                   16'第16分钟，吴伟在禁区内拉倒王飞，但主裁判并未判罚，巴索戈得球回做，王飞弧线球传中，里卡多头球被张鹭没收
18'张鹭大脚开出                   16'第16分钟，吴伟在禁区内拉倒王飞，但主裁判并未判罚，巴索戈得球回做，王飞弧线球传中，里卡多头球被张鹭没收
18'球被权健队员得到                   16'第16分钟，吴伟在禁区内拉倒王飞，但主裁判并未判罚，巴索戈得球回做，王飞弧线球传中，里卡多头球被张鹭没收
18'储今朝倒在草坪上                   16'第16分钟，吴伟在禁区内拉倒王飞，但主裁判并未判罚，巴索戈得球回做，王飞弧线球传中，里卡多头球被张鹭没收
18'比赛暂时暂停                   16'第16分钟，吴伟在禁区内拉倒王飞，但主裁判并未判罚，巴索戈得球回做，王飞弧线球传中，里卡多头球被张鹭没收
18'有一点伤病                   16'第16分钟，吴伟在禁区内拉倒王飞，但主裁判并未判罚，巴索戈得球回做，王飞弧线球传中，里卡多头球被张鹭没收
18'比赛继续                   16'第16分钟，吴伟在禁区内拉倒王飞，但主裁判并未判罚，巴索戈得球回做，王飞弧线球传中，里卡多头球被张鹭没收
19'后场天津权健球权                   16'第16分钟，吴伟在禁区内拉倒王飞，但主裁判并未判罚，巴索戈得球回做，王飞弧线球传中，里卡多头球被张鹭没收
19'长传转移右路                   16'第16分钟，吴伟在禁区内拉倒王飞，但主裁判并未判罚，巴索戈得球回做，王飞弧线球传中，里卡多头球被张鹭没收
19'储今朝得球                   16'第16分钟，吴伟在禁区内拉倒王飞，但主裁判并未判罚，巴索戈得球回做，王飞弧线球传中，里卡多头球被张鹭没收
