1'比赛开始了，曼城率先开球                   1'曼城第1分钟控制比赛
1'曼城从左侧向右侧进攻，维拉反之                   1'曼城第1分钟控制比赛
1'纳瓦斯右路回给奥塔门迪，在转给左侧                   1'曼城第1分钟控制比赛
1'克里希交给席尔瓦，给到费尔南迪尼奥                   1'曼城第1分钟控制比赛
2'克里希助攻到前场，面对维拉铁桶阵，在回给后面                   1'曼城第1分钟控制比赛
2'继续转移，很耐心，右路萨尼亚上来                   1'曼城第1分钟控制比赛
2'往前交博尼，停球出了边线                   1'曼城第1分钟控制比赛
2'费尔南迪尼奥中场组织，给右路萨尼亚                   1'曼城第1分钟控制比赛
2'在给身前纳瓦斯，小跑车冲起来                   1'曼城第1分钟控制比赛
2'内切连续突破被断                   1'曼城第1分钟控制比赛
3'曼城牢牢控制场面，维拉全线退守在自己半场                   1'曼城第1分钟控制比赛
3'萨尼亚一个长传，莱斯科特把球挡出边线                   1'曼城第1分钟控制比赛
3'阿圭罗拿球，给到右路纳瓦斯，在回给孔帕尼                   1'曼城第1分钟控制比赛
3'阿尤和阿邦拉霍两匹快马在前面骚扰着曼城                   1'曼城第1分钟控制比赛
4'阿尤中场得球反击                   1'曼城第1分钟控制比赛
4'速度要起来，经验老辣的孔帕尼迅速犯规                   1'曼城第1分钟控制比赛
4'主裁梅森上来口头警告一下                   1'曼城第1分钟控制比赛
11'席尔瓦几乎丢球，但维拉自己失误把球弄到阿圭罗脚下                   11'曼城第11分钟险些破门，阿圭罗凌空停球后假动作晃过西索科，小禁区右上角上左脚射门，古赞神勇扑挡后令皮球稍稍高出横梁
11'阿圭罗突入禁区，被莱斯科特铲翻在地                   11'曼城第11分钟险些破门，阿圭罗凌空停球后假动作晃过西索科，小禁区右上角上左脚射门，古赞神勇扑挡后令皮球稍稍高出横梁
11'裁判怎么吹，没有点球，给了角球                   11'曼城第11分钟险些破门，阿圭罗凌空停球后假动作晃过西索科，小禁区右上角上左脚射门，古赞神勇扑挡后令皮球稍稍高出横梁
11'席尔瓦开入禁区，前点维拉解围出来                   11'曼城第11分钟险些破门，阿圭罗凌空停球后假动作晃过西索科，小禁区右上角上左脚射门，古赞神勇扑挡后令皮球稍稍高出横梁
11'左侧在吊向禁区，后点阿圭罗被漏了个干净                   11'曼城第11分钟险些破门，阿圭罗凌空停球后假动作晃过西索科，小禁区右上角上左脚射门，古赞神勇扑挡后令皮球稍稍高出横梁
12'造越位失误，莱斯科特拖在后面                   11'曼城第11分钟险些破门，阿圭罗凌空停球后假动作晃过西索科，小禁区右上角上左脚射门，古赞神勇扑挡后令皮球稍稍高出横梁
12'阿圭罗得球冷静一扣，近距离施射，古赞反应神速单掌把球托出横梁                   11'曼城第11分钟险些破门，阿圭罗凌空停球后假动作晃过西索科，小禁区右上角上左脚射门，古赞神勇扑挡后令皮球稍稍高出横梁
