8'拜仁慕尼黑球员沙奇里大禁区外左脚射门,被防守球员封堵.给他传球的是克罗斯.                   8'开场8分钟，克罗斯左路塞球，沙奇里转身巧妙摆脱，突至禁区边缘左脚射门被挡
9'射门!!!拜仁慕尼黑球员拉菲尼亚大禁区外右脚射门,被对方守门员横身扑出.给他传球的是罗本.                   8'开场8分钟，克罗斯左路塞球，沙奇里转身巧妙摆脱，突至禁区边缘左脚射门被挡
9'默罕默迪为弗赖堡赢得一个任意球.                   8'开场8分钟，克罗斯左路塞球，沙奇里转身巧妙摆脱，突至禁区边缘左脚射门被挡
9'拜仁慕尼黑球员哈维-马丁内斯拼抢犯规,对手获得控球权.                   8'开场8分钟，克罗斯左路塞球，沙奇里转身巧妙摆脱，突至禁区边缘左脚射门被挡
9'弗赖堡球员金特尔大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是达里达.                   8'开场8分钟，克罗斯左路塞球，沙奇里转身巧妙摆脱，突至禁区边缘左脚射门被挡
10'弗赖堡球员C.京特尔拼抢犯规,对手获得控球权.                   8'开场8分钟，克罗斯左路塞球，沙奇里转身巧妙摆脱，突至禁区边缘左脚射门被挡
10'罗本为拜仁慕尼黑赢得一个任意球.                   8'开场8分钟，克罗斯左路塞球，沙奇里转身巧妙摆脱，突至禁区边缘左脚射门被挡
11'弗赖堡球员克尔马什拼抢犯规,对手获得控球权.                   8'开场8分钟，克罗斯左路塞球，沙奇里转身巧妙摆脱，突至禁区边缘左脚射门被挡
11'穆勒为拜仁慕尼黑赢得一个任意球.                   8'开场8分钟，克罗斯左路塞球，沙奇里转身巧妙摆脱，突至禁区边缘左脚射门被挡
19'进球啦！！！拜仁慕尼黑球员丹特大禁区中央头球,球从右下角飞进球门,球进了!助攻的是孔滕托. 拜仁慕尼黑 1-0 弗赖堡.                   19'第19分钟，罗本右路卸下克罗斯长传内切，京特尔被迫犯规吃到黄牌，拜仁任意球被破坏出禁区，但孔滕托左路得球斜传，丹特在门前11米处甩头顶进右下角，1比0
21'弗赖堡球员施密德大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是金特尔.                   19'第19分钟，罗本右路卸下克罗斯长传内切，京特尔被迫犯规吃到黄牌，拜仁任意球被破坏出禁区，但孔滕托左路得球斜传，丹特在门前11米处甩头顶进右下角，1比0
34'进球啦！！！拜仁慕尼黑球员沙奇里球门左侧小角度左脚射门,球从左下角飞进球门,球进了! 拜仁慕尼黑 2-0 弗赖堡.                   34'拜仁第34分钟扩大比分，克罗斯左路直传，皮萨罗脚后跟巧妙一磕，沙奇里抢在赫恩下铲前得球突入禁区左侧，在门前9米处小角度低射碰佐尔格腿部入近角，2比0
35'弗赖堡球员施密德一脚直塞球给默罕默迪,但是边裁举旗显示后者已经越位.                   34'拜仁第34分钟扩大比分，克罗斯左路直传，皮萨罗脚后跟巧妙一磕，沙奇里抢在赫恩下铲前得球突入禁区左侧，在门前9米处小角度低射碰佐尔格腿部入近角，2比0
42'进球啦！！！拜仁慕尼黑球员沙奇里大禁区中央左脚射门,球从左下角飞进球门,球进了!助攻的是克罗斯. 拜仁慕尼黑 3-0 弗赖堡.                   42'第42分钟，克罗斯突入禁区左侧右脚外脚背回传，沙奇里在门前10米处左脚推射被鲍曼一扑入近角，3比0，这是他德甲第8球，有7个在主场打进
43'弗赖堡球员达里达一脚直塞球给默罕默迪,但是边裁举旗显示后者已经越位.                   42'第42分钟，克罗斯突入禁区左侧右脚外脚背回传，沙奇里在门前10米处左脚推射被鲍曼一扑入近角，3比0，这是他德甲第8球，有7个在主场打进
44'克劳斯为弗赖堡在左路,赢得一个任意球.                   42'第42分钟，克罗斯突入禁区左侧右脚外脚背回传，沙奇里在门前10米处左脚推射被鲍曼一扑入近角，3比0，这是他德甲第8球，有7个在主场打进
44'拜仁慕尼黑球员拉菲尼亚拼抢犯规,对手获得控球权.                   42'第42分钟，克罗斯突入禁区左侧右脚外脚背回传，沙奇里在门前10米处左脚推射被鲍曼一扑入近角，3比0，这是他德甲第8球，有7个在主场打进
44'克劳斯为弗赖堡在左路,赢得一个任意球.                   42'第42分钟，克罗斯突入禁区左侧右脚外脚背回传，沙奇里在门前10米处左脚推射被鲍曼一扑入近角，3比0，这是他德甲第8球，有7个在主场打进
44'拜仁慕尼黑球员穆勒拼抢犯规,对手获得控球权.                   42'第42分钟，克罗斯突入禁区左侧右脚外脚背回传，沙奇里在门前10米处左脚推射被鲍曼一扑入近角，3比0，这是他德甲第8球，有7个在主场打进
45'拜仁慕尼黑球员克罗斯手球犯规,对手获得球权.                   42'第42分钟，克罗斯突入禁区左侧右脚外脚背回传，沙奇里在门前10米处左脚推射被鲍曼一扑入近角，3比0，这是他德甲第8球，有7个在主场打进
45'+1'上半场结束,拜仁慕尼黑 3-0 弗赖堡,稍事休息,我们一会来看看下半场两队的表现.                   42'第42分钟，克罗斯突入禁区左侧右脚外脚背回传，沙奇里在门前10米处左脚推射被鲍曼一扑入近角，3比0，这是他德甲第8球，有7个在主场打进
51'赫恩将球处理出底线,拜仁慕尼黑获得角球.                   51'第51分钟，沙奇里左侧开出角球，罗本在门前7米处头球高出
51'拜仁慕尼黑球员罗本大禁区中央尝试头球,可惜皮球稍稍高出球门.给他传球的是沙奇里.                   51'第51分钟，沙奇里左侧开出角球，罗本在门前7米处头球高出
