2'勒沃库森球员雷纳茨尝试,可惜皮球偏出球门.                   1'第1分钟，施特里德出现在左路
3'拜仁慕尼黑球员拼抢犯规,对手获得控球权.                   1'第1分钟，施特里德出现在左路
3'孙兴民为勒沃库森赢得一个任意球.                   1'第1分钟，施特里德出现在左路
4'拉菲尼亚为拜仁慕尼黑赢得一个任意球.                   1'第1分钟，施特里德出现在左路
4'勒沃库森球员拼抢犯规,对手获得控球权.                   1'第1分钟，施特里德出现在左路
10'勒沃库森球员托普拉克,被防守球员封堵.                   10'第10分钟，勒沃库森角球被破坏，恰尔汉奥卢右路传中，基斯林在门前6米处头球弹地中楣入网，但被判越位在先
10'将球处理出底线,获得角球.                   10'第10分钟，勒沃库森角球被破坏，恰尔汉奥卢右路传中，基斯林在门前6米处头球弹地中楣入网，但被判越位在先
10'                   10'第10分钟，勒沃库森角球被破坏，恰尔汉奥卢右路传中，基斯林在门前6米处头球弹地中楣入网，但被判越位在先
13'拜仁慕尼黑球员拼抢犯规,对手获得控球权.                   10'第10分钟，勒沃库森角球被破坏，恰尔汉奥卢右路传中，基斯林在门前6米处头球弹地中楣入网，但被判越位在先
13'孙兴民为勒沃库森赢得一个任意球.                   10'第10分钟，勒沃库森角球被破坏，恰尔汉奥卢右路传中，基斯林在门前6米处头球弹地中楣入网，但被判越位在先
27'拜仁慕尼黑球员格策,被防守球员封堵.                   27'拜仁第27分钟错过必进机会，高迪诺右肋直塞，格策反越位突入禁区右侧，晃过莱诺后小角度推射空门，耶德瓦伊飞身铲出底线
27'将球处理出底线,获得角球.                   27'拜仁第27分钟错过必进机会，高迪诺右肋直塞，格策反越位突入禁区右侧，晃过莱诺后小角度推射空门，耶德瓦伊飞身铲出底线
27'拜仁慕尼黑球员哈维-马丁内斯尝试,可惜皮球偏出球门.                   27'拜仁第27分钟错过必进机会，高迪诺右肋直塞，格策反越位突入禁区右侧，晃过莱诺后小角度推射空门，耶德瓦伊飞身铲出底线
28'勒沃库森球员拼抢犯规,对手获得控球权.                   27'拜仁第27分钟错过必进机会，高迪诺右肋直塞，格策反越位突入禁区右侧，晃过莱诺后小角度推射空门，耶德瓦伊飞身铲出底线
28'魏泽尔为拜仁慕尼黑赢得一个任意球.                   27'拜仁第27分钟错过必进机会，高迪诺右肋直塞，格策反越位突入禁区右侧，晃过莱诺后小角度推射空门，耶德瓦伊飞身铲出底线
30'勒沃库森球员拼抢犯规,对手获得控球权.                   27'拜仁第27分钟错过必进机会，高迪诺右肋直塞，格策反越位突入禁区右侧，晃过莱诺后小角度推射空门，耶德瓦伊飞身铲出底线
30'施魏因斯泰格为拜仁慕尼黑赢得一个任意球.                   27'拜仁第27分钟错过必进机会，高迪诺右肋直塞，格策反越位突入禁区右侧，晃过莱诺后小角度推射空门，耶德瓦伊飞身铲出底线
48'拜仁慕尼黑球员拼抢犯规,对手获得控球权.                   48'下半时开始3分钟，高迪诺直传，有越位嫌疑的皮萨罗转身突入禁区，距门13米处左脚推射被莱诺封出
48'文德尔为勒沃库森赢得一个任意球.                   48'下半时开始3分钟，高迪诺直传，有越位嫌疑的皮萨罗转身突入禁区，距门13米处左脚推射被莱诺封出
48'射门!!!拜仁慕尼黑球员皮萨罗,被对方守门员横身扑出.                   48'下半时开始3分钟，高迪诺直传，有越位嫌疑的皮萨罗转身突入禁区，距门13米处左脚推射被莱诺封出
49'将球处理出底线,获得角球.                   48'下半时开始3分钟，高迪诺直传，有越位嫌疑的皮萨罗转身突入禁区，距门13米处左脚推射被莱诺封出
