3'上海上港球员蔡慧康大禁区外尝试右脚射门,可惜皮球偏出球门.给他传球的是武磊.                   3'比赛在上海的大雨中进行，第3分钟，蔡慧康禁区外得球后突然一脚远射打偏
3'武磊为上海上港在对方半场,赢得一个任意球.                   3'比赛在上海的大雨中进行，第3分钟，蔡慧康禁区外得球后突然一脚远射打偏
3'广州恒大球员赵旭日拼抢犯规,对手获得控球权.                   3'比赛在上海的大雨中进行，第3分钟，蔡慧康禁区外得球后突然一脚远射打偏
4'广州恒大球员赵旭日拼抢犯规,对手获得控球权.                   3'比赛在上海的大雨中进行，第3分钟，蔡慧康禁区外得球后突然一脚远射打偏
4'李运秋为上海上港在右路,赢得一个任意球.                   3'比赛在上海的大雨中进行，第3分钟，蔡慧康禁区外得球后突然一脚远射打偏
6'广州恒大球员赵旭日拼抢犯规,对手获得控球权.                   3'比赛在上海的大雨中进行，第3分钟，蔡慧康禁区外得球后突然一脚远射打偏
6'林创益为上海上港在对方半场,赢得一个任意球.                   3'比赛在上海的大雨中进行，第3分钟，蔡慧康禁区外得球后突然一脚远射打偏
7'上海上港球员武磊大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   7'第7分钟，林创意前场过人时再为上港赢得任意球，武磊主罚大力低射滑门而出
7'上海上港球员麦克布雷恩大禁区中央右脚射门,被防守球员封堵.                   7'第7分钟，林创意前场过人时再为上港赢得任意球，武磊主罚大力低射滑门而出
7'张宏楠将球处理出底线,上海上港获得角球.                   7'第7分钟，林创意前场过人时再为上港赢得任意球，武磊主罚大力低射滑门而出
12'射门!!!上海上港球员武磊大禁区外右脚射门,被对方守门员横身扑出.                   12'第12分钟，上港队打出快速反击，武磊带球突进禁区外远射打偏
15'伊班将球处理出底线,广州恒大获得角球.                   12'第12分钟，上港队打出快速反击，武磊带球突进禁区外远射打偏
20'广州恒大球员张宏楠拼抢犯规,对手获得控球权.                   20'第20分钟，上港队前场4打4，林创意禁区前过掉一名防守球员将球分至左路，后排插上的卡贝萨斯大力施射将球打高
20'武磊为上海上港在对方半场,赢得一个任意球.                   20'第20分钟，上港队前场4打4，林创意禁区前过掉一名防守球员将球分至左路，后排插上的卡贝萨斯大力施射将球打高
21'上海上港球员卡贝萨斯大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是麦克布雷恩.                   20'第20分钟，上港队前场4打4，林创意禁区前过掉一名防守球员将球分至左路，后排插上的卡贝萨斯大力施射将球打高
21'广州恒大球员冯俊彦一脚直塞球给杨超声,但是边裁举旗显示后者已经越位.                   20'第20分钟，上港队前场4打4，林创意禁区前过掉一名防守球员将球分至左路，后排插上的卡贝萨斯大力施射将球打高
32'广州恒大球员廖力生拼抢犯规,对手获得控球权.                   32'第32分钟，冯仁亮右路突入禁区制造角球，他主罚右侧角球开到前点被武磊解围
