3'马内回接球，把球回给洛夫伦                   3'开场仅3分钟，阿诺德长传，菲尔米诺禁区右侧抽射被库尔图瓦扑出
3'大脚找前场禁区里菲尔米诺，直接打门了！！                   3'开场仅3分钟，阿诺德长传，菲尔米诺禁区右侧抽射被库尔图瓦扑出
4'库尔图瓦飞身把球扑出，切尔西后场大脚解围                   3'开场仅3分钟，阿诺德长传，菲尔米诺禁区右侧抽射被库尔图瓦扑出
4'维纳尔杜姆中圈得到球，转移球出界了                   3'开场仅3分钟，阿诺德长传，菲尔米诺禁区右侧抽射被库尔图瓦扑出
5'两队中圈的争抢，巴卡约科拿到球，被犯规了                   3'开场仅3分钟，阿诺德长传，菲尔米诺禁区右侧抽射被库尔图瓦扑出
5'切尔西后场控制球，回给库尔图瓦                   3'开场仅3分钟，阿诺德长传，菲尔米诺禁区右侧抽射被库尔图瓦扑出
5'后场大脚开出去，直接送给了卡里乌斯                   3'开场仅3分钟，阿诺德长传，菲尔米诺禁区右侧抽射被库尔图瓦扑出
6'菲尔米诺回到中场接球，回给身后洛夫伦                   3'开场仅3分钟，阿诺德长传，菲尔米诺禁区右侧抽射被库尔图瓦扑出
6'萨拉赫前场得球， 转移球给左侧插上克莱因                   3'开场仅3分钟，阿诺德长传，菲尔米诺禁区右侧抽射被库尔图瓦扑出
32'分给禁区里巴卡约科！！头球攻门！！                   32'切尔西第32分钟打破僵局，巴卡约科分球，摩西突破至禁区右侧边缘外传中，吉鲁小禁区边缘头球破门，他进球后冲上看台同路易斯拥抱庆祝
32'这个球偏出了底线啊！球门球！                   32'切尔西第32分钟打破僵局，巴卡约科分球，摩西突破至禁区右侧边缘外传中，吉鲁小禁区边缘头球破门，他进球后冲上看台同路易斯拥抱庆祝
32'米尔纳外围得球，挑传球被吕迪格解围                   32'切尔西第32分钟打破僵局，巴卡约科分球，摩西突破至禁区右侧边缘外传中，吉鲁小禁区边缘头球破门，他进球后冲上看台同路易斯拥抱庆祝
33'巴卡约科前场左侧的啊，大范围转移球找到摩西                    32'切尔西第32分钟打破僵局，巴卡约科分球，摩西突破至禁区右侧边缘外传中，吉鲁小禁区边缘头球破门，他进球后冲上看台同路易斯拥抱庆祝
33'强行起球到禁区！！                   32'切尔西第32分钟打破僵局，巴卡约科分球，摩西突破至禁区右侧边缘外传中，吉鲁小禁区边缘头球破门，他进球后冲上看台同路易斯拥抱庆祝
33'吉鲁跟上头球攻门！！！                   32'切尔西第32分钟打破僵局，巴卡约科分球，摩西突破至禁区右侧边缘外传中，吉鲁小禁区边缘头球破门，他进球后冲上看台同路易斯拥抱庆祝
33'GOAL!!!!!!!!!!!!!!!                   32'切尔西第32分钟打破僵局，巴卡约科分球，摩西突破至禁区右侧边缘外传中，吉鲁小禁区边缘头球破门，他进球后冲上看台同路易斯拥抱庆祝
34'切尔西领先了！！！！吉鲁的头球攻门！！                   32'切尔西第32分钟打破僵局，巴卡约科分球，摩西突破至禁区右侧边缘外传中，吉鲁小禁区边缘头球破门，他进球后冲上看台同路易斯拥抱庆祝
34'看回比赛！！！                   32'切尔西第32分钟打破僵局，巴卡约科分球，摩西突破至禁区右侧边缘外传中，吉鲁小禁区边缘头球破门，他进球后冲上看台同路易斯拥抱庆祝
35'坎特中圈得球，低平球直塞被范迪克拦截下来                   32'切尔西第32分钟打破僵局，巴卡约科分球，摩西突破至禁区右侧边缘外传中，吉鲁小禁区边缘头球破门，他进球后冲上看台同路易斯拥抱庆祝
35'维纳尔杜姆抢断得球，转移球被阿隆索抢断                   32'切尔西第32分钟打破僵局，巴卡约科分球，摩西突破至禁区右侧边缘外传中，吉鲁小禁区边缘头球破门，他进球后冲上看台同路易斯拥抱庆祝
94'传中球给禁区左侧马内，挑传球小禁区！                   94'第94分钟，马内左路传中，索兰克小禁区边缘头球攻门偏出
94'索兰克头球攻门！！！！高出了横梁！！                   94'第94分钟，马内左路传中，索兰克小禁区边缘头球攻门偏出
94'库尔图瓦大脚开出去！！莫雷诺顶一下                   94'第94分钟，马内左路传中，索兰克小禁区边缘头球攻门偏出
95'佩德罗拦截下来，回给后场控制一下                   94'第94分钟，马内左路传中，索兰克小禁区边缘头球攻门偏出
95'后场大脚开出去！范迪克抢断了！给前场左侧马内                   94'第94分钟，马内左路传中，索兰克小禁区边缘头球攻门偏出
95'传中球到禁区！！坎特顶一下！！，库尔图瓦拿到球                   94'第94分钟，马内左路传中，索兰克小禁区边缘头球攻门偏出
96'大脚开出去！！！裁判也吹响了比赛结束的哨声！！                   94'第94分钟，马内左路传中，索兰克小禁区边缘头球攻门偏出
