1'佛罗伦萨球员Hrvoje Milic拼抢犯规,对手获得控球权.                   1'第1分钟，弗洛伦齐传过顶球，哲科头球高出，此后他的凌空射门被塔塔鲁萨努化解
1'萨拉赫为罗马赢得一个任意球.                   1'第1分钟，弗洛伦齐传过顶球，哲科头球高出，此后他的凌空射门被塔塔鲁萨努化解
2'卡利尼奇为佛罗伦萨赢得一个任意球.                   1'第1分钟，弗洛伦齐传过顶球，哲科头球高出，此后他的凌空射门被塔塔鲁萨努化解
2'罗马球员德罗西拼抢犯规,对手获得控球权.                   1'第1分钟，弗洛伦齐传过顶球，哲科头球高出，此后他的凌空射门被塔塔鲁萨努化解
3'冈萨洛为佛罗伦萨赢得一个任意球.                   1'第1分钟，弗洛伦齐传过顶球，哲科头球高出，此后他的凌空射门被塔塔鲁萨努化解
3'罗马球员哲科拼抢犯规,对手获得控球权.                   1'第1分钟，弗洛伦齐传过顶球，哲科头球高出，此后他的凌空射门被塔塔鲁萨努化解
66'德罗西将球处理出底线,佛罗伦萨获得角球.                   66'紫百合第66分钟错过必进机会，卡利尼奇接应角球，在门前5米处顶给了斯琴斯尼
66'佩罗蒂将球处理出底线,佛罗伦萨获得角球.                   66'紫百合第66分钟错过必进机会，卡利尼奇接应角球，在门前5米处顶给了斯琴斯尼
67'射门!!!佛罗伦萨球员卡利尼奇球门线跟前头球,被对方守门员横身扑出.给他传球的是尔纳尔德希奇.                   66'紫百合第66分钟错过必进机会，卡利尼奇接应角球，在门前5米处顶给了斯琴斯尼
68'罗马换人,沙拉维换下萨拉赫                   66'紫百合第66分钟错过必进机会，卡利尼奇接应角球，在门前5米处顶给了斯琴斯尼
69'罗马球员佩罗蒂一脚直塞球给哲科,但是边裁举旗显示后者已经越位.                   66'紫百合第66分钟错过必进机会，卡利尼奇接应角球，在门前5米处顶给了斯琴斯尼
80'暂停结束,球员们重新开始比赛.                   80'第80分钟，托蒂和弗洛伦齐打出配合，纳英戈兰右路斜射被塔塔鲁萨努指尖一托击中近门柱
80'罗马球员纳因戈兰球门右侧小角度右脚射门,命中门柱右侧立柱.给他传球的是弗洛伦齐.                   80'第80分钟，托蒂和弗洛伦齐打出配合，纳英戈兰右路斜射被塔塔鲁萨努指尖一托击中近门柱
82'进球啦！！！佛罗伦萨球员巴德尔吉大禁区外右脚射门,球从左下角飞进球门,球进了!助攻的是托莫维奇. 佛罗伦萨 1-0 罗马.                   80'第80分钟，托蒂和弗洛伦齐打出配合，纳英戈兰右路斜射被塔塔鲁萨努指尖一托击中近门柱
