20'德莱特将球处理出底线,埃弗顿获得角球.                   20'第20分钟，麦吉迪角球混战中禁区左侧射门，皮球打中远角立柱入网
20'埃弗顿球员拜恩斯大禁区外左脚射门,被防守球员封堵.                   20'第20分钟，麦吉迪角球混战中禁区左侧射门，皮球打中远角立柱入网
20'射门!!!埃弗顿球员迪斯汀大禁区左侧左脚射门,被对方守门员横身扑出.                   20'第20分钟，麦吉迪角球混战中禁区左侧射门，皮球打中远角立柱入网
20'进球啦！！！埃弗顿球员麦吉迪大禁区左侧右脚射门,球从右上角飞进球门,球进了! 莱斯特 0-1 埃弗顿.                   20'第20分钟，麦吉迪角球混战中禁区左侧射门，皮球打中远角立柱入网
22'贾吉尔卡将球处理出底线,莱斯特获得角球.                   20'第20分钟，麦吉迪角球混战中禁区左侧射门，皮球打中远角立柱入网
22'进球啦！！！莱斯特球员乌罗阿大禁区中央右脚射门,球从右下角飞进球门,球进了! 莱斯特 1-1 埃弗顿.                   20'第20分钟，麦吉迪角球混战中禁区左侧射门，皮球打中远角立柱入网
23'莱斯特球员德林克沃特手球犯规,对手获得球权.                   20'第20分钟，麦吉迪角球混战中禁区左侧射门，皮球打中远角立柱入网
45'埃弗顿球员皮纳尔大禁区左侧尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是拜恩斯.                   45'第45分钟，拜恩斯左路传中，皮纳尔触球后令皮球偏转，奈史密斯12码处左脚扫射，皮球击中横梁下沿入网
45'进球啦！！！埃弗顿球员奈史密斯大禁区中央左脚射门,球从左上角飞进球门,球进了!助攻的是皮纳尔. 莱斯特 1-2 埃弗顿.                   45'第45分钟，拜恩斯左路传中，皮纳尔触球后令皮球偏转，奈史密斯12码处左脚扫射，皮球击中横梁下沿入网
45'+1'莱斯特德莱特受伤倒地,比赛暂停                   45'第45分钟，拜恩斯左路传中，皮纳尔触球后令皮球偏转，奈史密斯12码处左脚扫射，皮球击中横梁下沿入网
45'+1'暂停结束,球员们重新开始比赛.                   45'第45分钟，拜恩斯左路传中，皮纳尔触球后令皮球偏转，奈史密斯12码处左脚扫射，皮球击中横梁下沿入网
45'+4'上半场结束,莱斯特 1-2 埃弗顿,稍事休息,我们一会来看看下半场两队的表现.                   45'第45分钟，拜恩斯左路传中，皮纳尔触球后令皮球偏转，奈史密斯12码处左脚扫射，皮球击中横梁下沿入网
46'乌罗阿为莱斯特在对方半场,赢得一个任意球.                   45'第45分钟，拜恩斯左路传中，皮纳尔触球后令皮球偏转，奈史密斯12码处左脚扫射，皮球击中横梁下沿入网
46'埃弗顿球员贾吉尔卡拼抢犯规,对手获得控球权.                   45'第45分钟，拜恩斯左路传中，皮纳尔触球后令皮球偏转，奈史密斯12码处左脚扫射，皮球击中横梁下沿入网
