2'AC米兰球员沙拉维一脚直塞球给博阿滕,但是边裁举旗显示后者已经越位.                   1'第1分钟，AC米兰进攻不见威胁
3'安德莱赫特球员普罗图一脚直塞球给姆博卡尼,但是边裁举旗显示后者已经越位.                   1'第1分钟，AC米兰进攻不见威胁
34'AC米兰球员博阿滕拼抢犯规,对手获得控球权.                   34'第34分钟，比利亚任意球吊入禁区左侧，吉莱头球摆渡，姆博卡尼在门前3米处准备凌空射门，康斯坦特凌空解围
34'姆博卡尼为安德莱赫特在对方半场,赢得一个任意球.                   34'第34分钟，比利亚任意球吊入禁区左侧，吉莱头球摆渡，姆博卡尼在门前3米处准备凌空射门，康斯坦特凌空解围
34'康斯坦特将球处理出底线,安德莱赫特获得角球.                   34'第34分钟，比利亚任意球吊入禁区左侧，吉莱头球摆渡，姆博卡尼在门前3米处准备凌空射门，康斯坦特凌空解围
37'蒙托利沃为AC米兰赢得一个任意球.                   34'第34分钟，比利亚任意球吊入禁区左侧，吉莱头球摆渡，姆博卡尼在门前3米处准备凌空射门，康斯坦特凌空解围
37'安德莱赫特球员比格利亚拼抢犯规,对手获得控球权.                   34'第34分钟，比利亚任意球吊入禁区左侧，吉莱头球摆渡，姆博卡尼在门前3米处准备凌空射门，康斯坦特凌空解围
37'AC米兰球员博阿滕拼抢犯规,对手获得控球权.                   34'第34分钟，比利亚任意球吊入禁区左侧，吉莱头球摆渡，姆博卡尼在门前3米处准备凌空射门，康斯坦特凌空解围
37'德斯查克特为安德莱赫特赢得一个任意球.                   34'第34分钟，比利亚任意球吊入禁区左侧，吉莱头球摆渡，姆博卡尼在门前3米处准备凌空射门，康斯坦特凌空解围
47'进球啦！！！AC米兰球员沙拉维大禁区中央右脚射门,球从右上角飞进球门,球进了!助攻的是德希利奥. 安德莱赫特 0-1 AC米兰.                   47'下半时开始不到2分钟，AC米兰首次射门就取得领先
49'蒙托利沃为AC米兰赢得一个任意球.                   47'下半时开始不到2分钟，AC米兰首次射门就取得领先
49'安德莱赫特球员比格利亚拼抢犯规,对手获得控球权.                   47'下半时开始不到2分钟，AC米兰首次射门就取得领先
49'黄牌！安德莱赫特球员比格利亚因为恶意犯规,被主裁判出示黄牌.                   47'下半时开始不到2分钟，AC米兰首次射门就取得领先
50'AC米兰球员沙拉维大禁区中央右脚射门,被防守球员封堵.给他传球的是博扬.                   47'下半时开始不到2分钟，AC米兰首次射门就取得领先
50'AC米兰球员沙拉维大禁区中央右脚射门,被防守球员封堵.给他传球的是博扬.                   50'第50分钟，博扬右路低传，沙拉维禁区边缘打门被后卫破坏
53'AC米兰球员蒙托利沃拼抢犯规,对手获得控球权.                   50'第50分钟，博扬右路低传，沙拉维禁区边缘打门被后卫破坏
53'姆博卡尼为安德莱赫特赢得一个任意球.                   50'第50分钟，博扬右路低传，沙拉维禁区边缘打门被后卫破坏
53'耶佩斯将球处理出底线,安德莱赫特获得角球.                   50'第50分钟，博扬右路低传，沙拉维禁区边缘打门被后卫破坏
70'安德莱赫特球员努伊丁克 因为恶意犯规,被裁判直接红牌罚下.                   70'第70分钟，AC米兰直传反击，帕托拿球突破被纳伊廷克绊倒，斯科米纳在第四官员提醒下，直接将纳伊廷克红牌罚下
71'进球啦！！！AC米兰球员梅克斯大禁区外右脚射门,球从左下角飞进球门,球进了!助攻的是蒙托利沃. 安德莱赫特 0-2 AC米兰.                   70'第70分钟，AC米兰直传反击，帕托拿球突破被纳伊廷克绊倒，斯科米纳在第四官员提醒下，直接将纳伊廷克红牌罚下
78'进球啦！！！安德莱赫特球员德萨特球门线跟前左脚射门,球从中路飞进球门,球进了!助攻的是雅科文克. 安德莱赫特 1-2 AC米兰.                   78'第78分钟，克列斯坦左路斜传，库亚特后点与耶佩斯争顶，雅科文科力压梅克斯头球摆渡，德叙泰在门前4米处左脚垫射入网，1比2
79'AC米兰换人,萨帕塔上,梅克斯因伤下场.                   78'第78分钟，克列斯坦左路斜传，库亚特后点与耶佩斯争顶，雅科文科力压梅克斯头球摆渡，德叙泰在门前4米处左脚垫射入网，1比2
80'帕托为AC米兰赢得一个任意球.                   78'第78分钟，克列斯坦左路斜传，库亚特后点与耶佩斯争顶，雅科文科力压梅克斯头球摆渡，德叙泰在门前4米处左脚垫射入网，1比2
80'安德莱赫特球员库亚特拼抢犯规,对手获得控球权.                   78'第78分钟，克列斯坦左路斜传，库亚特后点与耶佩斯争顶，雅科文科力压梅克斯头球摆渡，德叙泰在门前4米处左脚垫射入网，1比2
82'安德莱赫特球员德斯查克特大禁区左侧尝试左脚射门,可惜皮球偏出球门.给他传球的是科尔杰斯坦.                   82'第82分钟，克列斯坦左肋直塞，德沙赫特在门前8米处左脚抽射偏出近门柱
83'AC米兰球员帕托拼抢犯规,对手获得控球权.                   82'第82分钟，克列斯坦左肋直塞，德沙赫特在门前8米处左脚抽射偏出近门柱
83'比格利亚为安德莱赫特赢得一个任意球.                   82'第82分钟，克列斯坦左肋直塞，德沙赫特在门前8米处左脚抽射偏出近门柱
84'AC米兰球员耶佩斯拼抢犯规,对手获得控球权.                   82'第82分钟，克列斯坦左肋直塞，德沙赫特在门前8米处左脚抽射偏出近门柱
84'德萨特为安德莱赫特在对方半场,赢得一个任意球.                   82'第82分钟，克列斯坦左肋直塞，德沙赫特在门前8米处左脚抽射偏出近门柱
84'AC米兰球员阿比亚蒂被主裁判出示了一张黄牌.                   82'第82分钟，克列斯坦左肋直塞，德沙赫特在门前8米处左脚抽射偏出近门柱
