7'张小宇为辽宁宏运赢得一个任意球.                   6'第6分钟，长春亚泰后场长传到前场，吕建军勉强将球回敲，张文钊在争抢中犯规
7'长春亚泰球员张文钊拼抢犯规,对手获得控球权.                   6'第6分钟，长春亚泰后场长传到前场，吕建军勉强将球回敲，张文钊在争抢中犯规
7'孙世林为辽宁宏运在对方半场,赢得一个任意球.                   6'第6分钟，长春亚泰后场长传到前场，吕建军勉强将球回敲，张文钊在争抢中犯规
7'长春亚泰球员伊萨克拼抢犯规,对手获得控球权.                   6'第6分钟，长春亚泰后场长传到前场，吕建军勉强将球回敲，张文钊在争抢中犯规
8'辽宁宏运球员孙世林手球犯规,对手获得球权.                   6'第6分钟，长春亚泰后场长传到前场，吕建军勉强将球回敲，张文钊在争抢中犯规
8'长春亚泰球员伊萨克大禁区中央尝试头球,可惜皮球高出球门.给他传球的是刘卫东.                   6'第6分钟，长春亚泰后场长传到前场，吕建军勉强将球回敲，张文钊在争抢中犯规
11'张小宇为辽宁宏运在对方半场,赢得一个任意球.                   11'第11分钟，辽宁宏运队任意球打到禁区，伊萨克头球解围
11'长春亚泰球员吕建军拼抢犯规,对手获得控球权.                   11'第11分钟，辽宁宏运队任意球打到禁区，伊萨克头球解围
12'射门!!!辽宁宏运球员张小宇大禁区外左脚射门,被对方守门员横身扑出.给他传球的是胡延强.                   11'第11分钟，辽宁宏运队任意球打到禁区，伊萨克头球解围
12'辽宁宏运球员郑涛拼抢犯规,对手获得控球权.                   11'第11分钟，辽宁宏运队任意球打到禁区，伊萨克头球解围
12'张文钊为长春亚泰在右路,赢得一个任意球.                   11'第11分钟，辽宁宏运队任意球打到禁区，伊萨克头球解围
13'布兰丹为辽宁宏运赢得一个任意球.                   11'第11分钟，辽宁宏运队任意球打到禁区，伊萨克头球解围
13'长春亚泰球员伊萨克拼抢犯规,对手获得控球权.                   11'第11分钟，辽宁宏运队任意球打到禁区，伊萨克头球解围
14'射门!!!长春亚泰球员张文钊大禁区外左脚射门,被对方守门员横身扑出.给他传球的是刘卫东.                   11'第11分钟，辽宁宏运队任意球打到禁区，伊萨克头球解围
20'长春亚泰球员张文钊大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是阎峰.                   19'第19分钟，张文钊带球突破后，左脚大力远射，球偏出球门
22'辽宁宏运球员杨善平拼抢犯规,对手获得控球权.                   19'第19分钟，张文钊带球突破后，左脚大力远射，球偏出球门
22'伊萨克为长春亚泰在对方半场,赢得一个任意球.                   19'第19分钟，张文钊带球突破后，左脚大力远射，球偏出球门
22'长春亚泰球员张文钊大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.                   19'第19分钟，张文钊带球突破后，左脚大力远射，球偏出球门
24'长春亚泰球员赵明剑小禁区左侧左脚射门,被防守球员封堵.给他传球的是伊萨克.                   24'第24分钟，吕建军右路传中，后点摆渡到门前，门前亚泰队球员打门，打在了防守球员身上弹出
26'长春亚泰球员赵明剑大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是刘晓东.                   24'第24分钟，吕建军右路传中，后点摆渡到门前，门前亚泰队球员打门，打在了防守球员身上弹出
27'张小宇为辽宁宏运在左路,赢得一个任意球.                   24'第24分钟，吕建军右路传中，后点摆渡到门前，门前亚泰队球员打门，打在了防守球员身上弹出
27'长春亚泰球员阎峰拼抢犯规,对手获得控球权.                   24'第24分钟，吕建军右路传中，后点摆渡到门前，门前亚泰队球员打门，打在了防守球员身上弹出
29'长春亚泰球员曹添堡大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是Éder Baiano.                   29'第29分钟，长春亚泰艾德尔右路狂奔，下底传中到禁区中路，曹添堡跟上一脚打门，球打高了
31'胡延强为辽宁宏运在右路,赢得一个任意球.                   29'第29分钟，长春亚泰艾德尔右路狂奔，下底传中到禁区中路，曹添堡跟上一脚打门，球打高了
31'长春亚泰球员Éder Baiano拼抢犯规,对手获得控球权.                   29'第29分钟，长春亚泰艾德尔右路狂奔，下底传中到禁区中路，曹添堡跟上一脚打门，球打高了
32'杨善平为辽宁宏运赢得一个任意球.                   29'第29分钟，长春亚泰艾德尔右路狂奔，下底传中到禁区中路，曹添堡跟上一脚打门，球打高了
32'长春亚泰球员伊萨克拼抢犯规,对手获得控球权.                   29'第29分钟，长春亚泰艾德尔右路狂奔，下底传中到禁区中路，曹添堡跟上一脚打门，球打高了
37'射门!!!辽宁宏运球员张野大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是胡延强.                   37'第37分钟，宏运队小将倪玉崧一脚打门被长春门将宋振宇扑住
37'辽宁宏运球员王亮拼抢犯规,对手获得控球权.                   37'第37分钟，宏运队小将倪玉崧一脚打门被长春门将宋振宇扑住
37'刘卫东为长春亚泰在对方半场,赢得一个任意球.                   37'第37分钟，宏运队小将倪玉崧一脚打门被长春门将宋振宇扑住
51'长春亚泰球员曹添堡小禁区左侧尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是赵明剑.                   50'第50分钟，长春亚泰打得很耐心，曹添堡横敲转移到右路，传中到禁区，曹添堡后点头球攻门，被辽宁宏运队后卫挡了出去
51'王皓将球处理出底线,长春亚泰获得角球.                   50'第50分钟，长春亚泰打得很耐心，曹添堡横敲转移到右路，传中到禁区，曹添堡后点头球攻门，被辽宁宏运队后卫挡了出去
51'射门!!!长春亚泰球员王万鹏大禁区中央头球,被对方守门员横身扑出.给他传球的是赵明剑.                   50'第50分钟，长春亚泰打得很耐心，曹添堡横敲转移到右路，传中到禁区，曹添堡后点头球攻门，被辽宁宏运队后卫挡了出去
51'长春亚泰球员伊萨克球门线跟前尝试左脚射门,可惜皮球高出球门.                   50'第50分钟，长春亚泰打得很耐心，曹添堡横敲转移到右路，传中到禁区，曹添堡后点头球攻门，被辽宁宏运队后卫挡了出去
52'赵明剑将球处理出底线,辽宁宏运获得角球.                   50'第50分钟，长春亚泰打得很耐心，曹添堡横敲转移到右路，传中到禁区，曹添堡后点头球攻门，被辽宁宏运队后卫挡了出去
54'辽宁宏运球员孙世林大禁区外尝试左脚射门,可惜皮球高出球门.给他传球的是杨善平.                   54'辽宁宏运队反击，赵明剑将球破坏出底线，第54分钟，宏运队王皓防守伊萨克犯规，被黄牌警告
