2'巴斯蒂安将球处理出底线,尤文图斯获得角球.                   1'第1分钟，道格拉斯-科斯塔和皮亚尼奇接连尝试远射
3'杰罗施斯基为切沃赢得一个任意球.                   1'第1分钟，道格拉斯-科斯塔和皮亚尼奇接连尝试远射
3'尤文图斯球员赫迪拉拼抢犯规,对手获得控球权.                   1'第1分钟，道格拉斯-科斯塔和皮亚尼奇接连尝试远射
4'拉多万诺维奇为切沃在对方半场,赢得一个任意球.                   1'第1分钟，道格拉斯-科斯塔和皮亚尼奇接连尝试远射
4'尤文图斯球员皮亚尼奇拼抢犯规,对手获得控球权.                   1'第1分钟，道格拉斯-科斯塔和皮亚尼奇接连尝试远射
35'切沃球员巴斯蒂安拼抢犯规,对手获得控球权.                   35'第35分钟，巴斯蒂安争顶时肘部接触阿萨莫阿，被黄牌警告
35'阿萨莫阿为尤文图斯在左路,赢得一个任意球.                   35'第35分钟，巴斯蒂安争顶时肘部接触阿萨莫阿，被黄牌警告
35'黄牌！切沃球员巴斯蒂安因为恶意犯规,被主裁判出示黄牌.                   35'第35分钟，巴斯蒂安争顶时肘部接触阿萨莫阿，被黄牌警告
37'切沃球员巴斯蒂安拼抢犯规,对手获得控球权.                   35'第35分钟，巴斯蒂安争顶时肘部接触阿萨莫阿，被黄牌警告
37'阿萨莫阿为尤文图斯在对方半场,赢得一个任意球.                   35'第35分钟，巴斯蒂安争顶时肘部接触阿萨莫阿，被黄牌警告
37'切沃球员巴斯蒂安因为恶意犯规,被裁判出示了第二张黄牌.                   35'第35分钟，巴斯蒂安争顶时肘部接触阿萨莫阿，被黄牌警告
61'裁判将切沃的卡恰托雷直接红牌罚下.                   61'切沃第61分钟再遭打击，雅罗申斯基左路传中，卡恰托雷后点距门13米处冲顶被斯琴斯尼没收，他受到冲撞倒地不起，主裁判要求他到场边，经过允许才能回到场内，卡恰托雷认为队医没有进场，他没有必要离场，他做出手铐动作发泄不满，结果被主裁判马雷斯卡红牌罚下
88'进球啦！！！尤文图斯球员伊瓜因大禁区中央头球,球从左下角飞进球门,球进了!助攻的是道格拉斯-科斯塔. 切沃 0-2 尤文图斯.                   88'尤文第88分钟锁定胜局，道格拉斯-科斯塔左路传中，伊瓜因在门前4米处头球入左下角，2比0，他连续10个赛季联赛进球达到两位数
89'尤文图斯换人,本塔库尔换下伊瓜因                   88'尤文第88分钟锁定胜局，道格拉斯-科斯塔左路传中，伊瓜因在门前4米处头球入左下角，2比0，他连续10个赛季联赛进球达到两位数
89'德希利奥将球处理出底线,切沃获得角球.                   88'尤文第88分钟锁定胜局，道格拉斯-科斯塔左路传中，伊瓜因在门前4米处头球入左下角，2比0，他连续10个赛季联赛进球达到两位数
90'尤文图斯球员皮亚尼奇一脚直塞球给贝尔纳代斯基,但是边裁举旗显示后者已经越位.                   88'尤文第88分钟锁定胜局，道格拉斯-科斯塔左路传中，伊瓜因在门前4米处头球入左下角，2比0，他连续10个赛季联赛进球达到两位数
90'+1'下半场结束,切沃 0-2 尤文图斯                   88'尤文第88分钟锁定胜局，道格拉斯-科斯塔左路传中，伊瓜因在门前4米处头球入左下角，2比0，他连续10个赛季联赛进球达到两位数
