2'国际米兰球员桑顿拼抢犯规,对手获得控球权.                   1'国米第1分钟主动出击，埃尔纳内斯禁区前沿抽射被贝纳利奥封出
2'维埃里尼亚为沃尔夫斯堡赢得一个任意球.                   1'国米第1分钟主动出击，埃尔纳内斯禁区前沿抽射被贝纳利奥封出
3'桑顿为国际米兰赢得一个任意球.                   1'国米第1分钟主动出击，埃尔纳内斯禁区前沿抽射被贝纳利奥封出
3'沃尔夫斯堡球员德布劳内拼抢犯规,对手获得控球权.                   1'国米第1分钟主动出击，埃尔纳内斯禁区前沿抽射被贝纳利奥封出
4'射门!!!国际米兰球员帕拉西奥大禁区外右脚射门,被对方守门员横身扑出.给他传球的是伊卡尔迪.                   1'国米第1分钟主动出击，埃尔纳内斯禁区前沿抽射被贝纳利奥封出
6'沃尔夫斯堡球员卡利朱里大禁区左侧尝试左脚射门,可惜皮球稍稍高出球门.给他传球的是维埃里尼亚.                   6'第6分钟，维埃里尼亚右路传中，卡利朱里后点距门8米处左脚凌空打出弹地球掠过横梁
8'国际米兰球员埃尔纳内斯一脚直塞球给帕拉西奥,但是边裁举旗显示后者已经越位.                   6'第6分钟，维埃里尼亚右路传中，卡利朱里后点距门8米处左脚凌空打出弹地球掠过横梁
23'国际米兰球员瓜林大禁区外右脚射门,被防守球员封堵.给他传球的是帕拉西奥.                   23'第23分钟，瓜林右路远射被挡变线，伊卡尔迪在门前12米处抽射被贝纳利奥封出右门柱
23'射门!!!国际米兰球员伊卡尔迪大禁区中央右脚射门,被对方守门员横身扑出.                   23'第23分钟，瓜林右路远射被挡变线，伊卡尔迪在门前12米处抽射被贝纳利奥封出右门柱
23'贝纳利奥将球处理出底线,国际米兰获得角球.                   23'第23分钟，瓜林右路远射被挡变线，伊卡尔迪在门前12米处抽射被贝纳利奥封出右门柱
24'进球啦！！！沃尔夫斯堡球员卡利朱里大禁区中央右脚射门,球从中路偏上飞进球门,球进了!助攻的是德布劳内. 国际米兰 0-1 沃尔夫斯堡.                   23'第23分钟，瓜林右路远射被挡变线，伊卡尔迪在门前12米处抽射被贝纳利奥封出右门柱
45'射门!!!国际米兰球员梅德尔大禁区中央左脚射门,被对方守门员横身扑出.                   45'第45分钟，帕拉西奥右路下底射门，梅德尔后点距门5米处左脚勾射被贝纳利奥伸腿挡出
