7'毛里西奥左路拿球内切，禁区外围直接起脚远射，打高了                   7'第7分钟，毛里西奥带球到对方大禁区前沿突然起脚远射，皮球高出横梁
7'杨程大脚开到中场，后场华夏拿球                   7'第7分钟，毛里西奥带球到对方大禁区前沿突然起脚远射，皮球高出横梁
8'永昌右路斜传禁区，杨程出击抱住                   7'第7分钟，毛里西奥带球到对方大禁区前沿突然起脚远射，皮球高出横梁
8'拉维奇和热尔维尼奥左路配合，球出了边线                   7'第7分钟，毛里西奥带球到对方大禁区前沿突然起脚远射，皮球高出横梁
9'华夏后场长传，赵荣亨顶出边线                   7'第7分钟，毛里西奥带球到对方大禁区前沿突然起脚远射，皮球高出横梁
10'拉维奇分球左路，热尔维尼奥左路突破底线附近传中，球被赵荣亨解围出去                   7'第7分钟，毛里西奥带球到对方大禁区前沿突然起脚远射，皮球高出横梁
10'糜昊伦左路传中被踢出                   7'第7分钟，毛里西奥带球到对方大禁区前沿突然起脚远射，皮球高出横梁
10'外围鲁本分球右路，冯绍顺右路传中被杨程拿到                   7'第7分钟，毛里西奥带球到对方大禁区前沿突然起脚远射，皮球高出横梁
10'华夏中场送直塞，热尔维尼奥插上越位啦                   7'第7分钟，毛里西奥带球到对方大禁区前沿突然起脚远射，皮球高出横梁
13'右路传远端，拉维奇底线附近横传被挡出底线                   13'第13分钟，罗森文在对方禁区外大力抽射，皮球偏离了目标
13'战术角球开出，球到中路，罗森文外围远射偏出                   13'第13分钟，罗森文在对方禁区外大力抽射，皮球偏离了目标
14'永昌右路边线球掷到禁区，球被杨程没收                   13'第13分钟，罗森文在对方禁区外大力抽射，皮球偏离了目标
14'杨程大脚开出门球，双方中场争抢                   13'第13分钟，罗森文在对方禁区外大力抽射，皮球偏离了目标
14'球被永昌球员顶出边线                   13'第13分钟，罗森文在对方禁区外大力抽射，皮球偏离了目标
15'姜宁前场中路带球分左侧，热尔维尼奥左侧拿球摆脱后打门被封堵                   13'第13分钟，罗森文在对方禁区外大力抽射，皮球偏离了目标
15'糜昊伦在防守时受伤了                   13'第13分钟，罗森文在对方禁区外大力抽射，皮球偏离了目标
16'更正一下，是鲁本的头部碰了                   13'第13分钟，罗森文在对方禁区外大力抽射，皮球偏离了目标
16'崔鹏在场边热身                   13'第13分钟，罗森文在对方禁区外大力抽射，皮球偏离了目标
16'鲁本示意包扎下就可以踢                   13'第13分钟，罗森文在对方禁区外大力抽射，皮球偏离了目标
