7'两队在中场的拼抢很凶                   7'第7分钟申花右后卫张璐在右路离门35米开外传球，皮球稍稍高出门楣
9'比赛开始后，申花这边还没有什么攻势                   7'第7分钟申花右后卫张璐在右路离门35米开外传球，皮球稍稍高出门楣
9'下周中他们还将有一场足协杯比赛                   7'第7分钟申花右后卫张璐在右路离门35米开外传球，皮球稍稍高出门楣
9'穆伦加前场拿球给到右路                   7'第7分钟申花右后卫张璐在右路离门35米开外传球，皮球稍稍高出门楣
9'隆东拿球被申花破坏                   7'第7分钟申花右后卫张璐在右路离门35米开外传球，皮球稍稍高出门楣
10'永昌前场断抢下来                   7'第7分钟申花右后卫张璐在右路离门35米开外传球，皮球稍稍高出门楣
10'糜昊伦左路起球送后点                   7'第7分钟申花右后卫张璐在右路离门35米开外传球，皮球稍稍高出门楣
10'这球传的有些大                   7'第7分钟申花右后卫张璐在右路离门35米开外传球，皮球稍稍高出门楣
10'另外一侧永昌还是有机会                   7'第7分钟申花右后卫张璐在右路离门35米开外传球，皮球稍稍高出门楣
10'底线附近的下底赢得角球机会                   7'第7分钟申花右后卫张璐在右路离门35米开外传球，皮球稍稍高出门楣
24'永昌边路出去被碰了一下                   24'第24分钟石家庄队右路传中，隆东头球摆到后点，糜昊伦禁区侧部抽射打高
25'永昌右路起球送禁区内                   24'第24分钟石家庄队右路传中，隆东头球摆到后点，糜昊伦禁区侧部抽射打高
25'穆伦加甩头攻门没有顶好                   24'第24分钟石家庄队右路传中，隆东头球摆到后点，糜昊伦禁区侧部抽射打高
25'左路，糜昊伦再打                   24'第24分钟石家庄队右路传中，隆东头球摆到后点，糜昊伦禁区侧部抽射打高
25'这球稍稍偏了一点                   24'第24分钟石家庄队右路传中，隆东头球摆到后点，糜昊伦禁区侧部抽射打高
26'申花中场拿球给到底线                   24'第24分钟石家庄队右路传中，隆东头球摆到后点，糜昊伦禁区侧部抽射打高
27'永昌这边将球解围出来                   24'第24分钟石家庄队右路传中，隆东头球摆到后点，糜昊伦禁区侧部抽射打高
30'隆东左路拿球突破进来，禁区内挑传送后点，穆伦加头球冲顶破门                   30'第30分钟帕帕在左路禁区外一点扫倒穆伦加吃到黄牌，糜昊伦的任意球被莫雷诺用脑袋生生顶出
31'申花传球又失误了                   30'第30分钟帕帕在左路禁区外一点扫倒穆伦加吃到黄牌，糜昊伦的任意球被莫雷诺用脑袋生生顶出
