5'黄牌！巴拉多利德球员鲁埃达因为恶意犯规,被主裁判出示黄牌.                   5'第5分钟，鲁埃达禁区边缘内铲倒斯图亚尼，塞尔吉奥-加西亚点球射入左上角
5'进球啦！！！西班牙人球员塞尔吉奥-加西亚右脚射门,球从左下角飞进球门,球进了! 西班牙人 1-0 巴拉多利德.                   5'第5分钟，鲁埃达禁区边缘内铲倒斯图亚尼，塞尔吉奥-加西亚点球射入左上角
7'埃贝尔为巴拉多利德赢得一个任意球.                   5'第5分钟，鲁埃达禁区边缘内铲倒斯图亚尼，塞尔吉奥-加西亚点球射入左上角
7'西班牙人球员维克托-桑切斯拼抢犯规,对手获得控球权.                   5'第5分钟，鲁埃达禁区边缘内铲倒斯图亚尼，塞尔吉奥-加西亚点球射入左上角
8'黄牌！西班牙人球员维克托-桑切斯因为恶意犯规,被主裁判出示黄牌.                   5'第5分钟，鲁埃达禁区边缘内铲倒斯图亚尼，塞尔吉奥-加西亚点球射入左上角
68'进球啦！！！西班牙人球员维克托-桑切斯大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是阿莱士. 西班牙人 3-0 巴拉多利德.                   68'第68分钟，阿莱士前场抢断后突入禁区右侧传球，维克托-桑切斯14码处劲射破门
69'西班牙人球员塞尔吉奥-加西亚拼抢犯规,对手获得控球权.                   68'第68分钟，阿莱士前场抢断后突入禁区右侧传球，维克托-桑切斯14码处劲射破门
69'巴列恩特为巴拉多利德赢得一个任意球.                   68'第68分钟，阿莱士前场抢断后突入禁区右侧传球，维克托-桑切斯14码处劲射破门
69'富恩特斯为西班牙人赢得一个任意球.                   68'第68分钟，阿莱士前场抢断后突入禁区右侧传球，维克托-桑切斯14码处劲射破门
69'巴拉多利德球员拉尔森拼抢犯规,对手获得控球权.                   68'第68分钟，阿莱士前场抢断后突入禁区右侧传球，维克托-桑切斯14码处劲射破门
70'进球啦！！！西班牙人球员斯图亚尼大禁区中央右脚射门,球从中路飞进球门,球进了!助攻的是维克托-桑切斯. 西班牙人 4-0 巴拉多利德.                   68'第68分钟，阿莱士前场抢断后突入禁区右侧传球，维克托-桑切斯14码处劲射破门
47'鲁卡维纳将球处理出底线,西班牙人获得角球.                   47'巴拉多利德连扳2球，第75分钟，奥斯卡左路传中，格拉前点8码处头球破门
48'西班牙人球员D-洛佩斯拼抢犯规,对手获得控球权.                   47'巴拉多利德连扳2球，第75分钟，奥斯卡左路传中，格拉前点8码处头球破门
48'哈维-格拉为巴拉多利德赢得一个任意球.                   47'巴拉多利德连扳2球，第75分钟，奥斯卡左路传中，格拉前点8码处头球破门
50'西班牙人球员西芒拼抢犯规,对手获得控球权.                   47'巴拉多利德连扳2球，第75分钟，奥斯卡左路传中，格拉前点8码处头球破门
50'F-罗西为巴拉多利德在对方半场,赢得一个任意球.                   47'巴拉多利德连扳2球，第75分钟，奥斯卡左路传中，格拉前点8码处头球破门
