6'鲁能泰山队右路攻到前场，直传球给塔尔德利，对方把球破坏出底线                   6'第6分钟，王寿挺飞铲塔尔德利吃到黄牌
6'鲁能泰山队得到角球机会                   6'第6分钟，王寿挺飞铲塔尔德利吃到黄牌
6'王永珀发角球到禁区内，对方顶出来                   6'第6分钟，王寿挺飞铲塔尔德利吃到黄牌
6'塔尔德利前场得球，被对方放倒，主裁判根据有利原则没有吹，再把球转移到右路                   6'第6分钟，王寿挺飞铲塔尔德利吃到黄牌
7'王寿挺的这脚铲球亮鞋底了，主裁判给了黄牌！！轻了！                   6'第6分钟，王寿挺飞铲塔尔德利吃到黄牌
7'塔尔德利伤得不轻！！倒在地上                   6'第6分钟，王寿挺飞铲塔尔德利吃到黄牌
8'这在五大联赛的话，红牌会出的                   6'第6分钟，王寿挺飞铲塔尔德利吃到黄牌
8'王彤中场突破传球失误，上海申花队传球，被尤西雷抢断                   6'第6分钟，王寿挺飞铲塔尔德利吃到黄牌
8'后场上海申花队断球，大脚长传前场，登巴巴快速插上，对方护球出边线                   6'第6分钟，王寿挺飞铲塔尔德利吃到黄牌
9'登巴巴中场得球，交给王寿挺                   6'第6分钟，王寿挺飞铲塔尔德利吃到黄牌
9'上海申花队长传前场右路，直接传出底线                   6'第6分钟，王寿挺飞铲塔尔德利吃到黄牌
9'登巴巴中场得球，交给王寿挺                   9'第9分钟熊飞拉拽刘彬彬犯规也吃到黄牌，王永珀任意球远射稍稍打高
9'上海申花队长传前场右路，直接传出底线                   9'第9分钟熊飞拉拽刘彬彬犯规也吃到黄牌，王永珀任意球远射稍稍打高
10'上海申花队左路长传，王彤处理球不好，直接出边线                   9'第9分钟熊飞拉拽刘彬彬犯规也吃到黄牌，王永珀任意球远射稍稍打高
10'界外球发出来，王寿挺接应也失误                   9'第9分钟熊飞拉拽刘彬彬犯规也吃到黄牌，王永珀任意球远射稍稍打高
11'塔尔德利中前场得球直传禁区！！熊飞拉人犯规！！黄牌！                   9'第9分钟熊飞拉拽刘彬彬犯规也吃到黄牌，王永珀任意球远射稍稍打高
11'如果不拉人的话就是反越位球，这黄牌比较值                   9'第9分钟熊飞拉拽刘彬彬犯规也吃到黄牌，王永珀任意球远射稍稍打高
11'按照刘彬彬的速度，应该有射门，并极有可能进球的！所以熊飞的拉人黄牌值                   9'第9分钟熊飞拉拽刘彬彬犯规也吃到黄牌，王永珀任意球远射稍稍打高
11'王永珀发任意球直接一脚打门，稍稍高了一些！                   9'第9分钟熊飞拉拽刘彬彬犯规也吃到黄牌，王永珀任意球远射稍稍打高
12'王永珀右路突破，对方把球铲出边线                   9'第9分钟熊飞拉拽刘彬彬犯规也吃到黄牌，王永珀任意球远射稍稍打高
12'尤西雷中场传出球后王寿挺犯规                   9'第9分钟熊飞拉拽刘彬彬犯规也吃到黄牌，王永珀任意球远射稍稍打高
15'上海申花队长传球，曹赟定禁区内在三人追逼下斜传球，直接出底线                   15'第15分钟陶金回传过轻，塔尔德利快速冲击，人球过分耿晓峰，但回防迅速的李建滨把球抢先踢出
16'阿洛伊西奥在前场得球，横带太多了些，把球丢啦                   15'第15分钟陶金回传过轻，塔尔德利快速冲击，人球过分耿晓峰，但回防迅速的李建滨把球抢先踢出
16'登巴巴左路接球，强突横传，被挡出底线                   15'第15分钟陶金回传过轻，塔尔德利快速冲击，人球过分耿晓峰，但回防迅速的李建滨把球抢先踢出
16'这球给了鲁能泰山队门球，是登巴巴把球传出底线                   15'第15分钟陶金回传过轻，塔尔德利快速冲击，人球过分耿晓峰，但回防迅速的李建滨把球抢先踢出
17'塔尔德利啊！前场接球后晃过门将形成空门，多好的机会啊，横传得太靠后了，被对方后卫破坏                   15'第15分钟陶金回传过轻，塔尔德利快速冲击，人球过分耿晓峰，但回防迅速的李建滨把球抢先踢出
17'角球发到禁区内，对方破坏出来，郑铮抢球出边线                   15'第15分钟陶金回传过轻，塔尔德利快速冲击，人球过分耿晓峰，但回防迅速的李建滨把球抢先踢出
17'卡希尔传球时郑铮手球犯规，吃到了黄牌                   15'第15分钟陶金回传过轻，塔尔德利快速冲击，人球过分耿晓峰，但回防迅速的李建滨把球抢先踢出
18'这不是手球比赛，没有必须用手去打吧                   15'第15分钟陶金回传过轻，塔尔德利快速冲击，人球过分耿晓峰，但回防迅速的李建滨把球抢先踢出
18'任意球发出来传到禁区内，王大雷出击没收                   15'第15分钟陶金回传过轻，塔尔德利快速冲击，人球过分耿晓峰，但回防迅速的李建滨把球抢先踢出
18'上海申花队左路长传，王彤把球顶出边线                   15'第15分钟陶金回传过轻，塔尔德利快速冲击，人球过分耿晓峰，但回防迅速的李建滨把球抢先踢出
20'蒿俊闵右路横传禁区，对方抢点破坏出边线                   20'第20分钟阿洛依西奥右路靠身体和技巧，摆脱李建滨后小角度射门，但被熊飞挡出界外
21'界外球发出来，鲁能泰山队右路横传，李建滨把球破坏                   20'第20分钟阿洛依西奥右路靠身体和技巧，摆脱李建滨后小角度射门，但被熊飞挡出界外
21'蒿俊闵接球，右路强突，对方破坏                   20'第20分钟阿洛依西奥右路靠身体和技巧，摆脱李建滨后小角度射门，但被熊飞挡出界外
21'界外球发出来，阿洛伊西奥接球右路突破到禁区内，李建滨挡出底线，鲁能泰山队得到角球机会                   20'第20分钟阿洛依西奥右路靠身体和技巧，摆脱李建滨后小角度射门，但被熊飞挡出界外
22'角球发到禁区内，对方控下来，但出现失误，鲁能泰山队断球右路横传，阿洛伊西奥转身打门被挡出来                   20'第20分钟阿洛依西奥右路靠身体和技巧，摆脱李建滨后小角度射门，但被熊飞挡出界外
22'后场乌索接球失误，球出边线                   20'第20分钟阿洛依西奥右路靠身体和技巧，摆脱李建滨后小角度射门，但被熊飞挡出界外
23'登巴巴前场接球一对一突破，王彤将球抢断下来                   20'第20分钟阿洛依西奥右路靠身体和技巧，摆脱李建滨后小角度射门，但被熊飞挡出界外
23'鲁能泰山队长传球到前场，阿洛伊西奥抢球时手上有动作                   20'第20分钟阿洛依西奥右路靠身体和技巧，摆脱李建滨后小角度射门，但被熊飞挡出界外
25'乌索后场得球，回传给王大雷                   25'第25分钟卡希尔背后踢倒若西雷吃到黄牌
25'尤西雷后场控球，卡希尔推人犯规                   25'第25分钟卡希尔背后踢倒若西雷吃到黄牌
25'双方发生了争执，卡希尔与尤西雷有些小冲突                   25'第25分钟卡希尔背后踢倒若西雷吃到黄牌
26'主裁判给卡希尔出示了黄牌，难怪尤西雷火了，是在后面连推带踢啊！                   25'第25分钟卡希尔背后踢倒若西雷吃到黄牌
27'上海申花队手球犯规！点球！                   25'第25分钟卡希尔背后踢倒若西雷吃到黄牌
27'王大雷大脚开球到前场，蒿俊闵右路下底横传，乌索转身打门，对方手球犯规！                   25'第25分钟卡希尔背后踢倒若西雷吃到黄牌
27'手球犯规的是卡希尔，他刚刚吃过黄牌！                   25'第25分钟卡希尔背后踢倒若西雷吃到黄牌
28'阿洛伊西奥主罚点球，也是打右下角，耿晓峰也是扑错了方向，把球打进！                   25'第25分钟卡希尔背后踢倒若西雷吃到黄牌
28'阿洛伊西奥进球后改变了庆祝方式，去亲吻了角旗！                   25'第25分钟卡希尔背后踢倒若西雷吃到黄牌
28'双方又回到同一起跑线上！                   25'第25分钟卡希尔背后踢倒若西雷吃到黄牌
32'蒿俊闵右路突破横传给阿洛伊西奥，对方将球破坏出边线                   32'重新回到同一起点的两队，似乎都平静了一些，场面也变得相对均势，第32分钟王寿挺远射打偏
32'界外球发出来，鲁能泰山队回传王大雷                   32'重新回到同一起点的两队，似乎都平静了一些，场面也变得相对均势，第32分钟王寿挺远射打偏
32'中场鲁能泰山队抢球犯规                   32'重新回到同一起点的两队，似乎都平静了一些，场面也变得相对均势，第32分钟王寿挺远射打偏
