22'大禁区前沿右侧巴舒亚伊射一脚！被后卫挡出底线！                   22'切尔西第22分钟取得领先，巴舒亚伊禁区内射门被普罗德尔挡出
22'切尔西右侧角球！                   22'切尔西第22分钟取得领先，巴舒亚伊禁区内射门被普罗德尔挡出
22'皮球吊向小禁区前沿！特里头球攻门！                   22'切尔西第22分钟取得领先，巴舒亚伊禁区内射门被普罗德尔挡出
23'不不不！还是用脚捅射！                   22'切尔西第22分钟取得领先，巴舒亚伊禁区内射门被普罗德尔挡出
23'进了进了进了！！！！！！                   22'切尔西第22分钟取得领先，巴舒亚伊禁区内射门被普罗德尔挡出
23'切尔西暂时1-0领先！                   22'切尔西第22分钟取得领先，巴舒亚伊禁区内射门被普罗德尔挡出
23'特里后插上左脚捅射！1-0！！                   22'切尔西第22分钟取得领先，巴舒亚伊禁区内射门被普罗德尔挡出
24'回到比赛！这边禁区里面卡普埃头球！进了！！！                   22'切尔西第22分钟取得领先，巴舒亚伊禁区内射门被普罗德尔挡出
24'啥情况！扳平了！                   22'切尔西第22分钟取得领先，巴舒亚伊禁区内射门被普罗德尔挡出
25'特里禁区左侧解围失误！卡普埃插上头球破门！瞬间扳平！                   22'切尔西第22分钟取得领先，巴舒亚伊禁区内射门被普罗德尔挡出
25'我们继续回到比赛！                   22'切尔西第22分钟取得领先，巴舒亚伊禁区内射门被普罗德尔挡出
25'左路扬马特回敲普勒德尔！头球摆渡到另一侧！                   22'切尔西第22分钟取得领先，巴舒亚伊禁区内射门被普罗德尔挡出
24'回到比赛！这边禁区里面卡普埃头球！进了！！！                   24'沃特福德第24分钟扳平，扬马特左路传中被顶出，但特里非受迫下头球解围失误，卡普埃小禁区前头球破门，1-1
24'啥情况！扳平了！                   24'沃特福德第24分钟扳平，扬马特左路传中被顶出，但特里非受迫下头球解围失误，卡普埃小禁区前头球破门，1-1
25'特里禁区左侧解围失误！卡普埃插上头球破门！瞬间扳平！                   24'沃特福德第24分钟扳平，扬马特左路传中被顶出，但特里非受迫下头球解围失误，卡普埃小禁区前头球破门，1-1
25'我们继续回到比赛！                   24'沃特福德第24分钟扳平，扬马特左路传中被顶出，但特里非受迫下头球解围失误，卡普埃小禁区前头球破门，1-1
25'左路扬马特回敲普勒德尔！头球摆渡到另一侧！                   24'沃特福德第24分钟扳平，扬马特左路传中被顶出，但特里非受迫下头球解围失误，卡普埃小禁区前头球破门，1-1
