1'上半场比赛由马德里竞技率先中圈开球！                   1'巴萨第1分钟控制比赛，梅西禁区内射门被封堵，拉基蒂奇头球攻门被救下
1'巴塞罗那身穿红蓝相间球衣                   1'巴萨第1分钟控制比赛，梅西禁区内射门被封堵，拉基蒂奇头球攻门被救下
2'阿拉巴长传右路，被卡拉斯科断下                   1'巴萨第1分钟控制比赛，梅西禁区内射门被封堵，拉基蒂奇头球攻门被救下
2'马德里竞技前场配合失误                   1'巴萨第1分钟控制比赛，梅西禁区内射门被封堵，拉基蒂奇头球攻门被救下
2'仍然是巴塞罗那后场倒脚                   1'巴萨第1分钟控制比赛，梅西禁区内射门被封堵，拉基蒂奇头球攻门被救下
3'值得一提的是刚才结束的一场比赛，皇马1-1与比利亚雷亚尔战平。这给了巴萨迎头赶上的机会                   1'巴萨第1分钟控制比赛，梅西禁区内射门被封堵，拉基蒂奇头球攻门被救下
3'马斯切拉诺传给布斯克茨                   1'巴萨第1分钟控制比赛，梅西禁区内射门被封堵，拉基蒂奇头球攻门被救下
3'内马尔控球分给阿拉巴                   1'巴萨第1分钟控制比赛，梅西禁区内射门被封堵，拉基蒂奇头球攻门被救下
4'起球传中被萨维奇将球踢出禁区                   1'巴萨第1分钟控制比赛，梅西禁区内射门被封堵，拉基蒂奇头球攻门被救下
4'梅西中路得球分右侧，罗贝托倒三角传中，梅西打门击中了加比                   1'巴萨第1分钟控制比赛，梅西禁区内射门被封堵，拉基蒂奇头球攻门被救下
40'回复 weixiao123456 04:37 举报回复 马竞的铁桶不好破啊，而且反击打起来那几次射门危险还挺大（反击力度还是欠缺)                   40'巴萨第40分钟打破僵局，伊涅斯塔左路战术角球传中，无人防守的拉基蒂奇小禁区边缘头球破门
40'皮克压到对方半场，分给罗贝托再一顺                   40'巴萨第40分钟打破僵局，伊涅斯塔左路战术角球传中，无人防守的拉基蒂奇小禁区边缘头球破门
40'拉基蒂奇传中过不了戈丁                   40'巴萨第40分钟打破僵局，伊涅斯塔左路战术角球传中，无人防守的拉基蒂奇小禁区边缘头球破门
40'梅西中路开始突，格里兹曼回来将球解围                   40'巴萨第40分钟打破僵局，伊涅斯塔左路战术角球传中，无人防守的拉基蒂奇小禁区边缘头球破门
41'伊涅斯塔左路传肋部，阿尔巴手直传中被奥布拉克封出底线                   40'巴萨第40分钟打破僵局，伊涅斯塔左路战术角球传中，无人防守的拉基蒂奇小禁区边缘头球破门
41'内马尔发战术角球                   40'巴萨第40分钟打破僵局，伊涅斯塔左路战术角球传中，无人防守的拉基蒂奇小禁区边缘头球破门
41'伊涅斯塔斜传禁区，拉基蒂奇甩头攻门，球进了！                   40'巴萨第40分钟打破僵局，伊涅斯塔左路战术角球传中，无人防守的拉基蒂奇小禁区边缘头球破门
41'这个球，马德里竞技防守漏掉了拉基蒂奇                   40'巴萨第40分钟打破僵局，伊涅斯塔左路战术角球传中，无人防守的拉基蒂奇小禁区边缘头球破门
42'巴塞罗那在主场围攻了半场后终于先开纪录                   40'巴萨第40分钟打破僵局，伊涅斯塔左路战术角球传中，无人防守的拉基蒂奇小禁区边缘头球破门
42'科凯直传失误                   40'巴萨第40分钟打破僵局，伊涅斯塔左路战术角球传中，无人防守的拉基蒂奇小禁区边缘头球破门
42'控球率，马德里竞技只有29%                   40'巴萨第40分钟打破僵局，伊涅斯塔左路战术角球传中，无人防守的拉基蒂奇小禁区边缘头球破门
43'路易斯左路的盘带，格里兹曼接应                   40'巴萨第40分钟打破僵局，伊涅斯塔左路战术角球传中，无人防守的拉基蒂奇小禁区边缘头球破门
43'格里兹曼变向被伊涅斯塔绊倒                   40'巴萨第40分钟打破僵局，伊涅斯塔左路战术角球传中，无人防守的拉基蒂奇小禁区边缘头球破门
43'马德里竞技获得一个位置不错的任意球机会                   40'巴萨第40分钟打破僵局，伊涅斯塔左路战术角球传中，无人防守的拉基蒂奇小禁区边缘头球破门
61'科雷阿刚上场，中路的摆脱，马斯切拉诺滑倒了，科雷阿一脚低射，球击中立柱内侧入网！                   61'马竞第61分钟扳平比分，托雷斯传球，马斯切拉诺滑倒让21岁前锋科雷亚有机会在禁区边缘射入右下角，1-1
62'首先是图兰的中场犯规，马德里竞技快发任意球，刚上场的托雷斯接应脚后跟传球，科雷阿插上得球变向，马斯切拉诺滑倒，科雷阿低射破网！                   61'马竞第61分钟扳平比分，托雷斯传球，马斯切拉诺滑倒让21岁前锋科雷亚有机会在禁区边缘射入右下角，1-1
63'托雷斯换下的是科凯                   61'马竞第61分钟扳平比分，托雷斯传球，马斯切拉诺滑倒让21岁前锋科雷亚有机会在禁区边缘射入右下角，1-1
63'这样对于巴萨来说是非常不利                   61'马竞第61分钟扳平比分，托雷斯传球，马斯切拉诺滑倒让21岁前锋科雷亚有机会在禁区边缘射入右下角，1-1
63'伊涅斯塔的传球，出了边线                   61'马竞第61分钟扳平比分，托雷斯传球，马斯切拉诺滑倒让21岁前锋科雷亚有机会在禁区边缘射入右下角，1-1
