1'上半场比赛已经开始！！                   1'曼联第1分钟打出积极攻势，但面对瓦伦西亚的收缩防守缺乏真正威胁
3'瓦伦西亚中场拿球给到边路                   1'曼联第1分钟打出积极攻势，但面对瓦伦西亚的收缩防守缺乏真正威胁
4'拉什福德左路拿球到底线                   1'曼联第1分钟打出积极攻势，但面对瓦伦西亚的收缩防守缺乏真正威胁
86'曼联左路拿球被侵犯                   86'第86分钟，马夏尔左边路突破至禁区边缘外赢得任意球，拉什福德小角度直接射门打中横梁上沿弹出
86'任意球给到后点                   86'第86分钟，马夏尔左边路突破至禁区边缘外赢得任意球，拉什福德小角度直接射门打中横梁上沿弹出
86'击中横梁上沿弹了出去                   86'第86分钟，马夏尔左边路突破至禁区边缘外赢得任意球，拉什福德小角度直接射门打中横梁上沿弹出
86'卢卡库得到一张黄牌                   86'第86分钟，马夏尔左边路突破至禁区边缘外赢得任意球，拉什福德小角度直接射门打中横梁上沿弹出
86'曼联断球了！！                   86'第86分钟，马夏尔左边路突破至禁区边缘外赢得任意球，拉什福德小角度直接射门打中横梁上沿弹出
87'前场的反击                   86'第86分钟，马夏尔左边路突破至禁区边缘外赢得任意球，拉什福德小角度直接射门打中横梁上沿弹出
87'分到了右路                   86'第86分钟，马夏尔左边路突破至禁区边缘外赢得任意球，拉什福德小角度直接射门打中横梁上沿弹出
87'拜年了起球                   86'第86分钟，马夏尔左边路突破至禁区边缘外赢得任意球，拉什福德小角度直接射门打中横梁上沿弹出
87'没有打起来                   86'第86分钟，马夏尔左边路突破至禁区边缘外赢得任意球，拉什福德小角度直接射门打中横梁上沿弹出
87'加亚又得到一张黄牌！！                   86'第86分钟，马夏尔左边路突破至禁区边缘外赢得任意球，拉什福德小角度直接射门打中横梁上沿弹出
87'曼联的角球                   86'第86分钟，马夏尔左边路突破至禁区边缘外赢得任意球，拉什福德小角度直接射门打中横梁上沿弹出
88'角球送中路                   86'第86分钟，马夏尔左边路突破至禁区边缘外赢得任意球，拉什福德小角度直接射门打中横梁上沿弹出
88'卢卡库头球冲顶                   86'第86分钟，马夏尔左边路突破至禁区边缘外赢得任意球，拉什福德小角度直接射门打中横梁上沿弹出
88'高出横梁                   86'第86分钟，马夏尔左边路突破至禁区边缘外赢得任意球，拉什福德小角度直接射门打中横梁上沿弹出
