7'夸德拉多左路被断球，丹布罗西奥传中                   7'开场仅7分钟，国米首次射门就取得领先
7'博努奇头球蹭出远门柱，继续角球                   7'开场仅7分钟，国米首次射门就取得领先
7'角球被顶出                   7'开场仅7分钟，国米首次射门就取得领先
7'国米进球了！！！世界波！！！！！                   7'开场仅7分钟，国米首次射门就取得领先
8'纳英戈兰！！！超级世界波！！！！                   7'开场仅7分钟，国米首次射门就取得领先
8'角球去前点被博努奇顶出，禁区前纳英戈兰直接凌空迎球爆射远角，斯泽斯尼扑到皮球也没能阻止入网                   7'开场仅7分钟，国米首次射门就取得领先
8'国米1-0领尤文                   7'开场仅7分钟，国米首次射门就取得领先
9'贝尔纳戴斯基左路接应直塞，越位                   7'开场仅7分钟，国米首次射门就取得领先
10'尤文前场顶防，国米横向转移球                   7'开场仅7分钟，国米首次射门就取得领先
10'坎塞洛右路直塞夸德拉多                   7'开场仅7分钟，国米首次射门就取得领先
10'回敲一步，坎塞洛传中被顶出                   7'开场仅7分钟，国米首次射门就取得领先
10'外围基耶利尼卸球，凌空打一脚打偏                   7'开场仅7分钟，国米首次射门就取得领先
31'夸德拉多中场接应，转身向前                   31'C罗第31分钟才有首次射门，接应阿莱士-桑德罗左路回敲，在门前27米处抽射高出
31'桑德罗左路摆脱，横敲禁区前                   31'C罗第31分钟才有首次射门，接应阿莱士-桑德罗左路回敲，在门前27米处抽射高出
31'C罗张弓搭箭，远射高出横梁                   31'C罗第31分钟才有首次射门，接应阿莱士-桑德罗左路回敲，在门前27米处抽射高出
32'波利塔诺右路拿球，进禁区                   31'C罗第31分钟才有首次射门，接应阿莱士-桑德罗左路回敲，在门前27米处抽射高出
32'横走没有起脚空间，被捅掉                   31'C罗第31分钟才有首次射门，接应阿莱士-桑德罗左路回敲，在门前27米处抽射高出
33'伊卡尔迪禁区前阻挡了断球的马图伊迪                   31'C罗第31分钟才有首次射门，接应阿莱士-桑德罗左路回敲，在门前27米处抽射高出
33'贝尔纳戴斯基左路拿球传中，被德弗莱封堵                   31'C罗第31分钟才有首次射门，接应阿莱士-桑德罗左路回敲，在门前27米处抽射高出
34'詹中场护球，被布罗佐维奇绊倒                   31'C罗第31分钟才有首次射门，接应阿莱士-桑德罗左路回敲，在门前27米处抽射高出
62'尤文进球了！！！                   62'C罗第62分钟追平比分
62'C罗！                   62'C罗第62分钟追平比分
62'C罗右侧肋部和队友踢墙配合，禁区角上低射近角破门                   62'C罗第62分钟追平比分
62'国米1-1被尤文追平                   62'C罗第62分钟追平比分
63'布罗佐维奇斜传禁区左侧，坎塞洛解围，角球                   62'C罗第62分钟追平比分
64'佩里西奇角球去门前被顶出                   62'C罗第62分钟追平比分
65'伊卡尔迪禁区左侧回敲                   62'C罗第62分钟追平比分
65'佩里西奇左路起球被解围                   62'C罗第62分钟追平比分
