12'朴成组织，，回敲给吕鹏                   12'第12分钟，比埃拉中路直塞，巴坎布反越位插入禁区，张鹭及时迎上将球拦截
12'在给到于洋，，，斜传，左侧给比埃拉                   12'第12分钟，比埃拉中路直塞，巴坎布反越位插入禁区，张鹭及时迎上将球拦截
12'横敲到中路，被断了                   12'第12分钟，比埃拉中路直塞，巴坎布反越位插入禁区，张鹭及时迎上将球拦截
12'帕托前场右侧拿球                   12'第12分钟，比埃拉中路直塞，巴坎布反越位插入禁区，张鹭及时迎上将球拦截
12'被包夹，，球还是丢了                   12'第12分钟，比埃拉中路直塞，巴坎布反越位插入禁区，张鹭及时迎上将球拦截
13'中路巴坎布插上，，，国安想来个快攻，但是越位了                   12'第12分钟，比埃拉中路直塞，巴坎布反越位插入禁区，张鹭及时迎上将球拦截
13'权健右侧后场定位球                   12'第12分钟，比埃拉中路直塞，巴坎布反越位插入禁区，张鹭及时迎上将球拦截
13'给到中路，赵旭日，到了禁区左侧                   12'第12分钟，比埃拉中路直塞，巴坎布反越位插入禁区，张鹭及时迎上将球拦截
13'回敲一下，传失误了，出界                   12'第12分钟，比埃拉中路直塞，巴坎布反越位插入禁区，张鹭及时迎上将球拦截
13'姜涛右路拿球，横敲，找朴成                   12'第12分钟，比埃拉中路直塞，巴坎布反越位插入禁区，张鹭及时迎上将球拦截
13'让给奥古斯托，挑传                   12'第12分钟，比埃拉中路直塞，巴坎布反越位插入禁区，张鹭及时迎上将球拦截
14'球到了禁区左侧，，郑达伦把球拦截                   12'第12分钟，比埃拉中路直塞，巴坎布反越位插入禁区，张鹭及时迎上将球拦截
14'解围出来，，还是回到奥古斯托脚下                   12'第12分钟，比埃拉中路直塞，巴坎布反越位插入禁区，张鹭及时迎上将球拦截
14'分给朴成，，，池忠国来拿球，，回敲吕鹏                   12'第12分钟，比埃拉中路直塞，巴坎布反越位插入禁区，张鹭及时迎上将球拦截
14'分左侧，，直接出了边线                   12'第12分钟，比埃拉中路直塞，巴坎布反越位插入禁区，张鹭及时迎上将球拦截
14'右侧权健界外球                   12'第12分钟，比埃拉中路直塞，巴坎布反越位插入禁区，张鹭及时迎上将球拦截
14'给到帕托，停大了，，，奥古斯托拦截                   12'第12分钟，比埃拉中路直塞，巴坎布反越位插入禁区，张鹭及时迎上将球拦截
15'分右路找姜涛，，跟进，，到了前场                   12'第12分钟，比埃拉中路直塞，巴坎布反越位插入禁区，张鹭及时迎上将球拦截
15'横敲，中路给比埃拉                   12'第12分钟，比埃拉中路直塞，巴坎布反越位插入禁区，张鹭及时迎上将球拦截
15'挑传到禁区右肋                   12'第12分钟，比埃拉中路直塞，巴坎布反越位插入禁区，张鹭及时迎上将球拦截
15'奥古斯托插上得球                   12'第12分钟，比埃拉中路直塞，巴坎布反越位插入禁区，张鹭及时迎上将球拦截
15'底线附近，，在传                   12'第12分钟，比埃拉中路直塞，巴坎布反越位插入禁区，张鹭及时迎上将球拦截
15'到了禁区左侧，朴成后点拿到，回敲                   12'第12分钟，比埃拉中路直塞，巴坎布反越位插入禁区，张鹭及时迎上将球拦截
15'中路池忠国， 再送直塞                   12'第12分钟，比埃拉中路直塞，巴坎布反越位插入禁区，张鹭及时迎上将球拦截
15'禁区内巴坎布插上                   12'第12分钟，比埃拉中路直塞，巴坎布反越位插入禁区，张鹭及时迎上将球拦截
26'分到了右路于大宝，，挑传                   26'第26分钟，国安右路快速发出界外球，巴坎布前插传中，中路跟进的奥古斯托头球顶高
26'第一点权敬源头球顶出界外                   26'第26分钟，国安右路快速发出界外球，巴坎布前插传中，中路跟进的奥古斯托头球顶高
26'右路界外球，，给弧顶                   26'第26分钟，国安右路快速发出界外球，巴坎布前插传中，中路跟进的奥古斯托头球顶高
26'比埃拉，，外围跟上，射门，，被挡出                   26'第26分钟，国安右路快速发出界外球，巴坎布前插传中，中路跟进的奥古斯托头球顶高
26'池忠国，，分右侧给奥古斯托                   26'第26分钟，国安右路快速发出界外球，巴坎布前插传中，中路跟进的奥古斯托头球顶高
26'再给中路朴成，，回敲雷腾龙                   26'第26分钟，国安右路快速发出界外球，巴坎布前插传中，中路跟进的奥古斯托头球顶高
26'分左侧的朴成，，再给前场中路比埃拉                   26'第26分钟，国安右路快速发出界外球，巴坎布前插传中，中路跟进的奥古斯托头球顶高
27'球没拿好，被断了                   26'第26分钟，国安右路快速发出界外球，巴坎布前插传中，中路跟进的奥古斯托头球顶高
27'张修维拿球，，往回带，控制一下                   26'第26分钟，国安右路快速发出界外球，巴坎布前插传中，中路跟进的奥古斯托头球顶高
27'后场给中路刘奕鸣                   26'第26分钟，国安右路快速发出界外球，巴坎布前插传中，中路跟进的奥古斯托头球顶高
27'大脚开起来                   26'第26分钟，国安右路快速发出界外球，巴坎布前插传中，中路跟进的奥古斯托头球顶高
27'国安把球控制，，右侧给到姜涛                   26'第26分钟，国安右路快速发出界外球，巴坎布前插传中，中路跟进的奥古斯托头球顶高
27'右路起高球，，到了后点                   26'第26分钟，国安右路快速发出界外球，巴坎布前插传中，中路跟进的奥古斯托头球顶高
27'权健把球解围出来                   26'第26分钟，国安右路快速发出界外球，巴坎布前插传中，中路跟进的奥古斯托头球顶高
27'国安后场于洋拿球                   26'第26分钟，国安右路快速发出界外球，巴坎布前插传中，中路跟进的奥古斯托头球顶高
27'分身前的朴成，，分右路给姜涛                   26'第26分钟，国安右路快速发出界外球，巴坎布前插传中，中路跟进的奥古斯托头球顶高
28'回做给到池忠国                   26'第26分钟，国安右路快速发出界外球，巴坎布前插传中，中路跟进的奥古斯托头球顶高
28'直传前场，，中路还是奥古斯托                   26'第26分钟，国安右路快速发出界外球，巴坎布前插传中，中路跟进的奥古斯托头球顶高
28'分右路的姜涛，跟进过来，低球传中                   26'第26分钟，国安右路快速发出界外球，巴坎布前插传中，中路跟进的奥古斯托头球顶高
28'权敬源把球破坏出了边线                   26'第26分钟，国安右路快速发出界外球，巴坎布前插传中，中路跟进的奥古斯托头球顶高
28'前场右路，，界外球，给出来                   26'第26分钟，国安右路快速发出界外球，巴坎布前插传中，中路跟进的奥古斯托头球顶高
28'直接右侧的吊入禁区内，，，奥古斯托                   26'第26分钟，国安右路快速发出界外球，巴坎布前插传中，中路跟进的奥古斯托头球顶高
28'在包夹之下，勉强的抢点，，，没碰到，球出界了                   26'第26分钟，国安右路快速发出界外球，巴坎布前插传中，中路跟进的奥古斯托头球顶高
28'权健门球，，开出来                   26'第26分钟，国安右路快速发出界外球，巴坎布前插传中，中路跟进的奥古斯托头球顶高
29'吊向中圈，，，杨旭拼抢犯规了                   26'第26分钟，国安右路快速发出界外球，巴坎布前插传中，中路跟进的奥古斯托头球顶高
29'国安定位球，，于洋大脚往前走                   26'第26分钟，国安右路快速发出界外球，巴坎布前插传中，中路跟进的奥古斯托头球顶高
29'左侧刘奕鸣把球顶出                   26'第26分钟，国安右路快速发出界外球，巴坎布前插传中，中路跟进的奥古斯托头球顶高
29'郑达伦拿球，直传，，于大宝断下                   26'第26分钟，国安右路快速发出界外球，巴坎布前插传中，中路跟进的奥古斯托头球顶高
29'交给朴成，再分池忠国，回敲朴成                   26'第26分钟，国安右路快速发出界外球，巴坎布前插传中，中路跟进的奥古斯托头球顶高
29'朴成分右路比埃拉                   26'第26分钟，国安右路快速发出界外球，巴坎布前插传中，中路跟进的奥古斯托头球顶高
29'右侧突破，，赵旭日防守犯规了                   26'第26分钟，国安右路快速发出界外球，巴坎布前插传中，中路跟进的奥古斯托头球顶高
29'前场右路定位球                   26'第26分钟，国安右路快速发出界外球，巴坎布前插传中，中路跟进的奥古斯托头球顶高
36'直传中圈右侧的帕托                   36'第36分钟，权健连续冲击中再次形成威胁攻势：孙可禁区前起脚打出弧线球，皮球击中横梁
36'帕托拿球奔袭向前，，，速度飞快                   36'第36分钟，权健连续冲击中再次形成威胁攻势：孙可禁区前起脚打出弧线球，皮球击中横梁
36'前场单枪匹马啊，，遭到了破坏                   36'第36分钟，权健连续冲击中再次形成威胁攻势：孙可禁区前起脚打出弧线球，皮球击中横梁
36'外围张修维得球，，再给弧顶附近                   36'第36分钟，权健连续冲击中再次形成威胁攻势：孙可禁区前起脚打出弧线球，皮球击中横梁
36'张可拿球，，，外围来一脚                   36'第36分钟，权健连续冲击中再次形成威胁攻势：孙可禁区前起脚打出弧线球，皮球击中横梁
