1'上半场比赛开始了！                   1'比赛第1分钟就呈现开放性
1'上半场由阿森纳率先中圈开球                   1'比赛第1分钟就呈现开放性
1'张伯伦右路的长传，厄齐尔传中被琼斯解围出边线                   1'比赛第1分钟就呈现开放性
2'由于刚才利物浦被南安普敦逼平，本场比赛双红会会更有战意                   1'比赛第1分钟就呈现开放性
2'鲁尼的突破被蒙雷亚尔抢断                   1'比赛第1分钟就呈现开放性
2'转移给张伯伦，长传上来，图安泽贝回传给德赫亚                   1'比赛第1分钟就呈现开放性
2'卡里克回传给德赫亚                   1'比赛第1分钟就呈现开放性
2'马塔右路拿球回传给姆希塔良                   1'比赛第1分钟就呈现开放性
3'再交给马塔，传中，鲁尼争顶顶高了                   1'比赛第1分钟就呈现开放性
3'姆希塔良掷界外球，卡里克接应回传给琼斯                   1'比赛第1分钟就呈现开放性
3'卡里克要球，分给图安泽贝                   1'比赛第1分钟就呈现开放性
3'再转移给琼斯                   1'比赛第1分钟就呈现开放性
4'传左路，姆希塔良先要位置，张伯伦铲倒了姆希塔良                   1'比赛第1分钟就呈现开放性
4'曼联左路的任意球机会                   1'比赛第1分钟就呈现开放性
4'鲁尼直接旋向门里，切赫将球抱住                   1'比赛第1分钟就呈现开放性
9'鲁尼发角球到后点，这里没有曼联球员                   9'阿森纳第9分钟也险些破门，桑切斯送出精准直传，拉姆塞禁区右肋10码处抢在琼斯封堵前低射远角被德赫亚扑出
9'桑切斯交给厄齐尔                   9'阿森纳第9分钟也险些破门，桑切斯送出精准直传，拉姆塞禁区右肋10码处抢在琼斯封堵前低射远角被德赫亚扑出
9'交给桑切斯，直传到禁区                   9'阿森纳第9分钟也险些破门，桑切斯送出精准直传，拉姆塞禁区右肋10码处抢在琼斯封堵前低射远角被德赫亚扑出
9'拉姆塞插上面对德赫亚打远角，德赫亚极速倒地将球挡出底线                   9'阿森纳第9分钟也险些破门，桑切斯送出精准直传，拉姆塞禁区右肋10码处抢在琼斯封堵前低射远角被德赫亚扑出
10'厄齐尔发前点，混战间德赫亚将球没收                   9'阿森纳第9分钟也险些破门，桑切斯送出精准直传，拉姆塞禁区右肋10码处抢在琼斯封堵前低射远角被德赫亚扑出
10'姆希塔良回传给卡里克，交给鲁尼                   9'阿森纳第9分钟也险些破门，桑切斯送出精准直传，拉姆塞禁区右肋10码处抢在琼斯封堵前低射远角被德赫亚扑出
10'回传给图安泽贝                   9'阿森纳第9分钟也险些破门，桑切斯送出精准直传，拉姆塞禁区右肋10码处抢在琼斯封堵前低射远角被德赫亚扑出
10'传到中路，再转移给达米安                   9'阿森纳第9分钟也险些破门，桑切斯送出精准直传，拉姆塞禁区右肋10码处抢在琼斯封堵前低射远角被德赫亚扑出
10'马夏尔接应分给姆希塔良                   9'阿森纳第9分钟也险些破门，桑切斯送出精准直传，拉姆塞禁区右肋10码处抢在琼斯封堵前低射远角被德赫亚扑出
10'回传给埃雷拉                   9'阿森纳第9分钟也险些破门，桑切斯送出精准直传，拉姆塞禁区右肋10码处抢在琼斯封堵前低射远角被德赫亚扑出
11'马塔拉到左路                   9'阿森纳第9分钟也险些破门，桑切斯送出精准直传，拉姆塞禁区右肋10码处抢在琼斯封堵前低射远角被德赫亚扑出
11'卡里克护球，回传给德赫亚                   9'阿森纳第9分钟也险些破门，桑切斯送出精准直传，拉姆塞禁区右肋10码处抢在琼斯封堵前低射远角被德赫亚扑出
11'德赫亚长传上来，霍尔丁顶一下                   9'阿森纳第9分钟也险些破门，桑切斯送出精准直传，拉姆塞禁区右肋10码处抢在琼斯封堵前低射远角被德赫亚扑出
11'马塔拿到第二点                   9'阿森纳第9分钟也险些破门，桑切斯送出精准直传，拉姆塞禁区右肋10码处抢在琼斯封堵前低射远角被德赫亚扑出
11'马夏尔接应回传给卡里克                   9'阿森纳第9分钟也险些破门，桑切斯送出精准直传，拉姆塞禁区右肋10码处抢在琼斯封堵前低射远角被德赫亚扑出
11'分给姆希塔良                   9'阿森纳第9分钟也险些破门，桑切斯送出精准直传，拉姆塞禁区右肋10码处抢在琼斯封堵前低射远角被德赫亚扑出
11'回传给达米安，再交给琼斯                   9'阿森纳第9分钟也险些破门，桑切斯送出精准直传，拉姆塞禁区右肋10码处抢在琼斯封堵前低射远角被德赫亚扑出
11'转移给了图安泽贝                   9'阿森纳第9分钟也险些破门，桑切斯送出精准直传，拉姆塞禁区右肋10码处抢在琼斯封堵前低射远角被德赫亚扑出
12'交给卡里克，图安泽贝接应转身回给马塔                   9'阿森纳第9分钟也险些破门，桑切斯送出精准直传，拉姆塞禁区右肋10码处抢在琼斯封堵前低射远角被德赫亚扑出
12'转移给琼斯                   9'阿森纳第9分钟也险些破门，桑切斯送出精准直传，拉姆塞禁区右肋10码处抢在琼斯封堵前低射远角被德赫亚扑出
12'卡里克接应长传找到了姆希塔良，越位                   9'阿森纳第9分钟也险些破门，桑切斯送出精准直传，拉姆塞禁区右肋10码处抢在琼斯封堵前低射远角被德赫亚扑出
32'阿森纳后场球员玩火                   32'曼联第32分钟险些破门，霍尔丁在马夏尔紧逼下底线附近横传，科斯切尔尼让球，从其背后抄出的鲁尼禁区左侧8码处单刀射门被切赫挡出近角
32'霍尔丁的回传，鲁尼从科斯切尔尼背后钻出不同类型                   32'曼联第32分钟险些破门，霍尔丁在马夏尔紧逼下底线附近横传，科斯切尔尼让球，从其背后抄出的鲁尼禁区左侧8码处单刀射门被切赫挡出近角
32'鲁尼的打门被切赫封出底线                   32'曼联第32分钟险些破门，霍尔丁在马夏尔紧逼下底线附近横传，科斯切尔尼让球，从其背后抄出的鲁尼禁区左侧8码处单刀射门被切赫挡出近角
