1'上半场比赛开始！！                   1'双方第1分钟对抗激烈，毕尔巴鄂左路的科尔多巴和尤里先后得到黄牌
1'白衣白裤的皇马开球，从左向右进攻！                   1'双方第1分钟对抗激烈，毕尔巴鄂左路的科尔多巴和尤里先后得到黄牌
1'马塞洛后场拿球，面对逼抢                   1'双方第1分钟对抗激烈，毕尔巴鄂左路的科尔多巴和尤里先后得到黄牌
1'回传瓦拉内，再给回来的阿森西奥                   1'双方第1分钟对抗激烈，毕尔巴鄂左路的科尔多巴和尤里先后得到黄牌
2'分球卡塞米罗，过顶长传前场左路                   1'双方第1分钟对抗激烈，毕尔巴鄂左路的科尔多巴和尤里先后得到黄牌
2'传大了，球直接出边线！！                   1'双方第1分钟对抗激烈，毕尔巴鄂左路的科尔多巴和尤里先后得到黄牌
2'克罗斯中场拿球，斜传右路找到巴斯克斯                   1'双方第1分钟对抗激烈，毕尔巴鄂左路的科尔多巴和尤里先后得到黄牌
2'巴斯克斯的内切传中，被挡了出来                   1'双方第1分钟对抗激烈，毕尔巴鄂左路的科尔多巴和尤里先后得到黄牌
3'科尔多巴左路拿球反击，巴斯克斯回防将球破坏                   1'双方第1分钟对抗激烈，毕尔巴鄂左路的科尔多巴和尤里先后得到黄牌
3'卡瓦哈尔右路的抢断，带球反击                   1'双方第1分钟对抗激烈，毕尔巴鄂左路的科尔多巴和尤里先后得到黄牌
3'科尔多巴的回防，身后放铲，铲翻了卡瓦哈尔，犯规！                   1'双方第1分钟对抗激烈，毕尔巴鄂左路的科尔多巴和尤里先后得到黄牌
4'科尔多巴被主裁判出示了黄牌警告！！                   1'双方第1分钟对抗激烈，毕尔巴鄂左路的科尔多巴和尤里先后得到黄牌
4'这也是本场比赛的第一张黄牌！！                   1'双方第1分钟对抗激烈，毕尔巴鄂左路的科尔多巴和尤里先后得到黄牌
4'主裁判刚刚拿着黄牌和红牌一起过来，吓的科尔多巴不轻啊                   1'双方第1分钟对抗激烈，毕尔巴鄂左路的科尔多巴和尤里先后得到黄牌
4'巴斯克斯中场和劳尔-加西亚的争抢，被吹犯规！                   1'双方第1分钟对抗激烈，毕尔巴鄂左路的科尔多巴和尤里先后得到黄牌
47'克罗斯中场抢断，被放倒在地                   47'皇马第47分钟打破僵局，阿森西奥左路传中，无人防守的本泽马小禁区前头球攻门，埃雷林扑挡后仍无法阻止皮球入网
47'球到了本泽马脚下，有利原则                   47'皇马第47分钟打破僵局，阿森西奥左路传中，无人防守的本泽马小禁区前头球攻门，埃雷林扑挡后仍无法阻止皮球入网
47'本泽马中路强突，禁区弧左侧横传，被拦截                   47'皇马第47分钟打破僵局，阿森西奥左路传中，无人防守的本泽马小禁区前头球攻门，埃雷林扑挡后仍无法阻止皮球入网
47'毕尔巴鄂竞技的反击，左路的横传                   47'皇马第47分钟打破僵局，阿森西奥左路传中，无人防守的本泽马小禁区前头球攻门，埃雷林扑挡后仍无法阻止皮球入网
48'科尔多巴跟进打门，被巴列霍倒地封堵                   47'皇马第47分钟打破僵局，阿森西奥左路传中，无人防守的本泽马小禁区前头球攻门，埃雷林扑挡后仍无法阻止皮球入网
48'皇马的反击！！                   47'皇马第47分钟打破僵局，阿森西奥左路传中，无人防守的本泽马小禁区前头球攻门，埃雷林扑挡后仍无法阻止皮球入网
48'球进了！                   47'皇马第47分钟打破僵局，阿森西奥左路传中，无人防守的本泽马小禁区前头球攻门，埃雷林扑挡后仍无法阻止皮球入网
48'本泽马！！！                   47'皇马第47分钟打破僵局，阿森西奥左路传中，无人防守的本泽马小禁区前头球攻门，埃雷林扑挡后仍无法阻止皮球入网
48'阿森西奥左路的传中到门前，本泽马头球顶进球门右侧！！！                   47'皇马第47分钟打破僵局，阿森西奥左路传中，无人防守的本泽马小禁区前头球攻门，埃雷林扑挡后仍无法阻止皮球入网
49'哎呀，克罗斯的机会啊！                   47'皇马第47分钟打破僵局，阿森西奥左路传中，无人防守的本泽马小禁区前头球攻门，埃雷林扑挡后仍无法阻止皮球入网
49'莫德里奇前场左路拿球，强突下底                   47'皇马第47分钟打破僵局，阿森西奥左路传中，无人防守的本泽马小禁区前头球攻门，埃雷林扑挡后仍无法阻止皮球入网
49'倒三角回传中路，马塞洛一漏                   47'皇马第47分钟打破僵局，阿森西奥左路传中，无人防守的本泽马小禁区前头球攻门，埃雷林扑挡后仍无法阻止皮球入网
50'身后的克罗斯跟进得球，趟两步                   47'皇马第47分钟打破僵局，阿森西奥左路传中，无人防守的本泽马小禁区前头球攻门，埃雷林扑挡后仍无法阻止皮球入网
50'门前的推射，被阿尔瓦雷斯挡出了底线                   47'皇马第47分钟打破僵局，阿森西奥左路传中，无人防守的本泽马小禁区前头球攻门，埃雷林扑挡后仍无法阻止皮球入网
50'皇马获得了左侧角球机会！！                   47'皇马第47分钟打破僵局，阿森西奥左路传中，无人防守的本泽马小禁区前头球攻门，埃雷林扑挡后仍无法阻止皮球入网
50'克罗斯主罚，战术球开出给到马塞洛                   47'皇马第47分钟打破僵局，阿森西奥左路传中，无人防守的本泽马小禁区前头球攻门，埃雷林扑挡后仍无法阻止皮球入网
