1'上半场比赛开始！！                   1'皇马第1分钟占据主动
2'白衣白裤的皇马，从左向右进攻！                   1'皇马第1分钟占据主动
2'卡瓦哈尔右路拿球，带过中线                   1'皇马第1分钟占据主动
2'直塞贝尔，回传卡瓦哈尔                   1'皇马第1分钟占据主动
2'卡瓦哈尔再给后场的纳乔                   1'皇马第1分钟占据主动
3'横传拉莫斯，斜传左路给到前插的马塞洛                   1'皇马第1分钟占据主动
3'马塞洛的强突传中找本泽马，差一点啊                   1'皇马第1分钟占据主动
4'塞巴略斯中线位置拿球，过顶斜传找禁区右侧的贝尔                   1'皇马第1分钟占据主动
4'贝尔停球横切，左脚兜出弧线打门                   1'皇马第1分钟占据主动
4'索里亚后退中将球封堵！！                   1'皇马第1分钟占据主动
20'马塞洛的上抢断球，皇马的反击！！                   20'皇马第20分钟取得领先，贝尔左路传中被索里亚勉强击出，卡瓦哈尔12码处头球前顶，皮球吊过索里亚入网
20'球进了！1-0！！！                   20'皇马第20分钟取得领先，贝尔左路传中被索里亚勉强击出，卡瓦哈尔12码处头球前顶，皮球吊过索里亚入网
20'卡瓦哈尔！！！                   20'皇马第20分钟取得领先，贝尔左路传中被索里亚勉强击出，卡瓦哈尔12码处头球前顶，皮球吊过索里亚入网
20'这是皇马新赛季西甲的首粒进球！！                   20'皇马第20分钟取得领先，贝尔左路传中被索里亚勉强击出，卡瓦哈尔12码处头球前顶，皮球吊过索里亚入网
22'马塞洛左路拿球强突下底，传中到门前，索里亚出击单拳打出，可惜没打远，卡瓦哈尔禁区右上角的头球吊门，越过索里亚，进网！                   20'皇马第20分钟取得领先，贝尔左路传中被索里亚勉强击出，卡瓦哈尔12码处头球前顶，皮球吊过索里亚入网
23'塞巴略斯中圈拿球，回传纳乔                   20'皇马第20分钟取得领先，贝尔左路传中被索里亚勉强击出，卡瓦哈尔12码处头球前顶，皮球吊过索里亚入网
23'再给拉莫斯，斜传塞巴略斯                   20'皇马第20分钟取得领先，贝尔左路传中被索里亚勉强击出，卡瓦哈尔12码处头球前顶，皮球吊过索里亚入网
23'直塞克罗斯，再给右路卡瓦哈尔                   20'皇马第20分钟取得领先，贝尔左路传中被索里亚勉强击出，卡瓦哈尔12码处头球前顶，皮球吊过索里亚入网
23'强突没机会，再回传后场纳乔                   20'皇马第20分钟取得领先，贝尔左路传中被索里亚勉强击出，卡瓦哈尔12码处头球前顶，皮球吊过索里亚入网
51'带球反击，再给右路伊斯科                   51'皇马第51分钟扩大比分，阿森西奥抢断蒂金后左路传中偏转，贝尔10码处扫射右下角入网，2-0
51'配合不好，失误了，出界                   51'皇马第51分钟扩大比分，阿森西奥抢断蒂金后左路传中偏转，贝尔10码处扫射右下角入网，2-0
51'赫塔菲界外球找到杰内，阿森西奥直接抢断                   51'皇马第51分钟扩大比分，阿森西奥抢断蒂金后左路传中偏转，贝尔10码处扫射右下角入网，2-0
52'左路强突下底，横传球到后点                   51'皇马第51分钟扩大比分，阿森西奥抢断蒂金后左路传中偏转，贝尔10码处扫射右下角入网，2-0
52'皇马又进一个！！                   51'皇马第51分钟扩大比分，阿森西奥抢断蒂金后左路传中偏转，贝尔10码处扫射右下角入网，2-0
52'贝尔！！！！                   51'皇马第51分钟扩大比分，阿森西奥抢断蒂金后左路传中偏转，贝尔10码处扫射右下角入网，2-0
53'阿森西奥前场抢断，杰内，左侧强突下底，横传到后点，贝尔插上转身一脚低射打近角得分！                   51'皇马第51分钟扩大比分，阿森西奥抢断蒂金后左路传中偏转，贝尔10码处扫射右下角入网，2-0
53'这球慢镜回放显示，阿森西奥的传中，貌似被达米安伸脚解围蹭了一下，到了贝尔脚下，完成的进球                   51'皇马第51分钟扩大比分，阿森西奥抢断蒂金后左路传中偏转，贝尔10码处扫射右下角入网，2-0
54'皇马前场再攻，阿森西奥中路拿球                   51'皇马第51分钟扩大比分，阿森西奥抢断蒂金后左路传中偏转，贝尔10码处扫射右下角入网，2-0
54'分球左侧给切入的马塞洛，强突禁区                   51'皇马第51分钟扩大比分，阿森西奥抢断蒂金后左路传中偏转，贝尔10码处扫射右下角入网，2-0
54'遭遇夹击，球被解围                   51'皇马第51分钟扩大比分，阿森西奥抢断蒂金后左路传中偏转，贝尔10码处扫射右下角入网，2-0
60'阿森西奥回防后场断球，波尔蒂略的反抢犯规！！！                   60'最后15分钟，皇马游刃有余控制比赛直至完场，新帅洛佩特吉在皇马的西甲首战告捷
60'皇马前场进攻，本泽马禁区中路背身拿球                   60'最后15分钟，皇马游刃有余控制比赛直至完场，新帅洛佩特吉在皇马的西甲首战告捷
60'回传给到跟进的阿森西奥                   60'最后15分钟，皇马游刃有余控制比赛直至完场，新帅洛佩特吉在皇马的西甲首战告捷
60'阿森西奥迎球一脚推射，打偏了！！！                   60'最后15分钟，皇马游刃有余控制比赛直至完场，新帅洛佩特吉在皇马的西甲首战告捷
61'克罗斯前场中路拿球，分球左侧马塞洛                   60'最后15分钟，皇马游刃有余控制比赛直至完场，新帅洛佩特吉在皇马的西甲首战告捷
62'马塞洛的内切传中到门前，被防守球员解围                   60'最后15分钟，皇马游刃有余控制比赛直至完场，新帅洛佩特吉在皇马的西甲首战告捷
63'马塞洛左路拿球，直塞找到贝尔                   60'最后15分钟，皇马游刃有余控制比赛直至完场，新帅洛佩特吉在皇马的西甲首战告捷
63'贝尔的传中到后点，本泽马抢点，越位在先！！                   60'最后15分钟，皇马游刃有余控制比赛直至完场，新帅洛佩特吉在皇马的西甲首战告捷
