1'斯旺西率先开球                   1'戈米斯第1分钟屡次施压，但缺乏足够威胁
1'斯旺西后场直传球找戈米，球传丢了                   1'戈米斯第1分钟屡次施压，但缺乏足够威胁
1'曼城在自己后场控球                   1'戈米斯第1分钟屡次施压，但缺乏足够威胁
1'斯旺西前场就展开逼抢，很凶悍啊！                   1'戈米斯第1分钟屡次施压，但缺乏足够威胁
2'斯旺西前场逼抢时背后推人犯规                   1'戈米斯第1分钟屡次施压，但缺乏足够威胁
2'曼城也是后场任意球直接传到禁区外，球被接应球员蹭出边线                   1'戈米斯第1分钟屡次施压，但缺乏足够威胁
3'斯旺西中场简单的直传球，交给了最前面的戈米                   1'戈米斯第1分钟屡次施压，但缺乏足够威胁
4'戈米带球突破到禁区外，扣过上来封堵的2名后卫，低射打得太正，球被哈特扑住                   1'戈米斯第1分钟屡次施压，但缺乏足够威胁
4'曼城在前场组织，禁区外试图短传渗透，球被禁区线上后卫破坏                   1'戈米斯第1分钟屡次施压，但缺乏足够威胁
4'曼城在前场转移球时，球传出了边线                   1'戈米斯第1分钟屡次施压，但缺乏足够威胁
17'克拉罗夫任意球直接射门，球绕过人墙，偏出了球门！                   17'斯旺西第17分钟险些破门，代尔从曼加拉背后断球又在禁区右侧晃过曼加拉后射门，乔-哈特神勇救出
17'曼加拉啊！后场控球往回带，居然自己带球失误被代尔在后场抢断，直突禁区啊！                   17'斯旺西第17分钟险些破门，代尔从曼加拉背后断球又在禁区右侧晃过曼加拉后射门，乔-哈特神勇救出
18'禁区里代尔扣过回追的曼加拉，面对哈特，推射后脚，被哈特飞身扑出！                   17'斯旺西第17分钟险些破门，代尔从曼加拉背后断球又在禁区右侧晃过曼加拉后射门，乔-哈特神勇救出
19'兰帕德中路送出直传球到后卫身后，阿奎罗前插形成单刀，推射打进球门！！                   17'斯旺西第17分钟险些破门，代尔从曼加拉背后断球又在禁区右侧晃过曼加拉后射门，乔-哈特神勇救出
19'但同时裁判的哨子也响了！！越位！进球无效                   17'斯旺西第17分钟险些破门，代尔从曼加拉背后断球又在禁区右侧晃过曼加拉后射门，乔-哈特神勇救出
19'曼城这次进攻打得很有效，只可惜阿奎罗稍稍启动早了半步！                   17'斯旺西第17分钟险些破门，代尔从曼加拉背后断球又在禁区右侧晃过曼加拉后射门，乔-哈特神勇救出
20'图雷中场拦截，把球在分到右侧                   17'斯旺西第17分钟险些破门，代尔从曼加拉背后断球又在禁区右侧晃过曼加拉后射门，乔-哈特神勇救出
20'米尔纳边路起球传中，前点被对方后卫顶到解围出了底线，角球                   17'斯旺西第17分钟险些破门，代尔从曼加拉背后断球又在禁区右侧晃过曼加拉后射门，乔-哈特神勇救出
20'米尔纳角球传前点，还是被后卫头球蹭出禁区                   17'斯旺西第17分钟险些破门，代尔从曼加拉背后断球又在禁区右侧晃过曼加拉后射门，乔-哈特神勇救出
21'代尔在边路防守时把球碰出边线                   21'曼城第21分钟取得领先，席尔瓦传球，亚亚-图雷禁区边缘内劲射，法比安斯基扑挡后偏转入网
21'曼城在中场控球，把球转移到右边给萨巴莱塔                   21'曼城第21分钟取得领先，席尔瓦传球，亚亚-图雷禁区边缘内劲射，法比安斯基扑挡后偏转入网
