15'进球啦！！！拉齐奥球员卢利奇大禁区中央右脚射门,球从左下角飞进球门,球进了! 拉齐奥 1-0 帕尔马.                   15'第15分钟，孔科右路下底传中被米兰特扑了一下，卢利奇后门柱推射入网
16'拉齐奥球员比亚瓦拼抢犯规,对手获得控球权.                   15'第15分钟，孔科右路下底传中被米兰特扑了一下，卢利奇后门柱推射入网
16'卡萨诺为帕尔马在对方半场,赢得一个任意球.                   15'第15分钟，孔科右路下底传中被米兰特扑了一下，卢利奇后门柱推射入网
67'为拉齐奥在对方半场,赢得一个任意球.                   67'第67分钟，卢利奇直传，克洛泽在门前9米处推射入网，蓝鹰2比1再度领先
67'帕尔马球员拼抢犯规,对手获得控球权.                   67'第67分钟，卢利奇直传，克洛泽在门前9米处推射入网，蓝鹰2比1再度领先
67'进球啦！！！拉齐奥球员克洛泽大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是卢利奇. 拉齐奥 2-1 帕尔马.                   67'第67分钟，卢利奇直传，克洛泽在门前9米处推射入网，蓝鹰2比1再度领先
68'帕尔马换人,帕拉迪诺换下谢洛托                   67'第67分钟，卢利奇直传，克洛泽在门前9米处推射入网，蓝鹰2比1再度领先
69'卢利奇为拉齐奥在左路,赢得一个任意球.                   67'第67分钟，卢利奇直传，克洛泽在门前9米处推射入网，蓝鹰2比1再度领先
69'帕尔马球员阿奎阿拼抢犯规,对手获得控球权.                   67'第67分钟，卢利奇直传，克洛泽在门前9米处推射入网，蓝鹰2比1再度领先
70'帕尔马换人,穆纳里换下阿奎阿                   67'第67分钟，卢利奇直传，克洛泽在门前9米处推射入网，蓝鹰2比1再度领先
47'齐亚尼为拉齐奥在对方半场,赢得一个任意球.                   47'补时第2分钟，凯塔左路突破回传，坎德雷瓦在门前9米处半凌空抽射上演绝杀，帕尔马遭到2连败
47'帕尔马球员卢卡雷利拼抢犯规,对手获得控球权.                   47'补时第2分钟，凯塔左路突破回传，坎德雷瓦在门前9米处半凌空抽射上演绝杀，帕尔马遭到2连败
47'黄牌！帕尔马球员卢卡雷利因为恶意犯规,被主裁判出示黄牌.                   47'补时第2分钟，凯塔左路突破回传，坎德雷瓦在门前9米处半凌空抽射上演绝杀，帕尔马遭到2连败
48'拉齐奥球员坎德雷瓦大禁区外右脚射门,被防守球员封堵.                   47'补时第2分钟，凯塔左路突破回传，坎德雷瓦在门前9米处半凌空抽射上演绝杀，帕尔马遭到2连败
48'卡萨尼将球处理出底线,拉齐奥获得角球.                   47'补时第2分钟，凯塔左路突破回传，坎德雷瓦在门前9米处半凌空抽射上演绝杀，帕尔马遭到2连败
50'拉齐奥球员孔科大禁区右侧右脚射门,被防守球员封堵.                   47'补时第2分钟，凯塔左路突破回传，坎德雷瓦在门前9米处半凌空抽射上演绝杀，帕尔马遭到2连败
