11'圣埃蒂安球员迪奥曼德拼抢犯规,对手获得控球权.                   11'开场11分钟，伊卡尔迪接应瓜林分球，禁区右侧距门13米处抽射偏出近门柱
11'胡安为国际米兰赢得一个任意球.                   11'开场11分钟，伊卡尔迪接应瓜林分球，禁区右侧距门13米处抽射偏出近门柱
12'国际米兰球员伊卡尔迪大禁区中央尝试右脚射门,可惜皮球高出右上角球门.给他传球的是瓜林.                   11'开场11分钟，伊卡尔迪接应瓜林分球，禁区右侧距门13米处抽射偏出近门柱
21'射门!!!国际米兰球员瓜林球门右侧小角度右脚射门,被对方守门员横身扑出.给他传球的是安德雷奥利.                   21'第21分钟，安德烈奥利直传，瓜林小角度射门被门将鲁菲耶身体封堵
23'夏摩马为圣埃蒂安在对方半场,赢得一个任意球.                   21'第21分钟，安德烈奥利直传，瓜林小角度射门被门将鲁菲耶身体封堵
23'国际米兰球员安德雷奥利拼抢犯规,对手获得控球权.                   21'第21分钟，安德烈奥利直传，瓜林小角度射门被门将鲁菲耶身体封堵
24'圣埃蒂安球员卡拉奥大禁区外左脚射门,被防守球员封堵.                   21'第21分钟，安德烈奥利直传，瓜林小角度射门被门将鲁菲耶身体封堵
24'圣埃蒂安球员卡拉奥大禁区外右脚射门,被防守球员封堵.                   21'第21分钟，安德烈奥利直传，瓜林小角度射门被门将鲁菲耶身体封堵
24'姆维拉将球处理出底线,圣埃蒂安获得角球.                   21'第21分钟，安德烈奥利直传，瓜林小角度射门被门将鲁菲耶身体封堵
24'圣埃蒂安球员卡特兰球门线跟前尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是塔巴努.                   21'第21分钟，安德烈奥利直传，瓜林小角度射门被门将鲁菲耶身体封堵
42'国际米兰球员库兹曼诺维奇大禁区外左脚射门,被防守球员封堵.给他传球的是伊卡尔迪.                   42'第42分钟，伊卡尔迪与瓜林配合后左侧低传，库兹曼诺维奇在门前18米处左脚低射碰后卫减速，鲁菲耶将球没收
